Urdu_Idiom,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
اندھا کیا چاہے دو آنکھیں,Thinking I could finish the entire project in one night was just wishful thinking.,Translate this sentence to Urdu: 'Thinking I could finish the entire project in one night was just wishful thinking.',مجھے یہ سمجھنے کا خیال کرنا کہ میں پورے منصوبے کو ایک رات میں ختم کرسکتا ہوں صرف خواب ہی تھا۔,سوچنا کہ میں پوری پروجیکٹ ایک رات میں ختم کر سکتا ہوں، صرف خام خیالی تھی۔,3.0,3.0,1.0,3.0
اسکی عقل گھاس چرنے کو گئی ہے۔,"After working 80 hours this week, I think I'm starting to lose my marbles.","Translate this sentence to Urdu: 'After working 80 hours this week, I think I'm starting to lose my marbles.'",اس ہفتے 80 گھنٹے کام کرنے کے بعد، مجھے لگتا ہے کہ میرے پاگل ہونے لگے ہیں۔,اس ہفتے 80 گھنٹے کام کرنے کے بعد، مجھے لگتا ہے کہ میں اپنا دماغی توازن کھو رہا ہوں۔,2.0,3.0,1.0,3.0
انگور کھٹے ہیں,"After losing the race, he dismissed the winner's achievement as insignificant, but it was clear his comments were just sour grapes.","Translate this sentence to Urdu: 'After losing the race, he dismissed the winner's achievement as insignificant, but it was clear his comments were just sour grapes.'",دوڑ ہارنے کے بعد، اس نے جیتنے والے کے کام کو ناقابلِ توجہ قرار دیا، مگر اس کے تبصرے صرف خرگوشی تھیں۔,ریس ہارنے کے بعد، اس نے فاتح کی کامیابی کو معمولی کہہ کر نظرانداز کیا، لیکن واضح تھا کہ اس کے تبصرے صرف کھٹے انگور تھے۔,1.0,3.0,1.0,3.0
کچا تعلق,"After months of negotiation, the union decided to draw a line in the sand, refusing to accept any further cuts to employee benefits.","Translate this sentence to Urdu: 'After months of negotiation, the union decided to draw a line in the sand, refusing to accept any further cuts to employee benefits.'",مذاکرات کے مہینوں بعد، یونین نے فیصلہ کیا کہ وہ لکڑی پر خط کھینچے گی، کسی مزید ملازم کی فوائد میں کٹوتیاں قبول نہیں کریں گے۔,'مہینوں کی بات چیت کے بعد، یونین نے مزید ملازم فوائد میں کٹوتی قبول کرنے سے انکار کرتے ہوئے ایک حد مقرر کرنے کا فیصلہ کیا۔',2.0,3.0,1.0,2.0
کہیں کوئی کسر ضرور ہے,I think John must have a screw loose if he believes he can finish that massive project in just one day.,Translate this sentence to Urdu: 'I think John must have a screw loose if he believes he can finish that massive project in just one day.',مجھے لگتا ہے کہ جان کوئی پرہیز نکل چکی ہوگی اگر وہ یقین رکھتا ہے کہ وہ وہ بڑے منصوبہ ایک دن میں ختم کرسکتا ہے۔,مجھے لگتا ہے کہ جان کے دماغ میں کچھ گڑبڑ ہے اگر وہ سمجھتا ہے کہ وہ اس بڑے پروجیکٹ کو صرف ایک دن میں مکمل کر سکتا ہے۔,2.0,3.0,1.0,3.0
بے محل و بے موقع,"No matter how hard he tried, John felt like a square peg in a round hole at his new job in finance.","Translate this sentence to Urdu: 'No matter how hard he tried, John felt like a square peg in a round hole at his new job in finance.'","""جان کتنی کوشش کرتا، نئی ملازمت میں مالیات میں وہ محسوس کرتا کہ وہ مربع پیگ ہے گول ہول میں۔""",چاہے جتنا بھی زور لگایا، جان کو اپنے نئے مالیاتی کام میں ایسا لگا جیسے وہ گول سوراخ میں چوکور کھونٹی ہو۔,2.0,3.0,1.0,3.0
وقت پر ایک ٹانکا نو کا کام کر دیتا ہے,"By fixing the small leak in the roof now, remember that a stitch in time saves nine.","Translate this sentence to Urdu: 'By fixing the small leak in the roof now, remember that a stitch in time saves nine.'",اب چھت میں چھوٹی سی چھید کو درست کر کے یاد رکھیں کہ وقت پر کی گئی ایک ٹانکا نو نو بچاتی ہے۔,اب چھت کے چھوٹے سوراخ کو ٹھیک کر کے یاد رکھیں کہ وقت پر کی گئی سلائی نو کو بچاتی ہے۔,3.0,3.0,3.0,3.0
بغل میں چھری مُنہ میں رام رام,"Be careful when dealing with him; he may seem friendly, but he's a wolf in sheep's clothing.","Translate this sentence to Urdu: 'Be careful when dealing with him; he may seem friendly, but he's a wolf in sheep's clothing.'",اُس کے ساتھ معاملہ کرتے وقت محتاط رہیں؛ وہ دوستانہ ظاہر ہوسکتا ہے، لیکن واقعت میں وہ بھیڑ کے بھیڑ میں بھیڑ ہے۔,اُس کے ساتھ معاملہ کرتے وقت محتاط رہو؛ وہ دوستانہ لگتا ہے، لیکن اندر سے مکّار ہے۔,1.0,2.0,1.0,1.0
فرشتہ کے روپ میں بھیڑیا,"Despite his charming demeanor, he was a wolf in sheep's clothing, manipulating everyone around him for his own gain.","Translate this sentence to Urdu: 'Despite his charming demeanor, he was a wolf in sheep's clothing, manipulating everyone around him for his own gain.'",اس کے دلفریب انداز میں رہتے ہوئے، وہ بھیڑوں کے بھیال میں بھیڑوں کا دھوکا دیتا رہا اور اپنے فائدے کے لیے سب کو متاثر کرتا رہا۔,اس کے دلکش انداز کے باوجود، وہ بھیڑ کی کھال میں بھیڑیا تھا، جو اپنے فائدے کے لیے ہر کسی کو دھوکہ دے رہا تھا۔,2.0,3.0,3.0,3.0
عورت کا کام کبھی ختم نہیں ہوتا,"Even after a long day at the office, she found herself cooking dinner, helping with homework, and doing laundry, proving once again that a woman's work is never done.","Translate this sentence to Urdu: 'Even after a long day at the office, she found herself cooking dinner, helping with homework, and doing laundry, proving once again that a woman's work is never done.'",دفتر میں لمبے عرصے کے بعد بھی، وہ خود کو رات کا کھانا بناتے ہوئے، ہوم ورک میں مدد کرتے ہوئے، اور کپڑے دھونے میں پائی، ایک بار پھر ثابت کیا کہ عورت کا کام کبھی ختم نہیں ہوتا۔,'دفتر میں طویل دن کے بعد بھی، اس نے خود کو رات کا کھانا پکاتے، ہوم ورک میں مدد کرتے، اور کپڑے دھوتے پایا، یہ ایک بار پھر ثابت کرتے ہوئے کہ عورت کا کام کبھی ختم نہیں ہوتا۔',3.0,3.0,3.0,3.0
اصلیت کو افعال ہی ظاہر کر سکتے ہیں,"Despite his apologies, she knew that actions speak louder than words and waited to see if he would truly change.","Translate this sentence to Urdu: 'Despite his apologies, she knew that actions speak louder than words and waited to see if he would truly change.'",اپنے معذرت کے باوجود، اسے یقین تھا کہ عمل بولتے ہیں اور وہ انتظار کر رہی تھی کہ کیا وہ واقعی تبدیل ہوگا۔,'معافیوں کے باوجود، وہ جانتی تھی کہ عمل الفاظ سے زیادہ بولتے ہیں اور دیکھنے کے لئے انتظار کرتی رہی کہ کیا وہ واقعی بدلے گا۔',3.0,3.0,2.0,3.0
قدرتی طبع کے خلاف,It goes against the grain to accept that she is going to change her bad behavior with others .,Translate this sentence to Urdu: 'It goes against the grain to accept that she is going to change her bad behavior with others .',اسے قبول کرنا ان کی برائی سے دوسروں کے ساتھ بدلنے والی ہے کہ خلاف ہے۔,یہ ماننا فطرت کے خلاف ہے کہ وہ دوسروں کے ساتھ اپنے برے رویے کو بدلنے والی ہے۔,1.0,3.0,1.0,3.0
سب اپنا ہی فائدہ سوچتے ہیں,"Every bit of feedback, whether positive or negative, is grist to the mill for a writer seeking to improve their craft.","Translate this sentence to Urdu: 'Every bit of feedback, whether positive or negative, is grist to the mill for a writer seeking to improve their craft.'",ہر قسم کی تاثرات، چاہے وہ مثبت ہو یا منفی، لکھنے والے کے لیے ان کی قلم کو بہتر بنانے کی میل کی طرح ہوتی ہیں۔,ہر قسم کی رائے، چاہے مثبت ہو یا منفی، اس مصنف کے لیے فائدہ مند ہے جو اپنی مہارت کو بہتر بنانا چاہتا ہے۔,2.0,2.0,1.0,2.0
مُصیبت میں کسی پر اعتبار نہیں رہتا,"When it comes to choosing a new job, remember that all cats are grey in the dark; what truly matters is how you feel about it in the light of day.","Translate this sentence to Urdu: 'When it comes to choosing a new job, remember that all cats are grey in the dark; what truly matters is how you feel about it in the light of day.'",نئی نوکری منتخب کرتے وقت یاد رکھیں کہ تمام بلیاں رات کے اندھیرے میں ساوندری ہی ہوتی ہیں؛ واقعی اہم ہے کہ روشنی کی روشنی میں آپ اس کے بارے میں کیسا محسوس کرتے ہیں۔,جب نئی نوکری کا انتخاب کرنے کی بات آتی ہے، تو یاد رکھیں کہ اندھیرے میں تمام بلیاں ایک جیسی ہوتی ہیں؛ اصل اہمیت اس بات کی ہے کہ دن کی روشنی میں آپ اس کے بارے میں کیسا محسوس کرتے ہیں۔,2.0,3.0,1.0,1.0
غم سے مر جانا,Seeing her walk away with someone else was enough to break his heart.,Translate this sentence to Urdu: 'Seeing her walk away with someone else was enough to break his heart.',اس کو کسی اور کے ساتھ چلتے ہوئے دیکھنا اس کے دل کو توڑنے کے لیے کافی تھا۔,کسی اور کے ساتھ اسے جاتے ہوئے دیکھنا اس کے دل کو توڑنے کے لیے کافی تھا۔,3.0,3.0,3.0,3.0
آغاز کرنا,"At the networking event, Sarah told a funny story to break the ice and get everyone laughing.","Translate this sentence to Urdu: 'At the networking event, Sarah told a funny story to break the ice and get everyone laughing.'",نیٹ ورکنگ واقعے میں، سارہ نے ایک مزیدار کہانی سنائی تاکہ ہوا کو توڑا جا سکے اور سب کو ہنسی آ جائے۔,نیٹ ورکنگ تقریب میں، سارہ نے ماحول کو خوشگوار بنانے اور سب کو ہنسانے کے لیے ایک مزاحیہ کہانی سنائی۔,2.0,3.0,1.0,2.0
مر جانا,"After a long battle with illness, the venerable old professor finally breathed his last, surrounded by his loved ones.","Translate this sentence to Urdu: 'After a long battle with illness, the venerable old professor finally breathed his last, surrounded by his loved ones.'",طویل بیماری کے مقابلے کے بعد، عمردار بزرگ پروفیسر نے آخری سانس لی، اپنے پیاروں کے گرد ہوکر۔,طویل بیماری سے لڑنے کے بعد، معزز بوڑھے پروفیسر نے آخر کار اپنے پیاروں کے درمیان آخری سانس لی۔,3.0,3.0,3.0,3.0
ظاہر کرنا,You need to stop making light of this situation,Translate this sentence to Urdu: 'You need to stop making light of this situation',آپ کو اس صورتحال کو ہلکا نہیں سمجھنا چاہئے۔,تمہیں اس صورتحال کو ہلکا نہیں لینا چاہیے۔,3.0,3.0,3.0,3.0
وجہ بننا,This moment which has come to pass shall remain the most memorable for me in my life time .,Translate this sentence to Urdu: 'This moment which has come to pass shall remain the most memorable for me in my life time .',"""یہ لمحہ جو گزر چکا ہے، میرے زندگی کے دوران سب سے یادگار رہے گا۔""",یہ لمحہ جو گزر چکا ہے میری زندگی میں سب سے یادگار رہے گا۔,3.0,3.0,1.0,1.0
شرط منوانا,"After years of struggling with her father's death, she finally managed to come to terms with her grief.","Translate this sentence to Urdu: 'After years of struggling with her father's death, she finally managed to come to terms with her grief.'",سالوں تک اپنے والد کی موت کے ساتھ جھگڑتے رہے، انہوں نے آخرکار اپنے غم کا سامنا کرنے میں کامیابی حاصل کی۔,سالوں تک اپنے والد کی موت سے جدوجہد کرنے کے بعد، آخرکار وہ اپنے غم کو قبول کرنے میں کامیاب ہوگئی۔,3.0,3.0,3.0,3.0
آخر پر,"Despite his best efforts, Tom always seemed to bring up the rear in every race he entered.","Translate this sentence to Urdu: 'Despite his best efforts, Tom always seemed to bring up the rear in every race he entered.'",توم کے بہترین کوششوں کے باوجود، وہ ہر مقابلے میں ہمیشہ پیچھے رہ جاتا تھا۔,'اپنی بہترین کوششوں کے باوجود، ٹام ہر دوڑ میں ہمیشہ پیچھے ہی رہتا تھا۔',3.0,3.0,2.0,3.0
بہت مشکل سے,I managed to catch the last train home by the skin of my teeth.,Translate this sentence to Urdu: 'I managed to catch the last train home by the skin of my teeth.',میں نے گھر جانے والی آخری ٹرین کو بالکل بھی نچھاور تک پکڑ لیا۔,'میں بڑی مشکل سے آخری ٹرین پکڑنے میں کامیاب ہوا۔',2.0,2.0,1.0,1.0
جنگل کا قانون,"As a rule of thumb , I do not start a new project on Fridays .","Translate this sentence to Urdu: 'As a rule of thumb , I do not start a new project on Fridays .'",اکثر، میں جمعہ کو نیا منصوبہ شروع نہیں کرتا۔,عام طور پر، میں جمعہ کے دن نیا منصوبہ شروع نہیں کرتا۔,2.0,3.0,1.0,1.0
ایک رستے میں,"She has a knack for understanding complex theories, and by the same token, she can simplify them for others to grasp easily.","Translate this sentence to Urdu: 'She has a knack for understanding complex theories, and by the same token, she can simplify them for others to grasp easily.'",وہ پیچیدہ نظریات کو سمجھنے کی خصوصی صلاحیت رکھتی ہے، اور اسی طرح وہ دوسروں کو انہیں آسانی سے سمجھانے کے لئے سادہ بنا سکتی ہے۔,'اسے پیچیدہ نظریات کو سمجھنے کا ہنر ہے، اور اسی طرح، وہ انہیں دوسروں کے لیے آسانی سے سمجھنے کے قابل بنا سکتی ہے۔',3.0,3.0,3.0,3.0
بال بال,He passed the final exam by the skin of his teeth.,Translate this sentence to Urdu: 'He passed the final exam by the skin of his teeth.',وہ آخری امتحان کو بال بال بچ کر پاس کر گیا۔,وہ آخری امتحان بڑی مشکل سے پاس ہوا۔,3.0,3.0,3.0,2.0
ویسے ہی,"I will not be going to the party and By the way , I do not like him too much .","Translate this sentence to Urdu: 'I will not be going to the party and By the way , I do not like him too much .'",میں پارٹی میں نہیں جا رہا اور بیسی، مجھے اس سے زیادہ پسند نہیں ہے۔,میں پارٹی میں نہیں جاؤں گا اور ویسے بھی، مجھے وہ زیادہ پسند نہیں۔,1.0,3.0,1.0,3.0
زبانی طور پر,"The small café gained popularity purely through word of mouth, attracting a steady stream of loyal customers.","Translate this sentence to Urdu: 'The small café gained popularity purely through word of mouth, attracting a steady stream of loyal customers.'",چھوٹے کفی چی کو صرف زبانی آڑے سے مقبولیت حاصل ہوئی، جس نے ایک مستقل تعداد کے وفادار صارفین کو کھینچا۔,'چھوٹے کیفے نے صرف زبانی تشہیر کے ذریعے مقبولیت حاصل کی، اور مستقل وفادار گاہکوں کی آمد کا باعث بنا۔',3.0,3.0,3.0,3.0
گالیاں دینا,"She was afraid that if she wore spectacles to her school , the other kids would call her names .","Translate this sentence to Urdu: 'She was afraid that if she wore spectacles to her school , the other kids would call her names .'",وہ ڈرتی تھی کہ اگر وہ اپنے اسکول میں چشمہ پہنتی، تو دوسرے بچے اس کو نام لگا دیتے۔,'اسے ڈر تھا کہ اگر اس نے اسکول میں عینک پہنی تو باقی بچے اسے ناموں سے پکاریں گے۔',3.0,3.0,3.0,3.0
اُلٹے بانس بریلی کو !,Bringing your own sand to the beach is like taking coals to Newcastle.,Translate this sentence to Urdu: 'Bringing your own sand to the beach is like taking coals to Newcastle.',اپنی مٹی لے کر سمندر کنارے جانا کسی کام کی بات نہیں ہے۔,'ریت ساحل پر لانا ایسے ہی ہے جیسے نیوکاسل کو کوئلہ لے جانا۔',1.0,3.0,1.0,3.0
مالک بدل جانا,The old bookstore finally changed hands after being in the same family for three generations.,Translate this sentence to Urdu: 'The old bookstore finally changed hands after being in the same family for three generations.',پرانی کتب خانہ آخرکار تین نسلوں تک ایک ہی خاندان میں ہونے کے بعد ہاتھ بدل گیا۔,پرانا کتابوں کی دکان بالآخر تین نسلوں تک ایک ہی خاندان میں رہنے کے بعد ہاتھ بدل گئی۔,3.0,3.0,3.0,3.0
ہاتھ کا دیا ہی کام آتا ہے ۔ نیکی کبھی نہ کبھی کام آتی ہے,"Before volunteering at the shelter, Sarah reminded her children that charity begins at home by helping each other with their chores.","Translate this sentence to Urdu: 'Before volunteering at the shelter, Sarah reminded her children that charity begins at home by helping each other with their chores.'",شیلٹر میں رضاکاری کرنے سے پہلے، سارہ نے اپنے بچوں کو یاد دلایا کہ احسان گھر سے ہی شروع ہوتا ہے جب انہوں نے اپنے کاموں میں ایک دوسرے کی مدد کر کے ایک دوسرے کی مدد کرنے کے ذریعے ہوتی ہے۔,پناہ گاہ میں رضاکارانہ خدمت کرنے سے پہلے، سارہ نے اپنے بچوں کو یاد دلایا کہ خیرات کا آغاز گھر سے ہوتا ہے، ایک دوسرے کے کاموں میں مدد کر کے۔,3.0,3.0,1.0,3.0
خیرات گھر سے شروع ہوتی ہے,"Before volunteering at the shelter, Lisa reminded herself that charity begins at home and helped her elderly neighbor with groceries.","Translate this sentence to Urdu: 'Before volunteering at the shelter, Lisa reminded herself that charity begins at home and helped her elderly neighbor with groceries.'",'شیلٹر میں خودکشی کرنے سے پہلے، لیزا نے اپنے آپ کو یاد دلایا کہ خیرات گھر سے شروع ہوتی ہے اور اپنے بزرگ پڑوسی کی مدد کی',پناہ گاہ میں رضاکار بننے سے پہلے، لیزا نے خود کو یاد دلایا کہ نیکی کا آغاز گھر سے ہوتا ہے اور اپنے بزرگ ہمسائے کی خریداری میں مدد کی۔,3.0,3.0,3.0,3.0
واقع ہونا,If we get off before five o'clock the traffic will not be as bad .,Translate this sentence to Urdu: 'If we get off before five o'clock the traffic will not be as bad .',اگر ہم پانچ بجے سے پہلے اتر جائیں تو ٹریفک بہت زیادہ نہیں ہوگا۔,اگر ہم پانچ بجے سے پہلے نکل جائیں تو ٹریفک اتنی خراب نہیں ہوگی۔,3.0,3.0,1.0,1.0
عُرُوج پر پہنچنا,The negative political climate in America seems to have come to a head .,Translate this sentence to Urdu: 'The negative political climate in America seems to have come to a head .',امریکہ میں مخرب سیاسی ماحول کا انتہائی نقطہ بن گیا ہے۔,امریکہ میں منفی سیاسی ماحول لگتا ہے کہ اپنے عروج پر پہنچ چکا ہے۔,3.0,3.0,1.0,3.0
بد قسمتی کا سامنا کرنا,"Despite their meticulous planning, the expedition came to grief when a sudden storm capsized their boats.","Translate this sentence to Urdu: 'Despite their meticulous planning, the expedition came to grief when a sudden storm capsized their boats.'",ان کے دقیق تدبیر کے باوجود، سفر گرمی میں اچانک ایک توفان کی وجہ سے ان کی کشتیاں پلٹ گئیں۔,'ان کی باریک بینی سے کی گئی منصوبہ بندی کے باوجود، اچانک طوفان نے ان کی کشتیوں کو الٹ دیا اور مہم ناکام ہو گئی۔',2.0,3.0,1.0,3.0
مُحبت اور جنگ میں سب کچھ جائز ہے,"In the heat of competition, she justified her ruthless tactics by reminding herself that all is fair in love and war.","Translate this sentence to Urdu: 'In the heat of competition, she justified her ruthless tactics by reminding herself that all is fair in love and war.'",مقابلہ کی تنازع میں، اس نے اپنی بے رحمی کے طریقےوار سبب زیادتی کو یاد دلاتے ہوئے خود کو توجیہ دی کہ محبت اور جنگ میں سب کچھ جائز ہے۔,مقابلے کی شدت میں، اس نے اپنے بے رحم ہتھکنڈوں کو جائز قرار دیتے ہوئے خود کو یاد دلایا کہ محبت اور جنگ میں سب جائز ہے۔,3.0,3.0,3.0,3.0
واقع ہونا,This moment which has come to pass shall remain the most memorable for me in my life time .,Translate this sentence to Urdu: 'This moment which has come to pass shall remain the most memorable for me in my life time .',یہ لمحہ جو گزر گیا ہے میرے لائف ٹائم میں سب سے یادگار رہے گا۔,یہ لمحہ جو گزر چکا ہے میری زندگی میں ہمیشہ کے لیے یادگار رہے گا۔,3.0,3.0,1.0,1.0
آئندہ کے غیر یقینی واقعہ پر بہت زیادہ انحصار کر لینا,"It's important not to count your chickens before they hatch, as the deal could still fall through.","Translate this sentence to Urdu: 'It's important not to count your chickens before they hatch, as the deal could still fall through.'",ہینڈل مت کرنا اپنے مرغیوں کا انڈے نکلنے سے پہلے، کیونکہ سودا ابھی بھی ناکام ہوسکتا ہے۔,چوزے انڈوں سے نکلنے سے پہلے گننا مناسب نہیں ہے کیونکہ معاہدہ ابھی بھی ناکام ہوسکتا ہے۔,2.0,3.0,3.0,1.0
د ن دیہا ڑ ے,"The thief stole the car in broad daylight, shocking everyone in the neighborhood.","Translate this sentence to Urdu: 'The thief stole the car in broad daylight, shocking everyone in the neighborhood.'",چور نے دن کے وقت میں گاڑی چوری کی، محلے میں سب کو حیران کر دیا۔,چور نے دن دہاڑے گاڑی چوری کر لی، جس سے پورا محلہ حیران رہ گیا۔,3.0,3.0,3.0,3.0
ناچ نا جانے آنگن ٹیڑھا,"When his painting turned out poorly, instead of acknowledging his lack of skill, he complained that the brushes were subpar, proving the adage that a bad workman always blames his tools.","Translate this sentence to Urdu: 'When his painting turned out poorly, instead of acknowledging his lack of skill, he complained that the brushes were subpar, proving the adage that a bad workman always blames his tools.'",جب اس کی تصویر ناموزون نکلی، اپنی قابلیت کی کمی کو تسلیم کرنے کی بجائے، اس نے شکایت کی کہ برشیں غیر معیاری تھیں، جس نے ایک بری ماہر ہمیشہ اپنے آلات کو ملامت دیکھانے کی بات ثابت کر دی۔,جب اس کی پینٹنگ خراب نکلی، تو اپنی مہارت کی کمی کو تسلیم کرنے کے بجائے اس نے شکایت کی کہ برش خراب تھے، اس کہاوت کو ثابت کرتے ہوئے کہ نا اہل کاریگر ہمیشہ اپنے اوزاروں کو الزام دیتا ہے۔,3.0,3.0,1.0,3.0
خوشگوار تجربہ / آرام دہ,The life of the royal family is a bed of roses in United Kingdom of Great Britain .,Translate this sentence to Urdu: 'The life of the royal family is a bed of roses in United Kingdom of Great Britain .',شاہی خاندان کی زندگی برطانیہ کے متحدہ بادشاہت میں گلاب کی بستر ہے۔,برطانیہ میں شاہی خاندان کی زندگی پھولوں کی سیج ہے۔,3.0,3.0,1.0,3.0
نو نقد تیرہ اُدھار ۔ لمبے ادھار سے کم منافع بہتر ہے,"She decided to accept the job offer rather than wait for a potentially better one, knowing that a bird in the hand is worth two in the bush.","Translate this sentence to Urdu: 'She decided to accept the job offer rather than wait for a potentially better one, knowing that a bird in the hand is worth two in the bush.'",وہ فیصلہ کیا کہ وہ نوکری کی پیشکش قبول کرے بجائے کہ انتظار کرے کہ شاید بہترین نوکری مل جائے، جانتے ہوئے کہ ہاتھ میں پکڑا ہوا چڑیا دو پرچھائیں سے بہتر ہوتا ہے۔,اُس نے بہتر موقع کے انتظار کے بجائے ملازمت کی پیشکش قبول کرنے کا فیصلہ کیا کیونکہ وہ جانتی تھی کہ ہاتھ کا پرندہ جھاڑی کے دو پرندوں کے برابر ہے۔,3.0,3.0,2.0,3.0
بے عزتی برداشت کرنا,Losing the championship game in the final seconds was a bitter pill to swallow for the team.,Translate this sentence to Urdu: 'Losing the championship game in the final seconds was a bitter pill to swallow for the team.',فائنل سیکنڈز میں چیمپئن شپ کا گیم کھونا ٹیم کے لیے کڑوا چبھنے والی دوائی تھا۔,چیمپئن شپ کا کھیل آخری لمحوں میں ہار جانا ٹیم کے لیے ایک کڑوی گولی تھی۔,3.0,3.0,3.0,3.0
دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے,"After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .","Translate this sentence to Urdu: 'After his first accident , Sam is quite careful in driving now because a burnt child dreads a fire .'",پہلے حادثے کے بعد، اب سام ڈرائیونگ میں بہت ہوشیار ہیں کیونکہ جلے ہوئے بچے کو آگ سے ڈر لگتا ہے۔,پہلے حادثے کے بعد، سیم اب گاڑی چلانے میں بہت محتاط ہے کیونکہ دودھ کا جلا چھاچھ بھی پھونک پھونک کر پیتا ہے۔,3.0,3.0,3.0,3.0
ارد گرد کے ماحول میں بے چینی,"When she moved to the bustling city from her quiet hometown, she felt like a fish out of water.","Translate this sentence to Urdu: 'When she moved to the bustling city from her quiet hometown, she felt like a fish out of water.'",جب وہ اپنے خاموش ہوم ٹاؤن سے شور شرابہ بھرے شہر میں چلی گئی، تو ایسا محسوس ہوا جیسے مچھلی پانی سے باہر ہو۔,جب وہ اپنے پرسکون آبائی شہر سے مصروف شہر میں منتقل ہوئی، تو اسے ایسے لگا جیسے وہ پانی سے باہر مچھلی ہو۔,3.0,3.0,3.0,3.0
ایک چھوٹی سی چیز جو قیمتی شے کو خراب کر دیتی ہے,Everything was going perfectly for the event until the power outage became the fly in the ointment.,Translate this sentence to Urdu: 'Everything was going perfectly for the event until the power outage became the fly in the ointment.',تمام چیزیں واقعہ کے لیے بالکل درست تھیں جب تک کے بجلی کا بند ہونا مسئلہ نہ بن گیا۔,ہر چیز تقریب کے لئے بالکل ٹھیک جا رہی تھی جب تک بجلی کی بندش نے مزہ کرکرا نہ کر دیا۔,2.0,2.0,1.0,3.0
احمق کی دولت کو ٹکاوٴ کہاں ؟,"When Jake impulsively bought the expensive, flashy car without considering the long-term costs, it was a classic case of a fool and his money are soon parted.","Translate this sentence to Urdu: 'When Jake impulsively bought the expensive, flashy car without considering the long-term costs, it was a classic case of a fool and his money are soon parted.'",جب جیک نے بونی طرح مہنگی، چمک دار گاڑی خرید لی بغیر لمبی اجرتوں کو مد نظر رکھے تو یہ ایک کلاسیک مثال تھی کہ احمق کے پیسے جلد ہی اُس سے جدا ہوتے ہیں۔,"جب جیک نے بغیر طویل مدتی اخراجات پر غور کیے مہنگی، چمکدار گاڑی جذباتی طور پر خرید لی، تو یہ حقیقت میں ""نادان کا پیسہ زیادہ دیر تک اس کے پاس نہیں رہتا"" کی ایک کلاسک مثال تھی۔",3.0,3.0,3.0,3.0
تاریخ کا روشن دور,Many historians consider the period of the Renaissance to be the golden age of art and literature.,Translate this sentence to Urdu: 'Many historians consider the period of the Renaissance to be the golden age of art and literature.',بہت سے ماحولیاتی تاریخ دان عصر رنیسانس کو فن اور ادب کی سونے کا دور مانتے ہیں۔,بہت سے مؤرخین نشاۃ ثانیہ کے دور کو فن اور ادب کا سنہری دور سمجھتے ہیں۔,3.0,3.0,1.0,3.0
سونے کی چابی سے ہر تالا کھل جاتا ہے,"In the business world, a golden key can open any door, meaning that wealth and influence can often grant access to otherwise unreachable opportunities.","Translate this sentence to Urdu: 'In the business world, a golden key can open any door, meaning that wealth and influence can often grant access to otherwise unreachable opportunities.'",کاروباری دنیا میں، ایک سونے کی چابی کسی بھی دروازہ کو کھول سکتی ہے، یعنی دولت اور طاقت اکثر اوقات ان مواقع تک رسائی فراہم کر سکتے ہیں جو دوسرے طریقوں سے ناقابل رسائی ہوں۔,کاروباری دنیا میں سنہری چابی کسی بھی دروازے کو کھول سکتی ہے، یعنی دولت اور اثر و رسوخ اکثر ان مواقع تک رسائی حاصل کر سکتے ہیں جو ورنہ ناقابل رسائی ہوتے ہیں۔,3.0,3.0,3.0,3.0
آر کی ڈھال ٹال دے وبال,"In the world of business, a golden key can open any door, meaning that wealth and influence can help you achieve almost anything.","Translate this sentence to Urdu: 'In the world of business, a golden key can open any door, meaning that wealth and influence can help you achieve almost anything.'",کاروبار کے دنیا میں، ایک سونے کی چابی کسی بھی دروازہ کو کھول سکتی ہے، یعنی دولت اور اثر کے ذریعے آپ کو تقریباً ہر چیز حاصل کرنے میں مدد مل سکتی ہے۔,تجارت کی دنیا میں، سونے کی چابی کسی بھی دروازے کو کھول سکتی ہے، یعنی دولت اور اثر و رسوخ سے آپ تقریباً کچھ بھی حاصل کر سکتے ہیں۔,3.0,3.0,3.0,3.0
مشکل کام,"Using a sledgehammer to crack a nut, the company's drastic measures to address minor customer complaints seemed excessively heavy-handed.","Translate this sentence to Urdu: 'Using a sledgehammer to crack a nut, the company's drastic measures to address minor customer complaints seemed excessively heavy-handed.'",کٹورے کو توڑنے کے لیے ہتھوڑے کا استعمال کرنے پر، کمپنی کی اہمیت کے نقصانات کو حل کرنے کی بے حد اقدامات نے زیادہ زبردستی کی محسوس ہوئی۔,چھوٹی چھوٹی صارف شکایات کے حل کے لئے کمپنی کے انتہائی سخت اقدامات یوں لگے جیسے چھوٹی سی بات کے لئے ہتھوڑے کا استعمال کرنا۔,2.0,3.0,1.0,3.0
