Idiomatic_Sent,Original_Idiom,Original_Meaning,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"I will drop by to pick up my glasses that I left there , last weekend .",drop by,to visit someone briefly and without making an appointment,"Translate this sentence to Chinese: 'I will drop by to pick up my glasses that I left there , last weekend .'",我会路过去拿我上周末留在那里的眼镜。,我会顺道去拿我上周末落在那里的眼镜。,3,3.0,3,3
The plane was flying above the Atlantic ocean when it lost touch .,lose touch,to lose contact or communication with someone over time,Translate this sentence to Chinese: 'The plane was flying above the Atlantic ocean when it lost touch .',飞机在大西洋上空飞行时失去了联系。,飞机在大西洋上空飞行时失去联系。,3,3.0,3,3
If a girl turns a blind eye on your comments - it does n't mean that she started liking you .,turn a blind eye,to ignore or pretend not to see something,Translate this sentence to Chinese: 'If a girl turns a blind eye on your comments - it does n't mean that she started liking you .',如果一个女孩对你的评论视而不见 - 这并不意味着她开始喜欢你。,如果一个女孩对你的评论视而不见——这并不意味着她开始喜欢你。,3,3.0,3,3
"InÂ theÂ closingÂ fewÂ minutes , Â ourÂ teamÂ hadÂ itsÂ backÂ toÂ theÂ wallÂ butÂ continuedÂ toÂ fightÂ gallantly .",back to the wall,to be in a difficult or desperate situation with no easy way out,"Translate this sentence to Chinese: 'InÂ theÂ closingÂ fewÂ minutes , Â ourÂ teamÂ hadÂ itsÂ backÂ toÂ theÂ wallÂ butÂ continuedÂ toÂ fightÂ gallantly .'",在最后几分钟，我们的团队处于困境，但还在英勇地战斗。,在最后几分钟，我们队背水一战，但仍英勇奋战。,3,3.0,3,3
"The tendency these days is to hope for the best , but prepare for the worst .","hope for the best, but prepare for the worst",to remain optimistic while being cautious and prepared for any possible negative outcome,"Translate this sentence to Chinese: 'The tendency these days is to hope for the best , but prepare for the worst .'",这些天的趋势是抱最好的希望，但做最坏的打算。,现如今的趋势是抱最好的希望，但做好最坏的打算。,3,3.0,3,3
I 'd like people to follow by example and hence the top management has to be absolutely flawless .,follow by,to happen or come after something else,Translate this sentence to Chinese: 'I 'd like people to follow by example and hence the top management has to be absolutely flawless .',我希望人们以身作则，因此高层管理必须绝对无可挑剔。,我希望人们以身作则，因此高层管理必须绝对无懈可击。,3,3.0,3,3
The meeting has been brought forward by the board and we have to start preparing for it right away .,brought forward,to move a scheduled event or meeting to an earlier date or time,Translate this sentence to Chinese: 'The meeting has been brought forward by the board and we have to start preparing for it right away .',会议已经被董事会提前安排了，我们必须立刻开始准备。,会议已经被董事会提前了，我们必须马上开始准备。,3,3.0,3,3
They lost touch when Di got married and moved away .,lose touch,to lose contact or communication with someone over time,Translate this sentence to Chinese: 'They lost touch when Di got married and moved away .',当滴结婚并搬走后，他们就失去了联系。,戴结婚并搬走后，他们失去了联系。,3,3.0,3,3
"The cloud of gloom hanging over the area is so dense , it 's hard to see any sign of a silver lining .",silver lining,an unexpected positive aspect or outcome within a negative or difficult situation,"Translate this sentence to Chinese: 'The cloud of gloom hanging over the area is so dense , it 's hard to see any sign of a silver lining .'",这片地区笼罩着厚重的阴霾，很难看到任何一丝希望的迹象。,笼罩在这个地区的阴云是如此浓厚，很难看到任何一线希望。,3,3.0,3,3
Do you really want to follow the footsteps of such a cold hearted person ?,cold hearted,lacking compassion or empathy; unfeeling or indifferent,Translate this sentence to Chinese: 'Do you really want to follow the footsteps of such a cold hearted person ?',你真的想要追隨這樣一個冷酷的人的腳步嗎？,你真的想追随这样一个冷酷无情的人吗？,3,3.0,3,3
Tribal tattoos used to be all the rage and now people are just stuck with silly symbols on their bodies .,all the rage,extremely popular or fashionable,Translate this sentence to Chinese: 'Tribal tattoos used to be all the rage and now people are just stuck with silly symbols on their bodies .',部落纹身曾经风靡一时，现在人们只是被身上的愚蠢符号困扰。,部落纹身曾经风靡一时，现在人们只是身上留着愚蠢的符号。,3,3.0,2,3
"Although most parties have agreed on the deal , it is not yet cut and dried .",cut and dried,Completely settled or decided; lacking any flexibility or room for discussion or change,"Translate this sentence to Chinese: 'Although most parties have agreed on the deal , it is not yet cut and dried .'",尽管大多数派对已经同意这笔交易，但它还没有定下来。,尽管大多数各方已同意这项协议，但尚未完全定案。,2,3.0,2,3
New Zealand residents urged to cut-down water use .,cut down,"to reduce in size, quantity, or intensity",Translate this sentence to Chinese: 'New Zealand residents urged to cut-down water use .',新西兰居民被敦促减少用水量。,新西兰居民被敦促减少用水。,3,3.0,1,3
His years of experience in the spoken English field has stood him in good stead .,stand in a good stead,to be of great benefit or advantage to someone in the future,Translate this sentence to Chinese: 'His years of experience in the spoken English field has stood him in good stead .',他在口语英语领域多年的经验使他受益匪浅。,他在英语口语领域多年的经验对他大有裨益。,3,3.0,3,3
I am on the case to book a flight before it ’ s too late .,on the case,actively investigating or working on a situation or problem,Translate this sentence to Chinese: 'I am on the case to book a flight before it ’ s too late .',我正在努力预订飞机票，以免为时已晚。,我正在处理预订航班的事，以免为时已晚。,3,3.0,2,3
I believe that digital learning is the way forward .,way forward,the best or most effective course of action moving forward,Translate this sentence to Chinese: 'I believe that digital learning is the way forward .',我相信数字学习是未来的方向。,我相信数字化学习是未来的发展方向。,3,3.0,3,3
The manager-employee problems in this company are just the tip of the iceberg .,tip of the iceberg,"a small, noticeable part or aspect of a larger, more complex issue or problem",Translate this sentence to Chinese: 'The manager-employee problems in this company are just the tip of the iceberg .',这家公司的经理和员工之间的问题只是冰山一角。,这家公司里经理和员工之间的问题只是冰山一角。,3,3.0,3,3
"During the military coup , all the industry was advised to carry on as per their usual routine .",carry on,"to continue, proceed, or persist with an activity or task","Translate this sentence to Chinese: 'During the military coup , all the industry was advised to carry on as per their usual routine .'",在军事政变期间，建议所有工业按照他们通常的日常工作继续进行。,在军事政变期间，所有行业都被建议按常规进行。,3,3.0,1,1
I really do n't like my project partner because he seems to be a yes man whenever I suggest ideas regarding optimizing code .,yes man,"a person who always agrees with and obeys someone in order to please them, often to the point of insincerity",Translate this sentence to Chinese: 'I really do n't like my project partner because he seems to be a yes man whenever I suggest ideas regarding optimizing code .',我真的不喜欢我的项目伙伴，因为每当我提出关于优化代码的想法时，他似乎总是唯唯诺诺的。,我真的不喜欢我的项目伙伴，因为每当我提出优化代码的想法时，他似乎总是唯唯诺诺。,3,3.0,3,3
Someone has said the truth a burnt child dreads the fire .,a burnt child dreads the fire,someone who has been hurt or had a bad experience is extra cautious to avoid similar situations in the future,Translate this sentence to Chinese: 'Someone has said the truth a burnt child dreads the fire .',有人说过，一个被烧伤的孩子害怕火焰。,有人说过，烧伤的孩子害怕火。,1,2.0,1,1
The pastries at this shop are a cut above the rest and you must try them .,a cut above,of higher quality or better than average,Translate this sentence to Chinese: 'The pastries at this shop are a cut above the rest and you must try them .',这家店的糕点比其他地方的好一些，你一定要试试。,这家店的糕点出类拔萃，你一定要尝尝。,2,3.0,1,3
The checks for the charity are coming in dribs and drabs .,dribs and drabs,"small or insignificant amounts, often given or received intermittently",Translate this sentence to Chinese: 'The checks for the charity are coming in dribs and drabs .',慈善机构的支票零零散散地陆续到账。,慈善机构的捐款断断续续地到账。,3,3.0,3,3
Go with the flow and look for opportunities .,go with the flow,to adapt to a situation or circumstance without resistance or effort,Translate this sentence to Chinese: 'Go with the flow and look for opportunities .',随波逐流，寻找机会。,随波逐流，寻找机会。,3,3.0,1,1
I really get belly laugh when I am talking with him .,belly laugh,"a deep, hearty laugh",Translate this sentence to Chinese: 'I really get belly laugh when I am talking with him .',当我和他说话时，我真的会大笑。,跟他聊天时我总是笑得前仰后合。,2,3.0,2,3
The political party is in deep water after it was discovered that their candidate had lied in the report .,in deep water,in a difficult or dangerous situation; in trouble or facing serious consequences,Translate this sentence to Chinese: 'The political party is in deep water after it was discovered that their candidate had lied in the report .',政党陷入深水，因为发现他们的候选人在报告中撒了谎。,在发现他们的候选人在报告中撒谎后，该政党陷入了困境。,3,3.0,1,3
Dollars to donuts that the economy is going to be hit adversely due to fall in prices . ',dollars to donuts,"an expression used to indicate absolute certainty or confidence in a prediction or outcome, often used when comparing two unequal things",Translate this sentence to Chinese: 'Dollars to donuts that the economy is going to be hit adversely due to fall in prices . '',可以肯定地说，由于价格下跌，经济将受到不利影响。,我敢打赌，由于价格下跌，经济将受到不利影响。,3,3.0,1,1
The automobile turned turtle on the highway when the storm got too strong .,turn turtle,"to overturn or capsize, especially in reference to a vehicle or vessel",Translate this sentence to Chinese: 'The automobile turned turtle on the highway when the storm got too strong .',当风暴变得太强时，汽车在公路上翻车了。,暴风雨越来越猛烈时，汽车在高速公路上翻车了。,3,3.0,3,2
Kim was terribly embarrassed having walked into Pat 's room while he was in the buff .,in the buff,naked or without clothing,Translate this sentence to Chinese: 'Kim was terribly embarrassed having walked into Pat 's room while he was in the buff .',金进入帕特房间时，他正赤身裸体，让金感到非常尴尬。,金非常尴尬，因为她在帕特裸体时走进了他的房间。,3,3.0,1,2
"While I was teaching , I observed that Salina is miles away from the lecture .",miles away,deeply lost in thought or daydreaming; not mentally present or paying attention,"Translate this sentence to Chinese: 'While I was teaching , I observed that Salina is miles away from the lecture .'",当我在教书时，我观察到莎丽娜离讲座很遥远。,当我在教课时，我注意到萨利娜心不在焉。,1,3.0,1,3
"In old times , before the age of the internet , lovers would write letters to each other , and these love letters would be sealed with a kiss .",sealed with a kiss,"to be confirmed, finalized, or made official, especially in a romantic or intimate context","Translate this sentence to Chinese: 'In old times , before the age of the internet , lovers would write letters to each other , and these love letters would be sealed with a kiss .'",在互联网时代来临之前，恋人们会互相写情书，并用一个吻封好。,在过去的时代，在互联网时代之前，恋人们会互相写信，而这些情书会以一个吻封缄。,3,3.0,3,3
"You 've got the wrong end of the stick , she is not going abroad , and I am going instead .",get the wrong end of the stick,to misunderstand or misinterpret something,"Translate this sentence to Chinese: 'You 've got the wrong end of the stick , she is not going abroad , and I am going instead .'",你误会了，她不是要出国，我将代替她去。,你完全误会了，她不出国，我才是要出国的。,3,3.0,3,3
"For the annual debate competition , I am armed to the teeth and quite confident that I will win .",armed to the teeth,"being heavily armed or well-equipped, often to an excessive or extreme degree","Translate this sentence to Chinese: 'For the annual debate competition , I am armed to the teeth and quite confident that I will win .'",对于年度辩论比赛，我准备充分，非常自信自己会赢得比赛。,为了年度辩论比赛，我已经全副武装，对获胜充满信心。,3,3.0,2,3
He said you ca n't take it with you so try to introspect your attachment .,you can't take it with you,"You can't bring your possessions or wealth with you when you die, so it's not worth obsessing over material things.",Translate this sentence to Chinese: 'He said you ca n't take it with you so try to introspect your attachment .',他说你不能把它带走，所以试着审视你的依恋。,他说你不能带走它，所以试着反省你的执着。,3,3.0,1,2
"He was depending heavily on the success of his venture , but when it failed , he was ruined and He realized that he should not have put all his eggs in one basket .",don't put all your eggs in one basket,"Do not risk everything on a single plan or opportunity, as if it fails, you will lose everything.","Translate this sentence to Chinese: 'He was depending heavily on the success of his venture , but when it failed , he was ruined and He realized that he should not have put all his eggs in one basket .'",他非常依赖自己事业的成功，但当失败时，他破产了，并意识到自己不应该把所有鸡蛋放在一个篮子里。,他非常依赖他的企业成功，但当它失败时，他破产了，并且他意识到自己不应该把所有的鸡蛋放在一个篮子里。,3,3.0,3,3
I am searching for a house and I want it to be a stone 's throw away from the river .,stone's throw,a very short distance; a close proximity,Translate this sentence to Chinese: 'I am searching for a house and I want it to be a stone 's throw away from the river .',我正在寻找一座房屋，希望它离河只有一箭之遥。,我正在找房子，希望离河边很近。,2,3.0,3,2
"I had a gut feeling that he had been lying , and sure enough , it was later proved that he had been .",gut feeling,"a strong intuition or instinctive feeling about something, often without tangible evidence or logical reasoning","Translate this sentence to Chinese: 'I had a gut feeling that he had been lying , and sure enough , it was later proved that he had been .'",我有种直觉，他一直在撒谎，果然，后来证实了他确实如此。,我有一种直觉他在撒谎，果然，后来证明他确实在撒谎。,3,3.0,3,3
The National Airline has become a massive black hole in the economy .,black hole,"a place or situation where things, especially money or resources, seem to disappear without trace",Translate this sentence to Chinese: 'The National Airline has become a massive black hole in the economy .',国家航空公司已经成为经济中的一个巨大黑洞。,国家航空公司已经成为经济中的一个巨大黑洞。,3,3.0,3,3
The new restaurant is said to be open round the clock .,round the clock,"continuous or non-stop, without interruption or pause",Translate this sentence to Chinese: 'The new restaurant is said to be open round the clock .',据说这家新餐厅全天候开放。,据说这家新餐厅全天营业。,3,3.0,3,3
"He had been playing poorly all season , so the coach warned him that he should get his act together if wanted to keep his place in the team .",get act together,"to organize oneself, get organized, or get one's affairs in order; to start behaving or performing better; to make improvements or show progress","Translate this sentence to Chinese: 'He had been playing poorly all season , so the coach warned him that he should get his act together if wanted to keep his place in the team .'",他整个赛季都表现很差，所以教练警告他，如果想要留在球队中，就应该振作起来。,他整个赛季表现都很差，所以教练警告他，如果想保住自己在队中的位置，就必须振作起来。,3,3.0,3,3
All soldiers have to bite the bullet when they get their drafting letter .,bite the bullet,to face a difficult or unpleasant situation with courage and determination,Translate this sentence to Chinese: 'All soldiers have to bite the bullet when they get their drafting letter .',所有士兵在收到征兵通知时都必须忍痛。,所有士兵在收到征召信时都必须咬紧牙关。,3,3.0,2,3
"We have had a smooth journey so far , touch wood .",knock on wood (touch wood),"To hope that something will happen as planned or to bring good luck, often by touching or knocking on wood to avoid tempting fate.","Translate this sentence to Chinese: 'We have had a smooth journey so far , touch wood .'",到目前为止，我们旅途一路顺畅，打个木头。,到目前为止我们的旅程很顺利，敲木头。,3,3.0,1,1
"Do n't be in the doldrums , get up and let 's find some way to get out of here . ''",doldrums,a state of low spirits or inactivity; a feeling of sadness or stagnation,"Translate this sentence to Chinese: 'Do n't be in the doldrums , get up and let 's find some way to get out of here . '''",不要陷入沮丧，起来吧，让我们找到一些办法离开这里。,别闷闷不乐，起来，让我们找点办法离开这里。,3,2.0,3,3
"I would have loved to go with my friends on a vacation , but it would have cost me an arm and a leg .",cost an arm and a leg,to be very expensive; to cost a lot of money,"Translate this sentence to Chinese: 'I would have loved to go with my friends on a vacation , but it would have cost me an arm and a leg .'",我本来很想和朋友一起去度假，但那样会花费我一大笔钱。,我本来很想和朋友们一起去度假，但那花费实在太高了。,3,3.0,3,2
In spite of the scientist 's efforts the research leads to a dead end .,dead end,a situation with no further progress or opportunity for advancement,Translate this sentence to Chinese: 'In spite of the scientist 's efforts the research leads to a dead end .',尽管科学家们在努力，研究最终陷入了死绝。,尽管科学家付出了努力，研究还是走到了死胡同。,2,3.0,1,3
"Sportsmen , to coin a phrase , have become spiteful competitors",coin a phrase,"to invent or create a new expression or saying, typically used humorously to acknowledge that one is using a common or clichéd phrase","Translate this sentence to Chinese: 'Sportsmen , to coin a phrase , have become spiteful competitors'",“运动员们，毫不客气地说，已经变成了怨恨的竞争者”,体育运动员，套用一句话，已经变成了恶意的竞争者。,2,3.0,2,3
We left our farmhouse yesterday with a heavy heart to get back on the job .,heavy heart,feeling sad or burdened with sorrow,Translate this sentence to Chinese: 'We left our farmhouse yesterday with a heavy heart to get back on the job .',昨天我们心情沉重地离开了农舍，准备回去工作。,昨天我们怀着沉重的心情离开了农舍，回去工作。,3,3.0,3,3
"He wrote a beautiful letter to her , and , to further express his love , sealed it with a kiss .",sealed with a kiss,"to be confirmed, finalized, or made official, especially in a romantic or intimate context","Translate this sentence to Chinese: 'He wrote a beautiful letter to her , and , to further express his love , sealed it with a kiss .'",他给她写了一封漂亮的信，并且为了进一步表达他的爱，用一个吻加密了它。,他给她写了一封美丽的信，并且为了进一步表达他的爱意，用一个吻封上了信封。,2,3.0,1,3
"My daughter is still very young to understand the shades of grey , she talks in black and white .",in black and white,clearly stated or documented,"Translate this sentence to Chinese: 'My daughter is still very young to understand the shades of grey , she talks in black and white .'",我的女儿还太年轻了，无法理解灰色之间的微妙差别，她的言论都是非黑即白的。,我的女儿还太小，不懂得分辨灰色地带，她的言谈总是非黑即白。,3,3.0,3,3
The little girl practically brings home the bacon in her family .,bring home the bacon,"to earn a living, especially to provide for one's family and basic needs",Translate this sentence to Chinese: 'The little girl practically brings home the bacon in her family .',那个小女孩实际上是家里的主要经济支柱。,这个小女孩几乎是家里的顶梁柱。,3,2.0,3,3
about going to the United States for further studies and On one hand he wants to start supporting the family business and on another he feels the qualification is important to take care of the business.I am betwixt and between,betwixt and between,"being undecided or uncertain, in a state of limbo",Translate this sentence to Chinese: 'about going to the United States for further studies and On one hand he wants to start supporting the family business and on another he feels the qualification is important to take care of the business.I am betwixt and between',关于前往美国深造一事，他一方面想开始支持家族生意，另一方面他觉得学历对于经营生意很重要。我感到犹豫不决。,关于去美国深造，一方面他想开始支持家族生意，另一方面他觉得资格对管理生意很重要。我左右为难。,3,3.0,3,3
"Due to the complicated equations , we thought it is best to hire a private tutor to shed more light on the topics .",shed light,To provide information or clarity on a subject; to reveal or explain something,"Translate this sentence to Chinese: 'Due to the complicated equations , we thought it is best to hire a private tutor to shed more light on the topics .'",由于复杂的方程式，我们认为最好聘请私人辅导老师，以更好地解释这些话题。,由于这些复杂的方程式，我们认为最好请一位私人导师来更好地解释这些课题。,3,3.0,2,2
It was only after doing many small shows that he finally found his feet as a singer .,find feet,to become comfortable or familiar in a new situation or environment,Translate this sentence to Chinese: 'It was only after doing many small shows that he finally found his feet as a singer .',他只有在做了许多小型演出后，才最终找到了自己作为一名歌手的定位。,只有在做了许多小型表演之后，他才终于找到了作为歌手的感觉。,3,2.0,3,3
"Did you see Bob today ? Oh , there he comes ! Speak of the devil .",speak of the devil,to mention someone who then appears unexpectedly,"Translate this sentence to Chinese: 'Did you see Bob today ? Oh , there he comes ! Speak of the devil .'",你今天见到Bob了吗？噢，他来了！说曹操，曹操就到。,你今天看到鲍勃了吗？哦，他来了！说曹操，曹操到。,3,3.0,3,3
The character is a household name because people are able to identify with the struggles that he faces .,household name,a person or thing that has become widely known or recognized,Translate this sentence to Chinese: 'The character is a household name because people are able to identify with the struggles that he faces .',这个角色家喻户晓，因为人们能够理解他所面对的挑战。,这个角色家喻户晓，因为人们能够认同他所面临的困境。,3,3.0,2,3
That long meeting has given me bad headache and What I really need now is a strong cup of joe .,cup of joe,a cup of coffee,Translate this sentence to Chinese: 'That long meeting has given me bad headache and What I really need now is a strong cup of joe .',那次漫长的会议让我头疼不已，现在我真正需要的是一杯浓郁的咖啡。,那场漫长的会议让我头疼得厉害，现在我真正需要的是一杯浓咖啡。,3,3.0,3,3
"I get a chill to the marrow on even passing by that building , it is just so creepy .",chill to the marrow,to be extremely cold or frightened,"Translate this sentence to Chinese: 'I get a chill to the marrow on even passing by that building , it is just so creepy .'",我只是经过那栋建筑物时就感到毛骨悚然，它太诡异了。,每次经过那栋建筑，我都感觉毛骨悚然，真是太吓人了。,3,3.0,3,3
"In the end , the captain 's hard work was all in vain by the loss of the match .",in vain,to do something unsuccessfully or without success,"Translate this sentence to Chinese: 'In the end , the captain 's hard work was all in vain by the loss of the match .'",最后，队长的辛勤工作全被比赛的失败付诸东流。,最后，队长的努力因比赛的失利而付诸东流。,3,3.0,3,3
"Our new chef is just amazing while the previous one was not skilled , they are apples and oranges .",apples to oranges,comparing two things that are completely different and cannot be compared,"Translate this sentence to Chinese: 'Our new chef is just amazing while the previous one was not skilled , they are apples and oranges .'",我们的新厨师非常出色，而之前的厨师技术不熟练，他们是完全不同的。,我们的新厨师非常了不起，而之前的那个厨师水平不高，两者完全不能相提并论。,3,3.0,2,3
Alex is confused - I think he needs a pep talk .,pep talk,an inspirational or motivational speech or conversation aimed at boosting someone's morale or confidence,Translate this sentence to Chinese: 'Alex is confused - I think he needs a pep talk .',亚历克斯很困惑 - 我觉得他需要一次鼓励。,亚历克斯很困惑——我觉得他需要鼓励一下。,3,3.0,2,2
My cousin is going to go to the party come what may .,come what may,regardless of what happens; no matter what obstacles or challenges arise,Translate this sentence to Chinese: 'My cousin is going to go to the party come what may .',我的表弟无论如何都会参加派对。,我表弟无论如何都要去参加派对。,3,3.0,3,3
My brother is always coming up with ways to prank our sister and He has me in stitches .,in stitches,laughing uncontrollably,Translate this sentence to Chinese: 'My brother is always coming up with ways to prank our sister and He has me in stitches .',我哥哥总是想出方法恶作剧我们姐姐，结果逗得我哈哈大笑。,我哥哥总是想出各种方法捉弄我们的妹妹，他总是让我笑得肚子疼。,3,3.0,3,3
She looks like a dish fit for the gods in that red dress .,dish fit for the gods,a meal that is exceptionally delicious or exquisite in taste,Translate this sentence to Chinese: 'She looks like a dish fit for the gods in that red dress .',她穿着那件红色连衣裙看起来好像是供神祗食用的盘子。,她穿着那条红色的裙子看起来像天仙。,2,3.0,1,3
I am starting my new job tomorrow and it feels like I am turning over a new leaf .,turn over a new leaf,to make a fresh start or change one's behavior or attitude for the better,Translate this sentence to Chinese: 'I am starting my new job tomorrow and it feels like I am turning over a new leaf .',我明天开始我的新工作，感觉就像翻开新的一页。,我明天开始新工作，感觉像是翻开了新的一页。,3,3.0,3,3
"With missiles flying overhead and machine guns shooting at us , I thought we were done for .",done for,to be doomed or in a hopeless situation,"Translate this sentence to Chinese: 'With missiles flying overhead and machine guns shooting at us , I thought we were done for .'",隨著導彈在頭頂上飛過，機槍射擊著我們，我以為我們完了。,导弹在头顶飞过，机关枪朝我们扫射，我以为我们完蛋了。,3,3.0,3,3
I suggest that we use the funds to make new parks for under privileged children but it is your call in the end .,your call,the decision is yours; it is up to you to make the choice,Translate this sentence to Chinese: 'I suggest that we use the funds to make new parks for under privileged children but it is your call in the end .',我建议我们用这些资金为贫困儿童建立新的公园，但最终决定权在你手中。,我建议我们使用这些资金为贫困儿童建造新的公园，但最终决定权在你。,3,3.0,3,2
"The village lies in the hottest part of the country and during the dog days of summer , the little stream that runs through it dries up completely .",dog days,"the hot, sultry days of summer","Translate this sentence to Chinese: 'The village lies in the hottest part of the country and during the dog days of summer , the little stream that runs through it dries up completely .'",这个村庄位于国家最炎热的地区，在夏季的酷暑天，流经村庄的小溪完全干涸。,这个村庄位于该国最炎热的地区，在三伏天期间，穿过村庄的小溪彻底干涸。,3,3.0,3,3
That was a strong earthquake - you ca n't predict the acts of God .,act of God,"an event or occurrence that is beyond human control, often used to refer to a natural disaster or other catastrophic event",Translate this sentence to Chinese: 'That was a strong earthquake - you ca n't predict the acts of God .',那是一个强烈的地震-你无法预测上帝的行动。,那是一场强烈的地震——你无法预测天意。,3,3.0,1,3
He will take over the project from me when I go on leave .,take over,to assume control or responsibility for something or someone; to dominate or overpower someone or something,Translate this sentence to Chinese: 'He will take over the project from me when I go on leave .',当我休假时，他将接替我负责这个项目。,我休假时，他将接管我的项目。,3,3.0,3,3
He kept promising her he would marry her and let her stay in that fool 's paradise for way too long .,fool's paradise,a state of happiness or contentment based on false or unrealistic beliefs or hopes,Translate this sentence to Chinese: 'He kept promising her he would marry her and let her stay in that fool 's paradise for way too long .',他不断地向她承诺他会和她结婚，让她在那种白日梦中呆得太久了。,他一直向她承诺会娶她，让她在那个虚幻的美梦中待了太久。,3,3.0,2,3
You think I am a has-been in this field but that is not true .,has-been,someone who was once popular or successful but is no longer relevant or important,Translate this sentence to Chinese: 'You think I am a has-been in this field but that is not true .',你认为我在这个领域已经过气了，但事实并非如此。,你认为我在这个领域是一个过气的人，但那不是真的。,3,3.0,3,2
I think it 's not safe to drive the car now - it 's raining cats and dogs . '',raining cats and dogs,to rain very heavily,Translate this sentence to Chinese: 'I think it 's not safe to drive the car now - it 's raining cats and dogs . ''',我认为现在开车不安全 - 天下着倾盆大雨。,我认为现在开车不安全——外面正下着倾盆大雨。,3,3.0,3,3
How would I know that you have come down with the flu and that is why you did not attend the party ?,come down with,to become ill with a particular illness or condition,Translate this sentence to Chinese: 'How would I know that you have come down with the flu and that is why you did not attend the party ?',我怎么知道你得了流感，所以没去参加聚会？,我怎么会知道你得了流感，所以没有参加聚会呢？,3,3.0,3,3
There 's no competition ; our team is simply head and shoulders above the rest .,head and shoulders above,far superior; much better than,Translate this sentence to Chinese: 'There 's no competition ; our team is simply head and shoulders above the rest .',没有竞争; 我们的团队简直是其他人中的佼佼者。,没有竞争；我们队简直比其他队高出一大截。,3,3.0,3,2
"Although the inquiry is underway after goods were found missing from the warehouse , the storekeeper was asked to resign on suspicion of stealing and he left under a cloud .",under a cloud,under suspicion or in disfavor; in a state of disgrace or disrepute,"Translate this sentence to Chinese: 'Although the inquiry is underway after goods were found missing from the warehouse , the storekeeper was asked to resign on suspicion of stealing and he left under a cloud .'",尽管在仓库发现货物不见后正在进行调查，但店长因涉嫌偷窃被要求辞职，并在不光彩的情况下离开。,尽管在发现仓库物品丢失后调查正在进行中，仓库保管员因涉嫌盗窃被要求辞职，他在不光彩的情况下离开了。,3,3.0,3,3
We love your company and come again !,come again,to ask someone to repeat what they said because you didn't understand it or to express surprise or disbelief about what they said,Translate this sentence to Chinese: 'We love your company and come again !',我们喜欢你们的公司，会再来的！,我们喜欢你的陪伴，欢迎再来！,3,3.0,1,1
You are a Hollywood actor and Of course you are a household name in my country !,household name,a person or thing that has become widely known or recognized,Translate this sentence to Chinese: 'You are a Hollywood actor and Of course you are a household name in my country !',你是一名好莱坞演员，当然在我的国家是家喻户晓的名字！,你是好莱坞演员，当然在我国是家喻户晓的名字！,3,3.0,3,3
Jane always looks forward to taking official tours .,look forward,to anticipate or be excited about something that is going to happen in the future,Translate this sentence to Chinese: 'Jane always looks forward to taking official tours .',简总是盼望着参加正式的旅行团。,简总是期待着参加官方旅游。,3,3.0,1,1
Nations need to take strong actions to drain the swamps breeding terrorists .,drain the swamp,"to eliminate corruption or inefficiency, usually in a political context",Translate this sentence to Chinese: 'Nations need to take strong actions to drain the swamps breeding terrorists .',国家需要采取强有力的行动来清除孕育恐怖分子的沼泽。,各国需要采取有力措施来清除滋生恐怖分子的泥沼。,3,3.0,3,3
The kids write to me from time to time letting me know of their latest adventures .,from time to time,occasionally or periodically,Translate this sentence to Chinese: 'The kids write to me from time to time letting me know of their latest adventures .',孩子们不时给我写信，告诉我他们最近的冒险。,孩子们时不时写信告诉我他们最新的冒险经历。,3,3.0,3,3
Can your favorite team pull a rabbit out of the hat and win the tournament this time ?,pull a rabbit out of the hat,"to do something unexpected or impressive, especially in a difficult or challenging situation",Translate this sentence to Chinese: 'Can your favorite team pull a rabbit out of the hat and win the tournament this time ?',你最喜爱的球队能否戏法般取胜并赢得锦标赛？,你最喜欢的球队这次能不能变出魔术来赢得比赛？,3,2.0,3,2
"I will be there for your wedding , come hell or high water .",come hell or high water,no matter what happens or what difficulties are encountered; regardless of the obstacles or challenges that may arise,"Translate this sentence to Chinese: 'I will be there for your wedding , come hell or high water .'",无论发生什么，我一定会参加你的婚礼。,无论发生什么，我都会去参加你的婚礼。,3,3.0,1,2
"Before I could say Jack Robinson , Tom had rushed out of the room .",before one can say Jack Robinson,to happen very quickly or suddenly,"Translate this sentence to Chinese: 'Before I could say Jack Robinson , Tom had rushed out of the room .'",在我还没说出“杰克·罗宾逊”的时候，汤姆已经冲出了房间。,我还没来得及反应，汤姆就冲出了房间。,2,3.0,1,2
"Their investigation led them to a dead end , so now they are back to square one .",back to square one,to return to the starting point or to start over again,"Translate this sentence to Chinese: 'Their investigation led them to a dead end , so now they are back to square one .'",他们的调查走到了死胡同，所以现在又回到了起点。,他们的调查陷入了死胡同，所以现在他们又回到了原点。,3,3.0,3,3
He will help you practise the dance over and over again .,over and over again,repeatedly,Translate this sentence to Chinese: 'He will help you practise the dance over and over again .',他会帮助你一遍又一遍地练习舞蹈。,他会一遍又一遍地帮你练习这支舞。,3,3.0,3,3
My husband has had trouble maintaining a job in the shifting sands of the economy .,shifting sands,constantly changing or uncertain situation,Translate this sentence to Chinese: 'My husband has had trouble maintaining a job in the shifting sands of the economy .',我的丈夫在经济的起伏中很难保持一份工作。,在经济变化莫测的环境中，我丈夫一直难以维持一份工作。,3,3.0,2,3
