Idiomatic_Sent,Original_Idiom,Original_Meaning,high_similarity_chinese_idioms,Chinese_Idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,Evaluation_KB_4,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
If a girl turns a blind eye on your comments - it does n't mean that she started liking you .,turn a blind eye,to ignore or pretend not to see something,"不屑一顾 (0.71), 掩鼻而过 (0.82), 等闲视之 (0.70), 置之不理 (0.74), 置之度外 (0.82), 视若无睹 (0.78), 闭目塞听 (0.73), 顾此失彼 (0.70), 置之不顾 (0.77), 避人耳目 (0.71), 不管不顾 (0.71)",视若无睹,"'turn a blind eye' means '视若无睹'. Given the above knowledge, translate this sentence to Chinese: 'If a girl turns a blind eye on your comments - it does n't mean that she started liking you .'.",如果一个女孩对你的评论视而不见，这并不意味着她开始喜欢你。,如果一个女孩对你的评论视若无睹，这并不意味着她开始喜欢你了。,,3.0,3,3,3
"InÂ theÂ closingÂ fewÂ minutes , Â ourÂ teamÂ hadÂ itsÂ backÂ toÂ theÂ wallÂ butÂ continuedÂ toÂ fightÂ gallantly .",back to the wall,to be in a difficult or desperate situation with no easy way out,"上不着天，下不着地 (0.74), 上无片瓦，下无插针之地 (0.71), 势成骑虎 (0.76), 坐困愁城 (0.79), 左支右绌 (0.76), 捉襟见肘 (0.81), 步履维艰 (0.73), 瓮中之鳖 (0.71), 釜底游鱼 (0.84), 骑虎难下 (0.82), 难分难舍 (0.71), 网漏吞舟 (0.81), 置之死地 (0.74), 碧落黄泉 (0.71), 寒蝉凄切 (0.75)",置之死地,"'back to the wall' means '置之死地'. Given the above knowledge, translate this sentence to Chinese: 'InÂ theÂ closingÂ fewÂ minutes , Â ourÂ teamÂ hadÂ itsÂ backÂ toÂ theÂ wallÂ butÂ continuedÂ toÂ fightÂ gallantly .'.",在比赛的最后几分钟，我们的队伍置之死地，但仍然英勇战斗。,在最后几分钟，我们队被置之死地，但仍然英勇奋战。,,3.0,3,2,2
"The tendency these days is to hope for the best , but prepare for the worst .","hope for the best, but prepare for the worst",to remain optimistic while being cautious and prepared for any possible negative outcome,,,"hope for the best, but prepare for the worst' means 'to remain optimistic while being cautious and prepared for any possible negative outcome'. Given the above knowledge, translate this sentence to Chinese: 'The tendency these days is to hope for the best , but prepare for the worst .'.",这些天的趋势是抱最好的希望，做最坏的准备。,如今的趋势是抱最好的希望，但做最坏的准备。,,3.0,3,3,3
I 'd like people to follow by example and hence the top management has to be absolutely flawless .,follow by,to happen or come after something else,,,"follow by' means 'to happen or come after something else'. Given the above knowledge, translate this sentence to Chinese: 'I 'd like people to follow by example and hence the top management has to be absolutely flawless .'.",我希望人们以身作则，因此高层管理必须绝对无可挑剔。,我希望人们以身作则，因此高层管理人员必须绝对完美。,,3.0,3,3,3
The meeting has been brought forward by the board and we have to start preparing for it right away .,brought forward,to move a scheduled event or meeting to an earlier date or time,,,"brought forward' means 'to move a scheduled event or meeting to an earlier date or time'. Given the above knowledge, translate this sentence to Chinese: 'The meeting has been brought forward by the board and we have to start preparing for it right away .'.",会议被董事会提前，我们必须立即开始准备。,会议已被董事会提前了，我们必须马上开始准备。,,3.0,3,3,3
They lost touch when Di got married and moved away .,lose touch,to lose contact or communication with someone over time,,,"lose touch' means 'to lose contact or communication with someone over time'. Given the above knowledge, translate this sentence to Chinese: 'They lost touch when Di got married and moved away .'.",他们在迪结婚并搬走后失去了联系。,当迪结婚并搬走后，他们失去了联系。,,3.0,3,3,3
"The cloud of gloom hanging over the area is so dense , it 's hard to see any sign of a silver lining .",silver lining,an unexpected positive aspect or outcome within a negative or difficult situation,"节外生枝 (0.71), 美中不足 (0.74)",美中不足,"'silver lining' means '美中不足'. Given the above knowledge, translate this sentence to Chinese: 'The cloud of gloom hanging over the area is so dense , it 's hard to see any sign of a silver lining .'.",这片区域笼罩着浓厚的阴云，很难看到任何美中不足的迹象。,笼罩在这个地区上空的阴云如此浓重，很难看到任何一丝美中不足的迹象。,,1.0,2,1,1
Do you really want to follow the footsteps of such a cold hearted person ?,cold hearted,lacking compassion or empathy; unfeeling or indifferent,"不近人情 (0.83), 漠不关心 (0.74), 无动于衷 (0.73), 麻木不仁 (0.74), 流水无情 (0.80), 恻隐之心 (0.76)",不近人情,"'cold hearted' means '不近人情'. Given the above knowledge, translate this sentence to Chinese: 'Do you really want to follow the footsteps of such a cold hearted person ?'.",你真的想要跟随这样一个不近人情的人的脚步吗？,你真的想追随这样一个不近人情的人吗？,,3.0,3,3,3
Tribal tattoos used to be all the rage and now people are just stuck with silly symbols on their bodies .,all the rage,extremely popular or fashionable,洛阳纸贵 (0.81),洛阳纸贵,"'all the rage' means '洛阳纸贵'. Given the above knowledge, translate this sentence to Chinese: 'Tribal tattoos used to be all the rage and now people are just stuck with silly symbols on their bodies .'.",部落纹身曾经风靡一时，现在人们只能满身傻瓜符号无法摆脱。,部落纹身曾经是洛阳纸贵，现在人们只是身上留着傻乎乎的符号。,,3.0,3,2,2
"Although most parties have agreed on the deal , it is not yet cut and dried .",cut and dried,Completely settled or decided; lacking any flexibility or room for discussion or change,,,"cut and dried' means 'Completely settled or decided; lacking any flexibility or room for discussion or change'. Given the above knowledge, translate this sentence to Chinese: 'Although most parties have agreed on the deal , it is not yet cut and dried .'.",尽管大多数各方已经同意这笔交易，但它还没有定局。,尽管大多数人已经同意了这笔交易，但它尚未完全确定。,,3.0,3,3,3
New Zealand residents urged to cut-down water use .,cut down,"to reduce in size, quantity, or intensity",,,"cut down' means 'to reduce in size, quantity, or intensity'. Given the above knowledge, translate this sentence to Chinese: 'New Zealand residents urged to cut-down water use .'.",新西兰居民被敦促减少用水量。,新西兰居民被敦促减少用水。,,3.0,3,3,3
His years of experience in the spoken English field has stood him in good stead .,stand in a good stead,to be of great benefit or advantage to someone in the future,"顺手牵羊 (0.70), 顺水人情 (0.74), 渔人之利 (0.75), 大有裨益 (0.77), 龙跃凤鸣 (0.72), 凿壁借光 (0.73), 因利乘便 (0.72), 受益匪浅 (0.84)",大有裨益,"'stand in a good stead' means '大有裨益'. Given the above knowledge, translate this sentence to Chinese: 'His years of experience in the spoken English field has stood him in good stead .'.",他在口语英语领域多年的经验大有裨益。,他多年在英语口语领域的经验对他大有裨益。,,3.0,3,3,3
I am on the case to book a flight before it ’ s too late .,on the case,actively investigating or working on a situation or problem,,,"on the case' means 'actively investigating or working on a situation or problem'. Given the above knowledge, translate this sentence to Chinese: 'I am on the case to book a flight before it ’ s too late .'.",我正在努力订机票，以免为时已晚。,我正在处理订票的事情，以免为时已晚。,,3.0,3,3,3
I believe that digital learning is the way forward .,way forward,the best or most effective course of action moving forward,一步一趋 (0.73),一步一趋,"'way forward' means '一步一趋'. Given the above knowledge, translate this sentence to Chinese: 'I believe that digital learning is the way forward .'.",我相信数字学习是一步一趋。,我相信数字学习是一步一趋的方向。,,2.0,2,1,1
The manager-employee problems in this company are just the tip of the iceberg .,tip of the iceberg,"a small, noticeable part or aspect of a larger, more complex issue or problem",,,"tip of the iceberg' means 'a small, noticeable part or aspect of a larger, more complex issue or problem'. Given the above knowledge, translate this sentence to Chinese: 'The manager-employee problems in this company are just the tip of the iceberg .'.",这家公司的经理和员工之间的问题只是冰山一角。,这家公司里的经理和员工之间的问题只是冰山一角。,,3.0,3,3,3
"During the military coup , all the industry was advised to carry on as per their usual routine .",carry on,"to continue, proceed, or persist with an activity or task","持之以恒 (0.72), 难乎为继 (0.71)",持之以恒,"'carry on' means '持之以恒'. Given the above knowledge, translate this sentence to Chinese: 'During the military coup , all the industry was advised to carry on as per their usual routine .'.",在军事政变期间，建议所有行业继续按照他们通常的日程进行。,在军事政变期间，所有行业都被建议按照平常的惯例持之以恒。,,3.0,3,3,1
I really do n't like my project partner because he seems to be a yes man whenever I suggest ideas regarding optimizing code .,yes man,"a person who always agrees with and obeys someone in order to please them, often to the point of insincerity",,,"yes man' means 'a person who always agrees with and obeys someone in order to please them, often to the point of insincerity'. Given the above knowledge, translate this sentence to Chinese: 'I really do n't like my project partner because he seems to be a yes man whenever I suggest ideas regarding optimizing code .'.",我真的不喜欢我的项目伙伴，因为每当我建议优化代码的想法时，他似乎总是一个唯唯诺诺的人。,我真的不喜欢我的项目伙伴，因为每当我提出优化代码的建议时，他似乎总是言听计从。,,3.0,3,3,3
Someone has said the truth a burnt child dreads the fire .,a burnt child dreads the fire,someone who has been hurt or had a bad experience is extra cautious to avoid similar situations in the future,"一朝被蛇咬，十年怕井绳 (0.80), 拈轻怕重 (0.70)",一朝被蛇咬，十年怕井绳,"'a burnt child dreads the fire' means '一朝被蛇咬，十年怕井绳'. Given the above knowledge, translate this sentence to Chinese: 'Someone has said the truth a burnt child dreads the fire .'.",有人说过，一朝被蛇咬，十年怕井绳。,有人说过，一朝被蛇咬，十年怕井绳。,,3.0,3,3,3
The pastries at this shop are a cut above the rest and you must try them .,a cut above,of higher quality or better than average,,,"a cut above' means 'of higher quality or better than average'. Given the above knowledge, translate this sentence to Chinese: 'The pastries at this shop are a cut above the rest and you must try them .'.",这家店的糕点优质过人，你一定要尝一尝。,这家店的糕点比其他的都要好，你一定要试试。,,3.0,3,3,2
The checks for the charity are coming in dribs and drabs .,dribs and drabs,"small or insignificant amounts, often given or received intermittently",一星半点 (0.71),一星半点,"'dribs and drabs' means '一星半点'. Given the above knowledge, translate this sentence to Chinese: 'The checks for the charity are coming in dribs and drabs .'.",慈善机构的支票零零散散地陆续到账。,捐给慈善机构的支票正一星半点地进来。,,3.0,3,3,3
Go with the flow and look for opportunities .,go with the flow,to adapt to a situation or circumstance without resistance or effort,"到什么山唱什么歌 (0.78), 因时制宜 (0.76), 看菜吃饭，量体裁衣 (0.77), 临机应变 (0.73), 随机应变 (0.80), 相时而动 (0.74), 马不解鞍 (0.71), 安时处顺 (0.76)",随机应变,"'go with the flow' means '随机应变'. Given the above knowledge, translate this sentence to Chinese: 'Go with the flow and look for opportunities .'.",随机应变，寻找机会。,随机应变并寻找机会。,,2.0,2,3,2
I really get belly laugh when I am talking with him .,belly laugh,"a deep, hearty laugh","哄堂大笑 (0.70), 嘻嘻哈哈 (0.78), 呲牙咧嘴 (0.74), 龇牙咧嘴 (0.74), 令人喷饭 (0.75), 声音笑貌 (0.71)",哄堂大笑,"'belly laugh' means '哄堂大笑'. Given the above knowledge, translate this sentence to Chinese: 'I really get belly laugh when I am talking with him .'.",我和他聊天时总是哄堂大笑。,和他说话时我总是哄堂大笑。,,3.0,3,3,3
The political party is in deep water after it was discovered that their candidate had lied in the report .,in deep water,in a difficult or dangerous situation; in trouble or facing serious consequences,"内外交困 (0.71), 刀山火海 (0.72), 坐困愁城 (0.73), 大风大浪 (0.77), 岌岌可危 (0.78), 心腹之患 (0.70), 捉襟见肘 (0.79), 水深火热 (0.86), 临危授命 (0.74), 大难不死 (0.72), 荆棘丛生 (0.71), 桃僵李代 (0.72), 荆天棘地 (0.80)",水深火热,"'in deep water' means '水深火热'. Given the above knowledge, translate this sentence to Chinese: 'The political party is in deep water after it was discovered that their candidate had lied in the report .'.",政党在发现他们的候选人在报告中撒谎后陷入困境。,那政党在发现其候选人在报告中撒谎后，陷入了水深火热之中。,,3.0,3,3,3
Dollars to donuts that the economy is going to be hit adversely due to fall in prices . ',dollars to donuts,"an expression used to indicate absolute certainty or confidence in a prediction or outcome, often used when comparing two unequal things",,,"dollars to donuts' means 'an expression used to indicate absolute certainty or confidence in a prediction or outcome, often used when comparing two unequal things'. Given the above knowledge, translate this sentence to Chinese: 'Dollars to donuts that the economy is going to be hit adversely due to fall in prices . ''.",美元对甜甜圈，经济将因价格下跌而受到不利影响。,十拿九稳，经济将因价格下跌而受到不利影响。,,1.0,3,1,3
The automobile turned turtle on the highway when the storm got too strong .,turn turtle,"to overturn or capsize, especially in reference to a vehicle or vessel",,,"turn turtle' means 'to overturn or capsize, especially in reference to a vehicle or vessel'. Given the above knowledge, translate this sentence to Chinese: 'The automobile turned turtle on the highway when the storm got too strong .'.",汽车在高速公路上翻车了，因为风暴太强了。,汽车在高速公路上翻车了，因为风暴太强烈了。,,3.0,3,2,3
Kim was terribly embarrassed having walked into Pat 's room while he was in the buff .,in the buff,naked or without clothing,一丝不挂 (0.86),一丝不挂,"'in the buff' means '一丝不挂'. Given the above knowledge, translate this sentence to Chinese: 'Kim was terribly embarrassed having walked into Pat 's room while he was in the buff .'.","""金姆走进帕特的房间时，他一丝不挂，让他感到非常尴尬。""",金非常尴尬，因为她走进帕特的房间时，他一丝不挂。,,3.0,3,3,3
"While I was teaching , I observed that Salina is miles away from the lecture .",miles away,deeply lost in thought or daydreaming; not mentally present or paying attention,神思恍惚 (0.72),神思恍惚,"'miles away' means '神思恍惚'. Given the above knowledge, translate this sentence to Chinese: 'While I was teaching , I observed that Salina is miles away from the lecture .'.",在我讲课的时候，我观察到莎琳娜对讲座的神思恍惚。,上课时，我发现萨琳娜神思恍惚。,,3.0,3,3,3
"In old times , before the age of the internet , lovers would write letters to each other , and these love letters would be sealed with a kiss .",sealed with a kiss,"to be confirmed, finalized, or made official, especially in a romantic or intimate context",,,"sealed with a kiss' means 'to be confirmed, finalized, or made official, especially in a romantic or intimate context'. Given the above knowledge, translate this sentence to Chinese: 'In old times , before the age of the internet , lovers would write letters to each other , and these love letters would be sealed with a kiss .'.",在互联网时代之前，恋人们会互相写信，这些情书会用吻封缄。,在旧时代，在互联网时代之前，恋人们会互相写信，而这些情书会以一个吻封缄。,,3.0,3,3,3
"You 've got the wrong end of the stick , she is not going abroad , and I am going instead .",get the wrong end of the stick,to misunderstand or misinterpret something,,,"get the wrong end of the stick' means 'to misunderstand or misinterpret something'. Given the above knowledge, translate this sentence to Chinese: 'You 've got the wrong end of the stick , she is not going abroad , and I am going instead .'.",你弄错了，她不是要出国，我要去代替她。,你误会了，她不出国，我才是要出国的人。,,2.0,3,1,2
"For the annual debate competition , I am armed to the teeth and quite confident that I will win .",armed to the teeth,"being heavily armed or well-equipped, often to an excessive or extreme degree",,,"armed to the teeth' means 'being heavily armed or well-equipped, often to an excessive or extreme degree'. Given the above knowledge, translate this sentence to Chinese: 'For the annual debate competition , I am armed to the teeth and quite confident that I will win .'.",对于每年的辩论比赛，我准备充分，信心满满，我相信我会获胜。,为了年度辩论比赛，我全副武装，对获胜充满信心。,,3.0,3,1,3
He said you ca n't take it with you so try to introspect your attachment .,you can't take it with you,"You can't bring your possessions or wealth with you when you die, so it's not worth obsessing over material things.",,,"you can't take it with you' means 'You can't bring your possessions or wealth with you when you die, so it's not worth obsessing over material things.'. Given the above knowledge, translate this sentence to Chinese: 'He said you ca n't take it with you so try to introspect your attachment .'.",他说你不能带走它，所以试着反省一下你的附件。,他说你不能带走它，所以试着反省你的执着。,,1.0,3,1,2
"He was depending heavily on the success of his venture , but when it failed , he was ruined and He realized that he should not have put all his eggs in one basket .",don't put all your eggs in one basket,"Do not risk everything on a single plan or opportunity, as if it fails, you will lose everything.",,,"don't put all your eggs in one basket' means 'Do not risk everything on a single plan or opportunity, as if it fails, you will lose everything.'. Given the above knowledge, translate this sentence to Chinese: 'He was depending heavily on the success of his venture , but when it failed , he was ruined and He realized that he should not have put all his eggs in one basket .'.",他过分依赖他的事业成功，但当它失败时，他破产了，他意识到他不应该把所有的鸡蛋放在一个篮子里。,他非常依赖于他的企业的成功，但当它失败时，他被毁了，他意识到自己不应该把所有的鸡蛋放在一个篮子里。,,3.0,3,3,3
I am searching for a house and I want it to be a stone 's throw away from the river .,stone's throw,a very short distance; a close proximity,"鞭长不及 (0.71), 极目远望 (0.76)",鞭长不及,"'stone's throw' means '鞭长不及'. Given the above knowledge, translate this sentence to Chinese: 'I am searching for a house and I want it to be a stone 's throw away from the river .'.",我在找房子，希望它离河边近。,我在找房子，想要离河流很近的。,,3.0,3,1,1
"I had a gut feeling that he had been lying , and sure enough , it was later proved that he had been .",gut feeling,"a strong intuition or instinctive feeling about something, often without tangible evidence or logical reasoning",,,"gut feeling' means 'a strong intuition or instinctive feeling about something, often without tangible evidence or logical reasoning'. Given the above knowledge, translate this sentence to Chinese: 'I had a gut feeling that he had been lying , and sure enough , it was later proved that he had been .'.",我有一种直觉感觉他在撒谎，果然，后来证明他确实如此。,我有一种直觉，他在撒谎，果然，后来证明他确实在撒谎。,,3.0,3,3,3
The National Airline has become a massive black hole in the economy .,black hole,"a place or situation where things, especially money or resources, seem to disappear without trace",,,"black hole' means 'a place or situation where things, especially money or resources, seem to disappear without trace'. Given the above knowledge, translate this sentence to Chinese: 'The National Airline has become a massive black hole in the economy .'.",国家航空公司已经成为经济中一个巨大的黑洞。,国家航空公司已经成为经济中的一个巨大的黑洞。,,3.0,3,3,3
The new restaurant is said to be open round the clock .,round the clock,"continuous or non-stop, without interruption or pause","马不停蹄 (0.95), 绵绵不绝 (0.78), 绵绵不断 (0.81), 接连不断 (0.86)",马不停蹄,"'round the clock' means '马不停蹄'. Given the above knowledge, translate this sentence to Chinese: 'The new restaurant is said to be open round the clock .'.",据说，新餐厅马不停蹄地营业。,据说这家新餐厅马不停蹄地营业。,,2.0,2,1,1
"He had been playing poorly all season , so the coach warned him that he should get his act together if wanted to keep his place in the team .",get act together,"to organize oneself, get organized, or get one's affairs in order; to start behaving or performing better; to make improvements or show progress",,,"get act together' means 'to organize oneself, get organized, or get one's affairs in order; to start behaving or performing better; to make improvements or show progress'. Given the above knowledge, translate this sentence to Chinese: 'He had been playing poorly all season , so the coach warned him that he should get his act together if wanted to keep his place in the team .'.",他整个赛季表现不佳，所以教练警告他，如果想留在球队中，就应该整顿自己。,他整个赛季表现都很差，所以教练警告他说，如果他想保住自己在队里的位置，就必须振作起来。,,3.0,3,1,3
All soldiers have to bite the bullet when they get their drafting letter .,bite the bullet,to face a difficult or unpleasant situation with courage and determination,"势成骑虎 (0.73), 左支右绌 (0.70), 捉襟见肘 (0.72), 有勇无谋 (0.76), 步履维艰 (0.71), 浑身是胆 (0.72), 知难而进 (0.75), 负隅顽抗 (0.72), 余勇可贾 (0.71), 壮士解腕 (0.70), 傲雪欺霜 (0.73), 出于无奈 (0.71), 桃僵李代 (0.72), 傲霜斗雪 (0.83), 劈风斩浪 (0.73), 临难不惧 (0.71), 不辞劳苦 (0.71)",知难而进,"'bite the bullet' means '知难而进'. Given the above knowledge, translate this sentence to Chinese: 'All soldiers have to bite the bullet when they get their drafting letter .'.",所有士兵在收到征召信时都必须要知难而进。,所有士兵在收到征兵信时都必须知难而进。,,3.0,3,2,2
"We have had a smooth journey so far , touch wood .",knock on wood (touch wood),"To hope that something will happen as planned or to bring good luck, often by touching or knocking on wood to avoid tempting fate.",,,"knock on wood (touch wood)' means 'To hope that something will happen as planned or to bring good luck, often by touching or knocking on wood to avoid tempting fate.'. Given the above knowledge, translate this sentence to Chinese: 'We have had a smooth journey so far , touch wood .'.",到目前为止，我们的旅程一帆风顺，碰木头。,到目前为止，我们的旅程很顺利，敲木头。,,3.0,3,1,1
"Do n't be in the doldrums , get up and let 's find some way to get out of here . ''",doldrums,a state of low spirits or inactivity; a feeling of sadness or stagnation,,,"doldrums' means 'a state of low spirits or inactivity; a feeling of sadness or stagnation'. Given the above knowledge, translate this sentence to Chinese: 'Do n't be in the doldrums , get up and let 's find some way to get out of here . '''.",不要陷入低迷，起来吧，让我们找到一些方法离开这里。,别闷闷不乐，起来吧，我们找个办法离开这里。,,3.0,3,2,3
"I would have loved to go with my friends on a vacation , but it would have cost me an arm and a leg .",cost an arm and a leg,to be very expensive; to cost a lot of money,,,"cost an arm and a leg' means 'to be very expensive; to cost a lot of money'. Given the above knowledge, translate this sentence to Chinese: 'I would have loved to go with my friends on a vacation , but it would have cost me an arm and a leg .'.",我本来很想和朋友一起去度假，但是那将会花费我一大笔钱。,我本来很想和朋友们一起去度假，但那会花费我一大笔钱。,,3.0,3,3,3
In spite of the scientist 's efforts the research leads to a dead end .,dead end,a situation with no further progress or opportunity for advancement,,,"dead end' means 'a situation with no further progress or opportunity for advancement'. Given the above knowledge, translate this sentence to Chinese: 'In spite of the scientist 's efforts the research leads to a dead end .'.",尽管科学家努力了，研究还是陷入了死胡同。,尽管科学家付出了努力，这项研究还是走到了死胡同。,,3.0,3,3,3
"Sportsmen , to coin a phrase , have become spiteful competitors",coin a phrase,"to invent or create a new expression or saying, typically used humorously to acknowledge that one is using a common or clichéd phrase",,,"coin a phrase' means 'to invent or create a new expression or saying, typically used humorously to acknowledge that one is using a common or clichéd phrase'. Given the above knowledge, translate this sentence to Chinese: 'Sportsmen , to coin a phrase , have become spiteful competitors'.",运动员，打个比方，已经变成了互相恶意竞争的对手。,运动员，用一句老话说，已经变成了恶意竞争者。,,3.0,2,2,2
We left our farmhouse yesterday with a heavy heart to get back on the job .,heavy heart,feeling sad or burdened with sorrow,"向隅而泣 (0.72), 呜呼哀哉 (0.74), 如丧考妣 (0.75), 悲愤填膺 (0.71), 悲喜交集 (0.78), 郁郁寡欢 (0.76), 郁郁不乐 (0.78), 黯然神伤 (0.81), 乐极则悲 (0.73), 感慨系之 (0.72), 怅然若失 (0.72), 鬼泣神号 (0.79), 悲痛欲绝 (0.75), 哀声叹气 (0.75), 黯然伤神 (0.84), 哀痛欲绝 (0.79), 五内如焚 (0.78), 悲不自胜 (0.71), 悱恻缠绵 (0.82)",郁郁寡欢,"'heavy heart' means '郁郁寡欢'. Given the above knowledge, translate this sentence to Chinese: 'We left our farmhouse yesterday with a heavy heart to get back on the job .'.",我们昨天怀着沉重的心情离开了农舍，准备回去工作。,我们昨天怀着郁郁寡欢的心情离开了农舍，重返工作岗位。,,3.0,3,3,3
"He wrote a beautiful letter to her , and , to further express his love , sealed it with a kiss .",sealed with a kiss,"to be confirmed, finalized, or made official, especially in a romantic or intimate context",,,"sealed with a kiss' means 'to be confirmed, finalized, or made official, especially in a romantic or intimate context'. Given the above knowledge, translate this sentence to Chinese: 'He wrote a beautiful letter to her , and , to further express his love , sealed it with a kiss .'.",他给她写了一封美丽的信，并为了进一步表达他的爱，用一个吻封上了信。,他给她写了一封美丽的信，并为了进一步表达他的爱，用一个吻封住了信。,,3.0,3,3,2
"My daughter is still very young to understand the shades of grey , she talks in black and white .",in black and white,clearly stated or documented,,,"in black and white' means 'clearly stated or documented'. Given the above knowledge, translate this sentence to Chinese: 'My daughter is still very young to understand the shades of grey , she talks in black and white .'.",我的女儿还太小，无法理解灰色的阴暗，她说话很直白。,我的女儿还太小，不懂得灰色地带，她总是非黑即白地说话。,,2.0,3,2,3
The little girl practically brings home the bacon in her family .,bring home the bacon,"to earn a living, especially to provide for one's family and basic needs",养家活口 (0.71),养家活口,"'bring home the bacon' means '养家活口'. Given the above knowledge, translate this sentence to Chinese: 'The little girl practically brings home the bacon in her family .'.",这个小女孩几乎是家里的养家活口。,这个小女孩几乎是家里的顶梁柱。,,3.0,2,3,3
about going to the United States for further studies and On one hand he wants to start supporting the family business and on another he feels the qualification is important to take care of the business.I am betwixt and between,betwixt and between,"being undecided or uncertain, in a state of limbo",,,"betwixt and between' means 'being undecided or uncertain, in a state of limbo'. Given the above knowledge, translate this sentence to Chinese: 'about going to the United States for further studies and On one hand he wants to start supporting the family business and on another he feels the qualification is important to take care of the business.I am betwixt and between'.",他在考虑要不要去美国深造，一方面他想开始支持家族生意，另一方面他觉得学历对经营家族生意很重要。他感到自己左右为难。,关于去美国深造，一方面他想开始支持家族生意，另一方面他觉得学历对管理生意很重要。我左右为难。,,3.0,3,3,3
"Due to the complicated equations , we thought it is best to hire a private tutor to shed more light on the topics .",shed light,To provide information or clarity on a subject; to reveal or explain something,以微知著 (0.70),以微知著,"'shed light' means '以微知著'. Given the above knowledge, translate this sentence to Chinese: 'Due to the complicated equations , we thought it is best to hire a private tutor to shed more light on the topics .'.",由於這些複雜的方程式，我們認為最好請一位私人導師來對這些主題進行更深入的解析。,由于这些方程式很复杂，我们认为最好聘请私人导师来对这些课题加以解释。,,3.0,2,2,2
It was only after doing many small shows that he finally found his feet as a singer .,find feet,to become comfortable or familiar in a new situation or environment,"身临其境 (0.74), 新来乍到 (0.72)",新来乍到,"'find feet' means '新来乍到'. Given the above knowledge, translate this sentence to Chinese: 'It was only after doing many small shows that he finally found his feet as a singer .'.",直到做了许多小型表演，他终于作为歌手找到了自己的位置。,只有在做了许多小型演出之后，他才终于适应了作为歌手的角色。,,3.0,3,2,3
"Did you see Bob today ? Oh , there he comes ! Speak of the devil .",speak of the devil,to mention someone who then appears unexpectedly,,,"speak of the devil' means 'to mention someone who then appears unexpectedly'. Given the above knowledge, translate this sentence to Chinese: 'Did you see Bob today ? Oh , there he comes ! Speak of the devil .'.",你今天看到Bob了吗？哦，他来了！说曹操，曹操就到。,你今天见到鲍勃了吗？哦，他来了！说曹操，曹操到。,,3.0,3,3,3
The character is a household name because people are able to identify with the struggles that he faces .,household name,a person or thing that has become widely known or recognized,名满天下 (0.73),名满天下,"'household name' means '名满天下'. Given the above knowledge, translate this sentence to Chinese: 'The character is a household name because people are able to identify with the struggles that he faces .'.",这个角色是家喻户晓的，因为人们能够认同他所面临的挑战。,这个角色名满天下，因为人们能够认同他所面临的挣扎。,,3.0,3,3,3
That long meeting has given me bad headache and What I really need now is a strong cup of joe .,cup of joe,a cup of coffee,,,"cup of joe' means 'a cup of coffee'. Given the above knowledge, translate this sentence to Chinese: 'That long meeting has given me bad headache and What I really need now is a strong cup of joe .'.",那场长时间的会议让我头疼得厉害，我现在真正需要的是一杯浓郁的咖啡。,那个漫长的会议让我头疼不已，我现在真正需要的是一杯浓浓的咖啡。,,3.0,3,3,3
"I get a chill to the marrow on even passing by that building , it is just so creepy .",chill to the marrow,to be extremely cold or frightened,"不寒而栗 (0.81), 冷若冰霜 (0.78), 心胆俱裂 (0.75), 胆战心惊 (0.77), 谈虎色变 (0.74), 风声鹤唳 (0.71), 魂不守舍 (0.71), 屁滚尿流 (0.81), 心惊胆寒 (0.79), 惊慌失色 (0.81)",不寒而栗,"'chill to the marrow' means '不寒而栗'. Given the above knowledge, translate this sentence to Chinese: 'I get a chill to the marrow on even passing by that building , it is just so creepy .'.",我只是路过那栋建筑物，却感到不寒而栗，实在是太恐怖了。,每次经过那栋建筑，我都会感到不寒而栗，实在是太吓人了。,,3.0,3,3,3
"In the end , the captain 's hard work was all in vain by the loss of the match .",in vain,to do something unsuccessfully or without success,"勉为其难 (0.74), 劳而无功 (0.70), 曾母投杼 (0.71)",劳而无功,"'in vain' means '劳而无功'. Given the above knowledge, translate this sentence to Chinese: 'In the end , the captain 's hard work was all in vain by the loss of the match .'.",最后，队长的努力都因比赛失利而付诸东流。,最终，由于比赛的失利，队长的辛勤努力都劳而无功。,,3.0,3,3,3
"Our new chef is just amazing while the previous one was not skilled , they are apples and oranges .",apples to oranges,comparing two things that are completely different and cannot be compared,"一蟹不如一蟹 (0.78), 相提而论 (0.74)",相提而论,"'apples to oranges' means '相提而论'. Given the above knowledge, translate this sentence to Chinese: 'Our new chef is just amazing while the previous one was not skilled , they are apples and oranges .'.",我们的新厨师非常出色，而之前的那位并不熟练，他们是不同的，无法相提并论。,我们的新厨师非常出色，而之前的厨师不够熟练，他们是完全不同的。,,3.0,3,2,3
Alex is confused - I think he needs a pep talk .,pep talk,an inspirational or motivational speech or conversation aimed at boosting someone's morale or confidence,振奋人心 (0.73),振奋人心,"'pep talk' means '振奋人心'. Given the above knowledge, translate this sentence to Chinese: 'Alex is confused - I think he needs a pep talk .'.",亚历克斯很困惑 - 我认为他需要一次振奋人心的谈话。,亚历克斯很困惑——我觉得他需要一次振奋人心的谈话。,,3.0,3,3,3
