Idiomatic_Sent,Original_Idiom,Original_Meaning,ai_generated_idioms,chinese_idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"Good grief ! You are not going to the supermarket like that , are you ? Do n't tell me that you are . '",good grief,"exclamation used to express surprise, frustration, or disbelief","```json
{
  ""English idiom"": ""good grief"",
  ""English definition"": ""An exclamation of surprise or dismay."",
  ""Chinese idiom 1"": ""天哪"",
  ""Chinese idiom 2"": ""我的天"",
  ""Chinese idiom 3"": ""哎呀""
}
```",天哪,"'good grief' means '天哪'. Given the above knowledge, translate the following sentence to Chinese: 'Good grief ! You are not going to the supermarket like that , are you ? Do n't tell me that you are . ''",天哪！你不会这样去超市，是吧？别告诉我你要去。,天哪！你不会就这样去超市吧，不会吧？别告诉我你真的要这样去。,3,3,3,3
Amanda decided to skate on thin ice by quitting her day job to pursue her passion of wildlife photography .,skating on thin ice,taking a risky or dangerous course of action; pushing the limits or boundaries,"{
  ""English idiom"": ""skating on thin ice"",
  ""English definition"": ""To be in a risky or precarious situation where danger or trouble is likely."",
  ""Chinese idiom 1"": ""如履薄冰"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",如履薄冰,"'skating on thin ice' means '如履薄冰'. Given the above knowledge, translate the following sentence to Chinese: 'Amanda decided to skate on thin ice by quitting her day job to pursue her passion of wildlife photography .'",Amanda决定如履薄冰地辞掉白天的工作，追求她对野生动物摄影的热爱。,阿曼达决定如履薄冰，辞掉她的工作去追求她对野生动物摄影的热情。,3,3,3,3
"A dramatic volte face is all that this play needed , now it is perfect !",volte face,"a sudden and complete change in opinion, behavior, or attitude","```json
{
    ""English idiom"": ""volte face"",
    ""English definition"": ""a complete change of opinion or position"",
    ""Chinese idiom 1"": ""反覆無常"",
    ""Chinese idiom 2"": ""出爾反爾"",
    ""Chinese idiom 3"": ""言而無信""
}
```","出尔反尔

Explanation","'volte face' means '出尔反尔

Explanation'. Given the above knowledge, translate the following sentence to Chinese: 'A dramatic volte face is all that this play needed , now it is perfect !'",这部戏剧需要的就是一个戏剧性的出尔反尔，现在完美无缺！,这部戏剧所需要的只是一个戏剧性的出尔反尔，现在它完美了！,3,3,2,2
Our drive to drain the swamp has been successful in reducing bribery and graft .,drain the swamp,"to eliminate corruption or inefficiency, usually in a political context","```json
{
  ""English idiom"": ""drain the swamp"",
  ""English definition"": ""To remove or eliminate corruption, inefficiency, or other negative elements from an organization or society."",
  ""Chinese idiom 1"": ""刮骨疗毒"",
  ""Chinese idiom 2"": ""清除积弊"",
  ""Chinese idiom 3"": ""壮士断腕""
}
```",刮骨疗毒,"'drain the swamp' means '刮骨疗毒'. Given the above knowledge, translate the following sentence to Chinese: 'Our drive to drain the swamp has been successful in reducing bribery and graft .'",我们刮骨疗毒的努力已成功降低了贿赂和贪污行为。,我们刮骨疗毒的努力在减少贿赂和贪污方面取得了成功。,3,3,2,3
"After having being left at the altar for the second time , he decided never to think about marriage again .",leave at the altar,to cancel or break off a planned wedding or commitment at the last minute,"```json
{
  ""English idiom"": ""leave at the altar"",
  ""English definition"": ""To abandon or jilt someone at the last moment, especially just before a planned wedding."",
  ""Chinese idiom 1"": ""临阵脱逃"",
  ""Chinese idiom 2"": ""中途弃甲"",
  ""Chinese idiom 3"": """"
}
```",临阵脱逃,"'leave at the altar' means '临阵脱逃'. Given the above knowledge, translate the following sentence to Chinese: 'After having being left at the altar for the second time , he decided never to think about marriage again .'",在第二次被临阵脱逃后，他决定再也不想结婚了。,在第二次被临阵脱逃后，他决定再也不考虑结婚了。,3,3,3,3
"The government 's attitude on the issue has remained ambivalent for some time , so today 's statement should clear the air considerably .",clear the air,To resolve or clarify a tense or confusing situation; to address and eliminate any misunderstandings or conflicts,"```json
{
  ""English idiom"": ""clear the air"",
  ""English definition"": ""To eliminate confusion or emotional tension in a situation, often by addressing and resolving misunderstandings or grievances."",
  ""Chinese idiom 1"": ""消除误会"",
  ""Chinese idiom 2"": ""冰释前嫌"",
  ""Chinese idiom 3"": ""言归于好""
}
```",冰释前嫌,"'clear the air' means '冰释前嫌'. Given the above knowledge, translate the following sentence to Chinese: 'The government 's attitude on the issue has remained ambivalent for some time , so today 's statement should clear the air considerably .'",政府在这个问题上的态度一直暧昧不明，所以今天的声明应该可以冰释前嫌。,政府在这个问题上的态度已经模棱两可了一段时间，所以今天的声明应该会大大冰释前嫌。,2,2,3,1
Loud noise really winds me up !,wind up,"to finish or conclude something, often unexpectedly or in a way that was not planned","```json
{
  ""English idiom"": ""wind up"",
  ""English definition"": ""To bring something to an end or to be in a particular situation; to conclude."",
  ""Chinese idiom 1"": ""结束语"",
  ""Chinese idiom 2"": ""收尾"",
  ""Chinese idiom 3"": """"
}
```",结束语,"'wind up' means '结束语'. Given the above knowledge, translate the following sentence to Chinese: 'Loud noise really winds me up !'",大声的噪音真的让我很烦！,噪音真的让我很恼火！,3,3,2,3
This boy is bang on for you to date .,bang on,to be exactly right or accurate,"{
  ""English idiom"": ""bang on"",
  ""English definition"": ""Exactly right; precise; accurate."",
  ""Chinese idiom 1"": ""一针见血"",
  ""Chinese idiom 2"": ""言简意赅"",
  ""Chinese idiom 3"": ""切中要害""
}",一针见血,"'bang on' means '一针见血'. Given the above knowledge, translate the following sentence to Chinese: 'This boy is bang on for you to date .'",这个男孩对你约会来说正合适。,这男孩正好适合你约会。,3,3,3,2
Mirza had not be killed by the brothers of his girlfriend if he did n't catch forty winks at that time '',forty winks,to take a short nap or quick sleep,"{
  ""English idiom"": ""forty winks"",
  ""English definition"": ""a short nap or sleep, usually during the day"",
  ""Chinese idiom 1"": ""稍等片刻"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",稍等片刻,"'forty winks' means '稍等片刻'. Given the above knowledge, translate the following sentence to Chinese: 'Mirza had not be killed by the brothers of his girlfriend if he did n't catch forty winks at that time '''",如果当时米尔扎没有稍微休息一下，就不会被他女朋友的哥哥们杀死。,米尔扎如果当时没有稍等片刻，他就不会被女友的兄弟们杀害。,3,2,1,1
"The prosecution lawyer was relentless in his cross examination , but the witness took it all on the chin , and did n't get upset .",take it on the chin,to accept or endure adversity or criticism without complaint or becoming discouraged,"```json
{
  ""English idiom"": ""take it on the chin"",
  ""English definition"": ""To accept a difficult or unpleasant situation without complaining or showing weakness."",
  ""Chinese idiom 1"": ""咬紧牙关"",
  ""Chinese idiom 2"": ""坦然处之"",
  ""Chinese idiom 3"": ""忍辱负重""
}
```",咬紧牙关,"'take it on the chin' means '咬紧牙关'. Given the above knowledge, translate the following sentence to Chinese: 'The prosecution lawyer was relentless in his cross examination , but the witness took it all on the chin , and did n't get upset .'",检方律师在交叉询问中毫不留情，但证人咬紧牙关，没有生气。,公诉律师在反询问时毫不留情，但证人咬紧牙关，丝毫没有生气。,3,3,1,1
My husband has really nice sense of humour which I find very amusing . ',sense of humour,the ability to find things funny; the capacity to appreciate humor,"{
  ""English idiom"": ""sense of humour"",
  ""English definition"": ""The ability to perceive, enjoy, or express what is comical or funny."",
  ""Chinese idiom 1"": ""幽默感"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",幽默感,"'sense of humour' means '幽默感'. Given the above knowledge, translate the following sentence to Chinese: 'My husband has really nice sense of humour which I find very amusing . ''",我丈夫的幽默感真的很好，让我觉得很有趣。,我丈夫有很好的幽默感，这让我觉得非常有趣。,3,3,3,3
I suspect he flunked accidentally on purpose .,accidentally on purpose,doing something intentionally but making it seem like an accident,"```json
{
  ""English idiom"": ""accidentally on purpose"",
  ""English definition"": ""Doing something intentionally, but pretending it was an accident."",
  ""Chinese idiom 1"": ""明知故犯"",
  ""Chinese idiom 2"": ""假装糊涂"",
  ""Chinese idiom 3"": ""装疯卖傻""
}
```",假装糊涂,"'accidentally on purpose' means '假装糊涂'. Given the above knowledge, translate the following sentence to Chinese: 'I suspect he flunked accidentally on purpose .'",我怀疑他假装糊涂地考砸了。,我怀疑他是假装糊涂才不及格的。,2,3,2,2
After being moved to the California I realised that people here have a bit less sense of humour .,sense of humour,the ability to find things funny; the capacity to appreciate humor,"{
  ""English idiom"": ""sense of humour"",
  ""English definition"": ""The ability to perceive, enjoy, or express what is comical or funny."",
  ""Chinese idiom 1"": ""幽默感"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",幽默感,"'sense of humour' means '幽默感'. Given the above knowledge, translate the following sentence to Chinese: 'After being moved to the California I realised that people here have a bit less sense of humour .'",搬到加利福尼亚后，我意识到这里的人们幽默感有点少。,搬到加州后，我意识到这里的人幽默感稍微差些。,3,3,2,3
A de facto state of war is not something that our neighbours can afford right now .,de facto,"existing in reality or in fact, though not officially established or legally recognized","```json
{
  ""English idiom"": ""de facto"",
  ""English definition"": ""'De facto' refers to a state of affairs that exists in reality, even if not officially recognized or sanctioned by laws or formal announcements."",
  ""Chinese idiom 1"": ""名副其实"",
  ""Chinese idiom 2"": ""既成事实"",
  ""Chinese idiom 3"": ""事实胜于雄辩""
}
```",名副其实,"'de facto' means '名副其实'. Given the above knowledge, translate the following sentence to Chinese: 'A de facto state of war is not something that our neighbours can afford right now .'",目前邻国无法承担实际上的战争状态。,事实上战争状态是我们的邻国目前无力承担的。,3,3,3,3
"After her wedding to Paul yesterday , Alice told us that from now on , we are to refer to her married name . '",from now on,starting from this point in time; from this moment forward,"```json
{
  ""English idiom"": ""from now on"",
  ""English definition"": ""From this moment forward; starting now and continuing into the future."",
  ""Chinese idiom 1"": ""自此以后"",
  ""Chinese idiom 2"": ""从今往后"",
  ""Chinese idiom 3"": ""今后""
}
```",自此以后,"'from now on' means '自此以后'. Given the above knowledge, translate the following sentence to Chinese: 'After her wedding to Paul yesterday , Alice told us that from now on , we are to refer to her married name . ''",昨天她与保罗结婚后，爱丽丝告诉我们，从现在开始，我们要称呼她的婚姻姓氏。,在昨天与保罗结婚后，爱丽丝告诉我们，自此以后，我们要叫她的已婚姓氏。,3,3,1,3
She and her husband had fallen for each other the first time they had met - at a singing competition in their neighbourhood .,fall for,"to be deceived, tricked, or fooled by someone or something; to become infatuated or enamored with someone or something","```json
{
  ""English idiom"": ""fall for"",
  ""English definition"": ""To be deceived by someone or to become infatuated with someone or something."",
  ""Chinese idiom 1"": ""上当受骗"",
  ""Chinese idiom 2"": ""一见钟情"",
  ""Chinese idiom 3"": """"
}
```",上当受骗,"'fall for' means '上当受骗'. Given the above knowledge, translate the following sentence to Chinese: 'She and her husband had fallen for each other the first time they had met - at a singing competition in their neighbourhood .'",她和她丈夫第一次相遇时就相互倾心了-在他们所在社区的一次唱歌比赛中。,她和她丈夫第一次见面时就互相倾心了——在他们社区的一场歌唱比赛中。,3,3,3,3
Solving the debt problem with more debt is just kicking the can down the road .,kick the can down the road,"to postpone a decision or action, especially in a way that shifts the responsibility to someone else or to the future","{
  ""English idiom"": ""kick the can down the road"",
  ""English definition"": ""To postpone or delay dealing with a problem."",
  ""Chinese idiom 1"": ""拖延战术"",
  ""Chinese idiom 2"": ""避重就轻"",
  ""Chinese idiom 3"": ""敷衍塞责""
}",拖延战术,"'kick the can down the road' means '拖延战术'. Given the above knowledge, translate the following sentence to Chinese: 'Solving the debt problem with more debt is just kicking the can down the road .'",用更多债务来解决债务问题只是在拖延战术。,用更多的债务来解决债务问题只是拖延战术。,2,3,1,1
"Being a mom , a teacher and an athlete means I always have a lot on my plate every time .",a lot on my plate,having many tasks or responsibilities to deal with,"{
    ""English idiom"": ""a lot on my plate"",
    ""English definition"": ""To have many responsibilities or tasks to deal with, often to the point of feeling overwhelmed."",
    ""Chinese idiom 1"": ""分身乏术"",
    ""Chinese idiom 2"": ""焦头烂额"",
    ""Chinese idiom 3"": ""心力交瘁""
}",分身乏术,"'a lot on my plate' means '分身乏术'. Given the above knowledge, translate the following sentence to Chinese: 'Being a mom , a teacher and an athlete means I always have a lot on my plate every time .'",作为一名妈妈、一名老师和一名运动员意味着我每时每刻都分身乏术。,身为母亲、教师和运动员意味着我每次都分身乏术。,2,2,3,3
"When you rise and shine to me every day , it starts my day positively .",rise and shine,to wake up and start the day energetically,"{
  ""English idiom"": ""rise and shine"",
  ""English definition"": ""A phrase used to encourage someone to wake up and get out of bed, often with a positive attitude."",
  ""Chinese idiom 1"": """",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}","A phrase used to encourage someone to wake up and get out of bed, often with a positive attitude.","'rise and shine' means 'A phrase used to encourage someone to wake up and get out of bed, often with a positive attitude.'. Given the above knowledge, translate the following sentence to Chinese: 'When you rise and shine to me every day , it starts my day positively .'",每天当你给我一个“起床并发光”的时候，我的一天就开始变得积极起来。,每天当你叫我起床时，这让我的一天有了一个积极的开始。,2,2,1,1
I am hoping for a roaring trade after the launch of the website .,roaring trade,vigorous and successful business activity,"```json
{
    ""English idiom"": ""roaring trade"",
    ""English definition"": ""To be extremely busy or successful, particularly in terms of business or commerce."",
    ""Chinese idiom 1"": ""生意兴隆"",
    ""Chinese idiom 2"": ""门庭若市"",
    ""Chinese idiom 3"": ""络绎不绝""
}
```",生意兴隆,"'roaring trade' means '生意兴隆'. Given the above knowledge, translate the following sentence to Chinese: 'I am hoping for a roaring trade after the launch of the website .'",我希望网站上线后生意兴隆。,我希望在网站上线后生意兴隆。,3,3,3,3
He 's won the series for three years in a row .,in a row,consecutively or continuously; without interruption or break,"```json
{
  ""English idiom"": ""in a row"",
  ""English definition"": ""In succession; one after another."",
  ""Chinese idiom 1"": ""接二连三"",
  ""Chinese idiom 2"": ""接踵而至"",
  ""Chinese idiom 3"": ""接连不断""
}
```",接二连三,"'in a row' means '接二连三'. Given the above knowledge, translate the following sentence to Chinese: 'He 's won the series for three years in a row .'",他连续三年赢得了系列赛。,他连续三年赢得这个系列赛。,3,3,3,3
"Jane is crazy about him , but I think it is just puppy love and do n't expect it to last .",puppy love,to describe the intense but shallow romantic feelings that often occur between young people,"```json
{
  ""English idiom"": ""puppy love"",
  ""English definition"": ""A term used to describe intense but relatively shallow and short-lived romantic feelings, typically associated with adolescence."",
  ""Chinese idiom 1"": ""豆蔻年华"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",豆蔻年华,"'puppy love' means '豆蔻年华'. Given the above knowledge, translate the following sentence to Chinese: 'Jane is crazy about him , but I think it is just puppy love and do n't expect it to last .'",简疯狂地迷恋着他，但我认为这只是豆蔻年华，不要期望它会持久。,简对他痴狂，但我认为这只是豆蔻年华的情感，不指望它会持久。,2,2,1,1
"I 've been eating like a horse since I 've been pregnant and I know they say you 're eating for two now , but this is ridiculous !",eat like a horse,to eat a large amount of food,"```json
{
  ""English idiom"": ""eat like a horse"",
  ""English definition"": ""To eat a lot; to have a big appetite"",
  ""Chinese idiom 1"": ""狼吞虎咽"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",狼吞虎咽,"'eat like a horse' means '狼吞虎咽'. Given the above knowledge, translate the following sentence to Chinese: 'I 've been eating like a horse since I 've been pregnant and I know they say you 're eating for two now , but this is ridiculous !'",我自从怀孕以来一直狼吞虎咽，他们说现在你是为两个人吃饭，但这太离谱了！,自从我怀孕以来，我一直狼吞虎咽。我知道人们说你现在是两人份量在吃，但这也太夸张了吧！,3,2,3,3
"She used to be a very passionate woman who wore her heart on her sleeve , but repeated rejections and mistreatment at the hands of the ones she trusted made her go into a shell and bottle her emotions up .",wear heart on sleeve,to openly and visibly display one's emotions or feelings,"```json
{
  ""English idiom"": ""wear heart on sleeve"",
  ""English definition"": ""To openly show or express one's emotions or feelings"",
  ""Chinese idiom 1"": ""情不自禁"",
  ""Chinese idiom 2"": ""真情流露"",
  ""Chinese idiom 3"": ""心直口快""
}
```",情不自禁,"'wear heart on sleeve' means '情不自禁'. Given the above knowledge, translate the following sentence to Chinese: 'She used to be a very passionate woman who wore her heart on her sleeve , but repeated rejections and mistreatment at the hands of the ones she trusted made her go into a shell and bottle her emotions up .'",她曾经是一个非常热情的女人，情不自禁地表现自己，但是一次次的拒绝和受到她所信任的人的虐待让她变得封闭、把情感深深地隐藏起来。,她曾是一个非常热情的女人，情不自禁，但多次被她信任的人拒绝和虐待，使她变得封闭内心，把情感埋藏起来。,3,3,1,1
It takes great effort to make a business survive in the market and 70 % businesses go belly up during the first decade itself .,belly up,to go out of business or to fail,"```json
{
  ""English idiom"": ""belly up"",
  ""English definition"": ""To fail or go bankrupt, especially in a way that causes complete collapse or demise."",
  ""Chinese idiom 1"": ""垮台"",
  ""Chinese idiom 2"": ""破产倒闭"",
  ""Chinese idiom 3"": """"
}
```",破产倒闭,"'belly up' means '破产倒闭'. Given the above knowledge, translate the following sentence to Chinese: 'It takes great effort to make a business survive in the market and 70 % businesses go belly up during the first decade itself .'",在市场中让一家企业生存下来需要付出巨大努力，而且70%的企业在第一个十年就会破产倒闭。,在市场中维持企业生存需要极大的努力，而且70%的企业在第一个十年内就会破产倒闭。,3,3,3,3
"I will drop by to pick up my glasses that I left there , last weekend .",drop by,to visit someone briefly and without making an appointment,"```json
{
  ""English idiom"": ""drop by"",
  ""English definition"": ""To visit someone casually and usually without an appointment."",
  ""Chinese idiom 1"": ""顺道拜访"",
  ""Chinese idiom 2"": ""顺路过来"",
  ""Chinese idiom 3"": ""順便拜访""
}
```",顺道拜访,"'drop by' means '顺道拜访'. Given the above knowledge, translate the following sentence to Chinese: 'I will drop by to pick up my glasses that I left there , last weekend .'",我会顺道拜访去把上周末留在那里的眼镜拿回来。,我会顺道拜访去拿上周末落在那里的我的眼镜。,3,3,3,3
The plane was flying above the Atlantic ocean when it lost touch .,lose touch,to lose contact or communication with someone over time,"```json
{
  ""English idiom"": ""lose touch"",
  ""English definition"": ""To cease to communicate or remain in contact with someone or something."",
  ""Chinese idiom 1"": ""失去联系"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",失去联系,"'lose touch' means '失去联系'. Given the above knowledge, translate the following sentence to Chinese: 'The plane was flying above the Atlantic ocean when it lost touch .'",飞机在大西洋上空飞行时失去了联系。,飞机在大西洋上空飞行时失去了联系。,3,3,3,3
If a girl turns a blind eye on your comments - it does n't mean that she started liking you .,turn a blind eye,to ignore or pretend not to see something,"```json
{
  ""English idiom"": ""turn a blind eye"",
  ""English definition"": ""to deliberately ignore something, especially something that is wrong or illegal"",
  ""Chinese idiom 1"": ""视而不见"",
  ""Chinese idiom 2"": ""掩耳盗铃"",
  ""Chinese idiom 3"": ""装聋作哑""
}
```",视而不见,"'turn a blind eye' means '视而不见'. Given the above knowledge, translate the following sentence to Chinese: 'If a girl turns a blind eye on your comments - it does n't mean that she started liking you .'",如果一个女孩对你的评论视而不见，这并不意味着她开始喜欢你。,如果一个女孩对你的评论视而不见，这并不意味着她开始喜欢你。,3,3,3,3
"InÂ theÂ closingÂ fewÂ minutes , Â ourÂ teamÂ hadÂ itsÂ backÂ toÂ theÂ wallÂ butÂ continuedÂ toÂ fightÂ gallantly .",back to the wall,to be in a difficult or desperate situation with no easy way out,"```json
{
  ""English idiom"": ""back to the wall"",
  ""English definition"": ""In a desperate situation with limited options for escape or recourse"",
  ""Chinese idiom 1"": ""困兽犹斗"",
  ""Chinese idiom 2"": ""背水一战"",
  ""Chinese idiom 3"": ""穷途末路""
}
```",困兽犹斗,"'back to the wall' means '困兽犹斗'. Given the above knowledge, translate the following sentence to Chinese: 'InÂ theÂ closingÂ fewÂ minutes , Â ourÂ teamÂ hadÂ itsÂ backÂ toÂ theÂ wallÂ butÂ continuedÂ toÂ fightÂ gallantly .'",在比赛的最后几分钟，我们的团队困兽犹斗，但依然勇敢地战斗着。,在最后几分钟，我们队伍虽然困兽犹斗，但仍然英勇奋战。,3,3,3,3
"The tendency these days is to hope for the best , but prepare for the worst .","hope for the best, but prepare for the worst",to remain optimistic while being cautious and prepared for any possible negative outcome,"```json
{
  ""English idiom"": ""hope for the best, but prepare for the worst"",
  ""English definition"": ""To be optimistic about the best possible outcome but also be ready for the worst possible scenario."",
  ""Chinese idiom 1"": ""未雨绸缪"",
  ""Chinese idiom 2"": ""居安思危"",
  ""Chinese idiom 3"": ""有备无患""
}
```",未雨绸缪,"'hope for the best, but prepare for the worst' means '未雨绸缪'. Given the above knowledge, translate the following sentence to Chinese: 'The tendency these days is to hope for the best , but prepare for the worst .'",近来的趋势是希望最好，但为最坏做准备。,现今的趋势是未雨绸缪。,3,1,2,1
I 'd like people to follow by example and hence the top management has to be absolutely flawless .,follow by,to happen or come after something else,"{
  ""English idiom"": ""follow by"",
  ""English definition"": ""To come after or as a result of something."",
  ""Chinese idiom 1"": ""紧随其后"",
  ""Chinese idiom 2"": ""步步紧逼"",
  ""Chinese idiom 3"": """"
}",紧随其后,"'follow by' means '紧随其后'. Given the above knowledge, translate the following sentence to Chinese: 'I 'd like people to follow by example and hence the top management has to be absolutely flawless .'",我希望人们能以身作则，因此高管必须绝对完美。,我希望人们以身作则，因此高层管理必须绝对无可挑剔。,3,3,3,3
The meeting has been brought forward by the board and we have to start preparing for it right away .,brought forward,to move a scheduled event or meeting to an earlier date or time,"```json
{
  ""English idiom"": ""brought forward"",
  ""English definition"": ""To make something happen earlier than originally planned."",
  ""Chinese idiom 1"": ""提前举行"",
  ""Chinese idiom 2"": ""未找到匹配"",
  ""Chinese idiom 3"": ""未找到匹配""
}
```",提前举行,"'brought forward' means '提前举行'. Given the above knowledge, translate the following sentence to Chinese: 'The meeting has been brought forward by the board and we have to start preparing for it right away .'",会议已经被董事会提前举行，我们必须立即开始准备。,会议被董事会提前举行，我们必须立即开始准备。,3,3,3,3
They lost touch when Di got married and moved away .,lose touch,to lose contact or communication with someone over time,"```json
{
  ""English idiom"": ""lose touch"",
  ""English definition"": ""To cease to communicate or remain in contact with someone or something."",
  ""Chinese idiom 1"": ""失去联系"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",失去联系,"'lose touch' means '失去联系'. Given the above knowledge, translate the following sentence to Chinese: 'They lost touch when Di got married and moved away .'",他们失去联系了，因为迪结婚后搬走了。,迪结婚搬走后，他们就失去了联系。,3,3,3,3
"The cloud of gloom hanging over the area is so dense , it 's hard to see any sign of a silver lining .",silver lining,an unexpected positive aspect or outcome within a negative or difficult situation,"```json
{
  ""English idiom"": ""silver lining"",
  ""English definition"": ""A hopeful or comforting prospect in the midst of difficulty."",
  ""Chinese idiom 1"": ""塞翁失马，焉知非福"",
  ""Chinese idiom 2"": ""因祸得福"",
  ""Chinese idiom 3"": ""柳暗花明又一村""
}
```",塞翁失马，焉知非福,"'silver lining' means '塞翁失马，焉知非福'. Given the above knowledge, translate the following sentence to Chinese: 'The cloud of gloom hanging over the area is so dense , it 's hard to see any sign of a silver lining .'",该地区笼罩着一层浓重的阴霾，很难看到任何塞翁失马，焉知非福的迹象。,笼罩在这一地区的阴霾如此浓重，难以看到任何塞翁失马，焉知非福的迹象。,2,2,1,1
Do you really want to follow the footsteps of such a cold hearted person ?,cold hearted,lacking compassion or empathy; unfeeling or indifferent,"```json
{
  ""English idiom"": ""cold hearted"",
  ""English definition"": ""Lacking compassion, sympathy, or warmth; unfeeling or unsympathetic."",
  ""Chinese idiom 1"": ""冷酷无情"",
  ""Chinese idiom 2"": ""铁石心肠"",
  ""Chinese idiom 3"": ""无动于衷""
}
```",冷酷无情,"'cold hearted' means '冷酷无情'. Given the above knowledge, translate the following sentence to Chinese: 'Do you really want to follow the footsteps of such a cold hearted person ?'",你真的想跟随一个如此冷酷无情的人的脚步吗？,你真的想跟随这么一个冷酷无情的人的脚步吗？,3,3,3,3
Tribal tattoos used to be all the rage and now people are just stuck with silly symbols on their bodies .,all the rage,extremely popular or fashionable,"```json
{
  ""English idiom"": ""all the rage"",
  ""English definition"": ""Very popular or fashionable at a particular time"",
  ""Chinese idiom 1"": ""风靡一时"",
  ""Chinese idiom 2"": ""红极一时"",
  ""Chinese idiom 3"": ""大行其道""
}
```",风靡一时,"'all the rage' means '风靡一时'. Given the above knowledge, translate the following sentence to Chinese: 'Tribal tattoos used to be all the rage and now people are just stuck with silly symbols on their bodies .'",部落纹身曾经风靡一时，现在人们只能把愚蠢的符号留在身体上了。,部落纹身曾风靡一时，现在人们只是被这些荒唐的符号困在自己的身上。,3,3,3,2
"Although most parties have agreed on the deal , it is not yet cut and dried .",cut and dried,Completely settled or decided; lacking any flexibility or room for discussion or change,"```json
{
    ""English idiom"": ""cut and dried"",
    ""English definition"": ""Something that is clear, straightforward, and unambiguous, with no room for confusion."",
    ""Chinese idiom 1"": ""一成不变"",
    ""Chinese idiom 2"": ""井井有条"",
    ""Chinese idiom 3"": """"
}
```",一成不变,"'cut and dried' means '一成不变'. Given the above knowledge, translate the following sentence to Chinese: 'Although most parties have agreed on the deal , it is not yet cut and dried .'",尽管大多数当事方都同意了这笔交易，但它还不是一成不变的。,尽管大多数政党已同意这笔交易，但它尚未一成不变。,3,3,1,1
New Zealand residents urged to cut-down water use .,cut down,"to reduce in size, quantity, or intensity","```json
{
  ""English idiom"": ""cut down"",
  ""English definition"": ""To reduce the amount or quantity of something."",
  ""Chinese idiom 1"": ""精减节约"",
  ""Chinese idiom 2"": ""减量省钱"",
  ""Chinese idiom 3"": ""节流开源""
}
```",节流开源,"'cut down' means '节流开源'. Given the above knowledge, translate the following sentence to Chinese: 'New Zealand residents urged to cut-down water use .'",新西兰居民被敦促减少用水。,新西兰居民被敦促节流用水。,3,3,3,2
His years of experience in the spoken English field has stood him in good stead .,stand in a good stead,to be of great benefit or advantage to someone in the future,"```json
{
  ""English idiom"": ""stand in a good stead"",
  ""English definition"": ""To be of great use or benefit to someone"",
  ""Chinese idiom 1"": ""助一臂之力"",
  ""Chinese idiom 2"": ""大有裨益"",
  ""Chinese idiom 3"": ""功不可没""
}
```",助一臂之力,"'stand in a good stead' means '助一臂之力'. Given the above knowledge, translate the following sentence to Chinese: 'His years of experience in the spoken English field has stood him in good stead .'",他在口语英语领域多年的经验助一臂之力。,他多年的英语口语领域经验对他助一臂之力。,2,3,1,1
I am on the case to book a flight before it ’ s too late .,on the case,actively investigating or working on a situation or problem,"{
  ""English idiom"": ""on the case"",
  ""English definition"": ""Actively working on or investigating a specific issue or problem"",
  ""Chinese idiom 1"": ""全力以赴"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",全力以赴,"'on the case' means '全力以赴'. Given the above knowledge, translate the following sentence to Chinese: 'I am on the case to book a flight before it ’ s too late .'",我正在全力以赴地预订飞机票，以免为时已晚。,我正在全力以赴预订航班，以免为时过晚。,3,3,3,3
I believe that digital learning is the way forward .,way forward,the best or most effective course of action moving forward,"```json
{
    ""English idiom"": ""way forward"",
    ""English definition"": ""A plan or proposal for what to do next, especially in situations where the future is unclear or in need of direction."",
    ""Chinese idiom 1"": ""前途光明"",
    ""Chinese idiom 2"": ""前程似锦"",
    ""Chinese idiom 3"": """"
}
```",前途光明,"'way forward' means '前途光明'. Given the above knowledge, translate the following sentence to Chinese: 'I believe that digital learning is the way forward .'",我相信数字学习是前途光明的。,我相信数字学习是前途光明的选择。,3,3,1,2
