Idiomatic_Sent,Original_Idiom,en_meaning,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,"3,5_Evaluation_4o",4o_Evaluation_4o
这并不是危言耸听，要是我们不珍惜水资源，总有一天会无水可用。,危言耸听,sensationalized or exaggerated words of warning,,,'危言耸听' means 'sensationalized or exaggerated words of warning'. Given the above knowledge translate this sentence to English: 这并不是危言耸听，要是我们不珍惜水资源，总有一天会无水可用。.,"This is not sensationalized or exaggerated words of warning, if we do not cherish water resources, there will come a day when there is no water available.","This is not sensationalized or exaggerated; if we do not cherish our water resources, there will come a day when we have no water to use.",3,3,2.0,2
人，一简单就快乐，但快乐的人寥寥无几；一复杂就痛苦，可痛苦的人却熙熙攘攘。,寥寥无几,very few; scarce; rare,,,'寥寥无几' means 'very few; scarce; rare'. Given the above knowledge translate this sentence to English: 人，一简单就快乐，但快乐的人寥寥无几；一复杂就痛苦，可痛苦的人却熙熙攘攘。.,People who are happy with simplicity are few and far between; those who are in pain with complexity are numerous.,"People are happy when they are simple, but happy people are very few; people are miserable when they are complicated, yet miserable people are a multitude.",3,3,1.0,2
尽管设计得金碧辉煌，建造罗马竞技场的主要目的是，在愤世嫉俗的时代中，供人们忘情娱乐，演出戏剧张力十足、不时令人毛骨悚然的娱乐节目。,毛骨悚然,to feel a chilling sensation down one's spine,,,'毛骨悚然' means 'to feel a chilling sensation down one's spine'. Given the above knowledge translate this sentence to English: 尽管设计得金碧辉煌，建造罗马竞技场的主要目的是，在愤世嫉俗的时代中，供人们忘情娱乐，演出戏剧张力十足、不时令人毛骨悚然的娱乐节目。.,"Despite being designed splendidly, the main purpose of constructing the Roman Colosseum was to provide entertainment for the cynical society, featuring dramatic performances that were full of tension and occasionally sent shivers down the spine.","Despite its magnificent design, the main purpose of constructing the Roman Colosseum was to provide people with intense entertainment during a cynical era, featuring thrilling and sometimes spine-chilling performances.",3,3,3.0,3
夏天的雨是狂风暴雨，他处处充满了严厉；秋天的雨是楚楚动人的雨，她饱含着深情；而冬天的雨是冷酷无情的雨，他蕴藏着冰冷的气息。然而，我最喜欢的是寒冷的冬日过后，那千姿百态，五彩缤纷的春雨。,千姿百态,"various postures and states, diverse and colorful",,,"'千姿百态' means 'various postures and states, diverse and colorful'. Given the above knowledge translate this sentence to English: 夏天的雨是狂风暴雨，他处处充满了严厉；秋天的雨是楚楚动人的雨，她饱含着深情；而冬天的雨是冷酷无情的雨，他蕴藏着冰冷的气息。然而，我最喜欢的是寒冷的冬日过后，那千姿百态，五彩缤纷的春雨。.","The summer rain is a fierce storm, filled with severity everywhere; the autumn rain is a charming and moving rain, full of deep affection; while the winter rain is a cold and ruthless rain, carrying a icy breath. However, my favorite is the colorful and diverse spring rain that comes after the cold winter days.","The summer rain is a storm with gales, full of severity; the autumn rain is a gentle and touching rain, soaked with deep emotion; and the winter rain is a cold and ruthless rain, filled with an icy breath. However, what I love most is the colorful and diverse spring rain that comes after the cold winter days.",3,3,2.0,3
清晨早起，按图索骥去往当地知名的鱼市场，所闻所见均让人大呼过瘾。,按图索骥,following a map and seeking a fine horse,,,'按图索骥' means 'following a map and seeking a fine horse'. Given the above knowledge translate this sentence to English: 清晨早起，按图索骥去往当地知名的鱼市场，所闻所见均让人大呼过瘾。.,"I got up early in the morning, followed a map to the well-known local fish market, and everything I heard and saw was extremely satisfying.","""Rising early in the morning, following the map to the famous local fish market, everything seen and heard was exhilarating.""",3,2,1.0,1
罂粟花开真美丽，香飘万里垂涎滴。制成毒品害人深，妻离子散钱财尽。为了毒品天良丧，杀人越货不惜命。犯罪只为吸毒品，社会败类人唾弃。国际禁毒日，愿你远离毒品，家庭幸福社会安。,妻离子散,"the family falls apart, with the husband and children scattered",,,"'妻离子散' means 'the family falls apart, with the husband and children scattered'. Given the above knowledge translate this sentence to English: 罂粟花开真美丽，香飘万里垂涎滴。制成毒品害人深，妻离子散钱财尽。为了毒品天良丧，杀人越货不惜命。犯罪只为吸毒品，社会败类人唾弃。国际禁毒日，愿你远离毒品，家庭幸福社会安。.","The poppy flowers bloom beautifully, their fragrance drifting for thousands of miles. Processed into drugs, causing deep harm to people, family falling apart, money gone. Morals lost for drugs, willing to kill and commit crimes. Criminals only seek drugs, society despises them. On International Day Against Drug Abuse, may you stay away from drugs, for a happy family and a safe society.","Poppies bloom beautifully, their fragrance wafting far and wide, enticingly. They are made into drugs that deeply harm people, causing families to fall apart, with husbands and children scattered and finances depleted. In order to get drugs, people lose their conscience, committing murder and robbery without hesitation. Crimes are committed just to get drugs, making such individuals social outcasts. On International Day Against Drug Abuse, may you stay away from drugs, for the happiness of your family and the peace of society.",3,3,1.0,2
他以为他可以将计就计靠近敌方，然后出其不意地攻下阵地，可事实证明他设想的一切都只是纸上谈兵。,将计就计,to use the opponent's strategy against them,,,'将计就计' means 'to use the opponent's strategy against them'. Given the above knowledge translate this sentence to English: 他以为他可以将计就计靠近敌方，然后出其不意地攻下阵地，可事实证明他设想的一切都只是纸上谈兵。.,"He thought he could use the opponent's strategy against them to advance toward the enemy, and then unexpectedly capture the territory, but the reality proved that all his plans were just empty talk.","He thought he could use the opponent's strategy against them to approach their position and unexpectedly take over, but it turned out that everything he envisioned was just theoretical talk.",3,2,1.0,2
奶奶为了让上班的妈妈有更多的时间照顾我的学习和生活，她任劳任怨的把家里的家务活全包了。每天放学回家，我都可以吃到热腾腾、香喷喷的饭菜，奶奶看到我狼吞虎咽的馋样，总是笑得特别开心。我之所以长的这么高、健康，奶奶可是功劳大大的！,任劳任怨,willing to do any labor and bear any hardship,,,'任劳任怨' means 'willing to do any labor and bear any hardship'. Given the above knowledge translate this sentence to English: 奶奶为了让上班的妈妈有更多的时间照顾我的学习和生活，她任劳任怨的把家里的家务活全包了。每天放学回家，我都可以吃到热腾腾、香喷喷的饭菜，奶奶看到我狼吞虎咽的馋样，总是笑得特别开心。我之所以长的这么高、健康，奶奶可是功劳大大的！.,"Grandma, in order to give my mom who goes to work more time to take care of my study and life, willingly took on all the household chores without complaint.","In order to give my working mom more time to take care of my studies and daily life, my grandma willingly took on all the household chores. Every day after school, I could come home to steaming, delicious meals. Seeing me gobble down the food, grandma would always smile joyfully. The reason I have grown so tall and healthy is largely thanks to grandma's efforts!",3,3,1.0,1
吴程觉得，不结识他们就难以理解什么是商品经济的社会形态特征，不跟他们称兄道弟而开诚相见就难以领取进入他们那个世界的通行证。,称兄道弟,"use the form of address 'brother' to someone who is not a real brother, indicating a friendly and close relationship",,,"'称兄道弟' means 'use the form of address 'brother' to someone who is not a real brother, indicating a friendly and close relationship'. Given the above knowledge translate this sentence to English: 吴程觉得，不结识他们就难以理解什么是商品经济的社会形态特征，不跟他们称兄道弟而开诚相见就难以领取进入他们那个世界的通行证。.",Wu Cheng feels that it is difficult to understand the social characteristics of the commodity economy without getting to know them and it is difficult to get into their world without addressing them as brothers and meeting them with sincerity.,"Wu Cheng felt that without getting to know them, it would be difficult to understand the characteristics of a commodity economy society; without addressing them as brothers and being open and sincere, it would be hard to gain the pass to enter their world.",2,3,1.0,2
没钱的时候，他信誓旦旦地说要如何节俭，一旦有了钱，却又故态复萌，极尽奢华。,故态复萌,"old problems or bad habits resurging, repeating the same mistakes",,,"'故态复萌' means 'old problems or bad habits resurging, repeating the same mistakes'. Given the above knowledge translate this sentence to English: 没钱的时候，他信誓旦旦地说要如何节俭，一旦有了钱，却又故态复萌，极尽奢华。.","When he has no money, he solemnly pledges to be thrifty, but once he has money, old problems resurge and he indulges in extravagance.","When he was broke, he vowed to be frugal, but once he had money, he reverted to his old ways and indulged in extreme extravagance.",3,3,2.0,3
龙阳来了之后，所有人都是一哄而散了!“龙宇，若是他们在欺负你，就和我说!”。,一哄而散,disperse or scatter in a sudden and disorderly manner,,,'一哄而散' means 'disperse or scatter in a sudden and disorderly manner'. Given the above knowledge translate this sentence to English: 龙阳来了之后，所有人都是一哄而散了!“龙宇，若是他们在欺负你，就和我说!”。.,"After Longyang arrived, everyone dispersed in a sudden and disorderly manner! ""Longyu, if they are bullying you, just tell me!""","""After Long Yang arrived, everyone dispersed in a sudden and disorderly manner! 'Long Yu, if they are bullying you, just tell me!'""",2,3,2.0,3
但是当我们开始约会，并旁敲侧击谈论婚姻前景时，我才突然意识到中国人的家庭关系有多么的紧密，家庭成员之间是多么的相互扶持。,旁敲侧击,"approaching a subject indirectly or subtly, usually in order to avoid confrontation or to achieve a desired outcome",,,"'旁敲侧击' means 'approaching a subject indirectly or subtly, usually in order to avoid confrontation or to achieve a desired outcome'. Given the above knowledge translate this sentence to English: 但是当我们开始约会，并旁敲侧击谈论婚姻前景时，我才突然意识到中国人的家庭关系有多么的紧密，家庭成员之间是多么的相互扶持。.","But it wasn't until we started dating and approached the subject of our marriage prospects indirectly that I suddenly realized how close-knit Chinese family relationships are, and how supportive family members are of each other.","But when we started dating and subtly talked about the prospects of marriage, I suddenly realized how close-knit Chinese family relationships are and how supportive family members are of each other.",3,3,3.0,2
杜某言语支吾，含糊其辞，在杜女士的一再追问下，杜某称其已将母亲打死，并将尸体扔入黄河。,含糊其辞,to be evasive or ambiguous in speech,,,'含糊其辞' means 'to be evasive or ambiguous in speech'. Given the above knowledge translate this sentence to English: 杜某言语支吾，含糊其辞，在杜女士的一再追问下，杜某称其已将母亲打死，并将尸体扔入黄河。.,"Du mumbled and was evasive in his speech. After repeated questioning by Ms. Du, Du finally admitted to having killed his mother and tossing her body into the Yellow River.","Mr. Du was hesitant and evasive in his speech, and under Ms. Du's repeated questioning, he claimed to have beaten his mother to death and thrown her body into the Yellow River.",3,3,3.0,2
要细心关注孩子的日常生活行为，防微杜渐，发现有不良的行为即以纠正，只有这样才能提高教学质量。,防微杜渐,Take precautions and prevent problems before they become serious,"better safe than sorry (0.75), lock the stable door after the horse has bolted (0.74)",better safe than sorry,'防微杜渐' means 'better safe than sorry'. Given the above knowledge translate this sentence to English: 要细心关注孩子的日常生活行为，防微杜渐，发现有不良的行为即以纠正，只有这样才能提高教学质量。.,"Pay close attention to the daily behavior of children, better safe than sorry, correct any unhealthy behavior as soon as it is discovered, only in this way can teaching quality be improved.","Pay close attention to children's daily behavior, take precautions early, and correct any bad behavior as soon as it is noticed; only in this way can the quality of education be improved.",2,3,1.0,2
在当今主流被各种门事件牵着走的时候，俺，也不坐以待毙，咱也来个门，啥门？闭门！——闭门思过、闭关修炼！,坐以待毙,to wait for death without attempting to change or improve the situation,,,'坐以待毙' means 'to wait for death without attempting to change or improve the situation'. Given the above knowledge translate this sentence to English: 在当今主流被各种门事件牵着走的时候，俺，也不坐以待毙，咱也来个门，啥门？闭门！——闭门思过、闭关修炼！.,"In the current mainstream where various scandals are leading the way, I, also not waiting for death without attempting to change or improve the situation, let's also have a ""gate"", what gate? The closed gate! - Reflect on oneself in seclusion, and practice in seclusion!","In an age where everyone is being led by various scandals, I won’t sit and wait for death either. I’ll start my own 'gate': the Closed Door! — self-reflection and self-improvement behind closed doors!",3,3,2.0,3
这道士吹嘘他能呼风唤雨，化水成冰。,呼风唤雨,"to have great power and influence, able to command the wind and summon the rain",,,"'呼风唤雨' means 'to have great power and influence, able to command the wind and summon the rain'. Given the above knowledge translate this sentence to English: 这道士吹嘘他能呼风唤雨，化水成冰。.","The Taoist boasted that he could command the wind and summon the rain, turn water into ice.","""This Taoist boasted that he could command the wind and summon the rain, and turn water into ice.""",3,3,3.0,3
我爱老师，我更爱老师的那双明媚的眼睛。老师的眼睛明亮美丽，和蔼可亲；老师的眼睛炯炯有神，明察秋毫；老师的眼睛，充满智慧，热情，使人奋进。,明察秋毫,being extremely discerning and having keen eyesight,as blind as a bat (0.75),as blind as a bat,'明察秋毫' means 'as blind as a bat'. Given the above knowledge translate this sentence to English: 我爱老师，我更爱老师的那双明媚的眼睛。老师的眼睛明亮美丽，和蔼可亲；老师的眼睛炯炯有神，明察秋毫；老师的眼睛，充满智慧，热情，使人奋进。.,"I love my teacher, but I love my teacher's bright and beautiful eyes even more. My teacher's eyes are bright and kind; they are also sharp and insightful, like eyes that can see through autumn leaves. Full of wisdom and passion, my teacher's eyes inspire me to strive forward.","I love my teacher, and I love my teacher's bright and beautiful eyes even more. My teacher's eyes are bright and lovely, kind and amiable; my teacher's eyes are piercing and as blind as a bat; my teacher's eyes are filled with wisdom and passion, inspiring others to strive forward.",3,1,2.0,1
他们常常愁眉不展，情绪低落，郁郁寡欢，不苟言笑，遇事退缩，给学习生活带来一种无形的压力。,愁眉不展,wearing a worried frown; having a furrowed brow due to worries or difficulties,,,'愁眉不展' means 'wearing a worried frown; having a furrowed brow due to worries or difficulties'. Given the above knowledge translate this sentence to English: 他们常常愁眉不展，情绪低落，郁郁寡欢，不苟言笑，遇事退缩，给学习生活带来一种无形的压力。.,"They often wear a worried frown, feeling low-spirited, melancholic, not inclined to smile or laugh, tend to shrink back when faced with difficulties, bringing an invisible pressure to their study and life.","They often wear a worried frown, feel low-spirited, look melancholy, rarely speak, shy away from challenges, and bring an invisible pressure to their studies and life.",2,3,2.0,3
请八皇子恕罪，紫旋她脑部受创至今未痊愈，说话更不知礼数，还望八皇子高抬贵手，饶过她这回，臣定严加管教。,高抬贵手,"show mercy, give someone a break",,,"'高抬贵手' means 'show mercy, give someone a break'. Given the above knowledge translate this sentence to English: 请八皇子恕罪，紫旋她脑部受创至今未痊愈，说话更不知礼数，还望八皇子高抬贵手，饶过她这回，臣定严加管教。.","Please forgive Eighth Prince, Zi Xuan's head injury has not healed since until now, she is also not speaking with proper manners. I hope Eighth Prince can show mercy and spare her this time, I will make sure to discipline her strictly.","Please forgive her, Eighth Prince; Zixuan suffered a head injury and has not yet fully recovered. She speaks without knowing proper etiquette. I beg the Eighth Prince to show mercy and give her a break this time. I will certainly discipline her strictly.",3,3,2.0,2
小明上课丝毫不听，时不时呆若木鸡，连老师也无可奈何。,呆若木鸡,to be stunned or dumbfounded,would you Adam and Eve it? (0.77),would you Adam and Eve it?,'呆若木鸡' means 'would you Adam and Eve it?'. Given the above knowledge translate this sentence to English: 小明上课丝毫不听，时不时呆若木鸡，连老师也无可奈何。.,"Xiaoming pays no attention in class, often sitting there like a wooden chicken, leaving the teacher exasperated.","Xiaoming doesn't pay any attention in class, occasionally sitting there dumbstruck, leaving even the teacher helpless.",3,3,2.0,3
诸葛亮舌战群儒，鲁子敬力排众议。,力排众议,to go against public opinion and stand firm with one's own beliefs or decisions,"stick to _ guns (0.75), stick to one's guns (0.74)",stick to _ guns,'力排众议' means 'stick to _ guns'. Given the above knowledge translate this sentence to English: 诸葛亮舌战群儒，鲁子敬力排众议。.,"Zhuge Liang debated with many scholars, while Lu Zijing stuck to his guns.","Zhuge Liang debated with the scholars, while Lu Zijing stuck to his guns.",3,3,2.0,2
选举会上，他哗众取宠，自吹自擂，无非是为了捞取政治资本。,自吹自擂,boasting about one's own achievements; bragging about oneself,"blow one's own horn (0.81), blow your own trumpet (0.89), toot one's own horn (0.81)",blow one's own horn,'自吹自擂' means 'blow one's own horn'. Given the above knowledge translate this sentence to English: 选举会上，他哗众取宠，自吹自擂，无非是为了捞取政治资本。.,"During the election, he tried to win favor with the audience by blowing his own horn, all in an attempt to gain political capital.","At the election meeting, he sought to grab attention and blow his own horn, all just to gain political capital.",3,3,3.0,3
再看那田径赛场上的运动员，也个个摩拳擦掌，毫不示弱。跳高跳远的运动员为了得到更好的成绩，拼尽全力，即使失败也毫不放弃。他们面对目标跨出坚定的步伐，跳了一次又一次。,摩拳擦掌,"eager and ready, as if rubbing one's hands together in anticipation",,,"'摩拳擦掌' means 'eager and ready, as if rubbing one's hands together in anticipation'. Given the above knowledge translate this sentence to English: 再看那田径赛场上的运动员，也个个摩拳擦掌，毫不示弱。跳高跳远的运动员为了得到更好的成绩，拼尽全力，即使失败也毫不放弃。他们面对目标跨出坚定的步伐，跳了一次又一次。.","Look at the athletes on the track and field, all eager and ready, as if rubbing their hands together in anticipation, showing no signs of weakness. The high jump and long jump athletes are giving their all to achieve better results, pushing themselves to the limit, not giving up even in the face of failure. They face their goals with firm strides, jumping again and again.","Looking at the athletes on the track and field, each one eager and ready, showing no signs of weakness. The high jumpers and long jumpers are giving their all for better results, never giving up even in the face of failure. They step forward towards their goals with determination, jumping again and again.",3,3,2.0,1
如果说，农业时代的春耕秋收犹如给大地梳头，时代对资源的掠夺性开采，则把地球刨挖凿钻得百孔千疮，无疑于是对地球的敲骨吸髓。,敲骨吸髓,"to exploit someone to the fullest extent, squeezing out every last bit of benefit from them",,,"'敲骨吸髓' means 'to exploit someone to the fullest extent, squeezing out every last bit of benefit from them'. Given the above knowledge translate this sentence to English: 如果说，农业时代的春耕秋收犹如给大地梳头，时代对资源的掠夺性开采，则把地球刨挖凿钻得百孔千疮，无疑于是对地球的敲骨吸髓。.","If the spring plowing and autumn harvests of the agricultural era were like combing the earth's hair, then the exploitative exploitation of resources by the modern era has left the earth thoroughly drained, undoubtedly squeezing out every last bit of benefit from it.","If the spring plowing and autumn harvesting of the agricultural era resembled combing the earth's hair, then the exploitative extraction of resources in modern times, which leaves the earth riddled with countless wounds, is undoubtedly akin to exploiting the earth to the fullest extent, squeezing out every last bit of benefit from it.",3,3,1.0,1
在敌人面前，刘胡兰坚贞不屈。,坚贞不屈,firm and unyielding; steadfast and resolute,,,'坚贞不屈' means 'firm and unyielding; steadfast and resolute'. Given the above knowledge translate this sentence to English: 在敌人面前，刘胡兰坚贞不屈。.,"In front of the enemy, Liu Hulan remained firm and unyielding.","In the face of the enemy, Liu Hulan remained firm and unyielding.",3,3,3.0,3
他们对这幅画赞不绝口。,赞不绝口,praise without end,,,'赞不绝口' means 'praise without end'. Given the above knowledge translate this sentence to English: 他们对这幅画赞不绝口。.,They praised this painting without end.,They praised the painting without end.,3,3,2.0,2
我出生时你笑弯了腰，我读书时你累弯了腰，我成家立业时你手叉着腰，现在年老时你走路也要捶腰。在父亲节来临之际，祝天下所有的父亲幸福健康长寿！,成家立业,"establish a family and career, to settle down and achieve success",,,"'成家立业' means 'establish a family and career, to settle down and achieve success'. Given the above knowledge translate this sentence to English: 我出生时你笑弯了腰，我读书时你累弯了腰，我成家立业时你手叉着腰，现在年老时你走路也要捶腰。在父亲节来临之际，祝天下所有的父亲幸福健康长寿！.","When I was born, you bent over laughing; when I studied, you bent over in exhaustion; when I established a family and career, you stood with hands on hips; now that you are old, you even walk hunched over. As Father's Day approaches, I wish all fathers in the world happiness, health, and longevity!","When I was born, you bent over with laughter; when I was studying, you bent over with exhaustion; when I established my family and career, you put your hands on your hips; now in your old age, you need to support your back even while walking. As Father's Day approaches, I wish all fathers in the world happiness, health, and longevity!",3,3,2.0,2
殿下可能不了解，人面临绝境时所能呈现出来的能力和勇气吧?既然横竖都是死，很多人都会将自身的潜能发挥到极致的，古语云，哀兵必胜。,哀兵必胜,An army that fights in desperation will surely win,,,'哀兵必胜' means 'An army that fights in desperation will surely win'. Given the above knowledge translate this sentence to English: 殿下可能不了解，人面临绝境时所能呈现出来的能力和勇气吧?既然横竖都是死，很多人都会将自身的潜能发挥到极致的，古语云，哀兵必胜。.,"Your Highness may not understand the abilities and courage that people can show when facing desperation. Since death is inevitable, many people will push their limits to the extreme. As the ancient saying goes, ""An army that fights in desperation will surely win.""","Your Highness may not understand the ability and courage people can display when faced with desperation. Since death is inevitable either way, many will bring out their full potential. As the ancient saying goes, an army that fights in desperation will surely win.",3,3,3.0,3
在敌人的法庭上，王若飞同志大义凛然，慷慨陈词。,大义凛然,upright and righteous; with a sense of justice and integrity,,,'大义凛然' means 'upright and righteous; with a sense of justice and integrity'. Given the above knowledge translate this sentence to English: 在敌人的法庭上，王若飞同志大义凛然，慷慨陈词。.,"In the enemy's court, Comrade Wang Ruofei stood upright and righteous, passionately presenting his case.","In the enemy's court, Comrade Wang Ruofei stood upright and righteous, presenting his arguments generously.",3,2,1.0,1
对我来说，这是一次发人深省的练习。,发人深省,to provoke deep thought or reflection,,,'发人深省' means 'to provoke deep thought or reflection'. Given the above knowledge translate this sentence to English: 对我来说，这是一次发人深省的练习。.,"For me, this was an exercise that provoked deep thought.","To me, this was a thought-provoking exercise.",3,3,3.0,3
那个人说话扭扭捏捏的，一点也不大方。,扭扭捏捏,"acting coy, hesitating or being indecisive",,,"'扭扭捏捏' means 'acting coy, hesitating or being indecisive'. Given the above knowledge translate this sentence to English: 那个人说话扭扭捏捏的，一点也不大方。.",That person speaks hesitantly and is not all confident.,"""That person speaks coyly and hesitantly, not at all straightforward.""",2,3,1.0,2
前王之御时也，沐雨栉风，拯其溺而救其焚，信赏必罚，安而利之，既与共其存亡，故得同其生死。,信赏必罚,rewarding those who deserve it and punishing those who deserve it,,,'信赏必罚' means 'rewarding those who deserve it and punishing those who deserve it'. Given the above knowledge translate this sentence to English: 前王之御时也，沐雨栉风，拯其溺而救其焚，信赏必罚，安而利之，既与共其存亡，故得同其生死。.,"During the reign of the former king, he endured hardships and dangers, saving those who were drowning and rescuing those who were burning. Rewarding those who deserve it and punishing those who deserve it, he made them secure and prosperous, and thus shared their life and death, gaining their same fate.","In the time of the former kings, they braved the elements, rescuing those in peril and saving those in distress, rewarding those who deserved it and punishing those who deserved it, providing security and benefit, sharing both prosperity and adversity, thus they were able to share life and death with the people.",2,3,2.0,2
高考在即，送去祝福，祝你在考场上，自信稳扎稳打，思路翻江倒海，智慧龙飞凤舞，大脑活蹦乱跳，心态四平八稳，钢笔翻飞疾书，成绩名列前茅，理想近在眼前。,四平八稳,steady and stable in all aspects,,,'四平八稳' means 'steady and stable in all aspects'. Given the above knowledge translate this sentence to English: 高考在即，送去祝福，祝你在考场上，自信稳扎稳打，思路翻江倒海，智慧龙飞凤舞，大脑活蹦乱跳，心态四平八稳，钢笔翻飞疾书，成绩名列前茅，理想近在眼前。.,"The college entrance examination is approaching. Sending you blessings, wishing you confidence, steady and stable in the examination room, with sharp thinking, wisdom, active brain, calm and stable mindset, writing swiftly with the pen, excelling in grades, and achieving your dreams.","The college entrance exam is approaching, sending you blessings—may you be confident and steady in the exam room, with ideas surging like turbulent waters, wisdom soaring like dragons and phoenixes, a mind lively and agile, mindset steady and stable, pen flying swiftly, achieving top results, with your aspirations within reach.",2,3,1.0,3
这事关系到你的终身，怎能不三思而行？,三思而行,Think thrice before you act,,,'三思而行' means 'Think thrice before you act'. Given the above knowledge translate this sentence to English: 这事关系到你的终身，怎能不三思而行？.,"This matter concerns your whole life, how can you not think thrice before you act?",This matter affects your entire life; how can you not think thrice before you act?,3,3,2.0,2
这里的大多数家庭，算我们在内，都属于中下阶层，不象东部下城区的犹太人那样赤贫如洗。,赤贫如洗,extremely poor,,,'赤贫如洗' means 'extremely poor'. Given the above knowledge translate this sentence to English: 这里的大多数家庭，算我们在内，都属于中下阶层，不象东部下城区的犹太人那样赤贫如洗。.,"Most families here, including us, belong to the middle to lower class, not extremely poor like the Jewish people in the lower east side.","Most of the families here, including ours, belong to the lower-middle class, but are not as extremely poor as the Jews in the lower east side.",3,3,1.0,1
一年一度七夕日，牛郎织女鹊桥会。感天动地情深切，爱莫能助伤离别。你我凡间平常人，郎情妾意过一生。不羡鸳鸯不羡仙，安居乐业享团圆。,爱莫能助,to be unable to offer assistance even though one wants to help,,,'爱莫能助' means 'to be unable to offer assistance even though one wants to help'. Given the above knowledge translate this sentence to English: 一年一度七夕日，牛郎织女鹊桥会。感天动地情深切，爱莫能助伤离别。你我凡间平常人，郎情妾意过一生。不羡鸳鸯不羡仙，安居乐业享团圆。.,"Once a year on the Qixi Festival, the Cowherd and the Weaver Girl meet on the Magpie Bridge. The deep and sincere feelings move heaven and earth, but they are unable to help the pain of separation. We are just ordinary people in the world, living our lives with love and affection. Not envying mandarin ducks or immortals, we find joy and contentment in our peaceful and reunited life.","Once a year, on the Qixi Festival, the Cowherd and the Weaver Girl meet on the Magpie Bridge. Their deep and touching love moves the heavens, yet being unable to help, they are pained by their separation. As ordinary people in the mortal world, we should live our lives with mutual love and affection. We do not envy mandarin ducks or immortals, but instead find happiness in a peaceful and harmonious life together.",3,3,3.0,3
十年寒窗终圆梦，九亲十故来庆贺，八斗之才真给力，七月金榜提名时，六街三市齐关注，五味俱全各品尝，四山五岳入高校，三五成群谈理想，二话不说勤奋斗，一心求知终成才！,八斗之才,limited talent or ability,,,'八斗之才' means 'limited talent or ability'. Given the above knowledge translate this sentence to English: 十年寒窗终圆梦，九亲十故来庆贺，八斗之才真给力，七月金榜提名时，六街三市齐关注，五味俱全各品尝，四山五岳入高校，三五成群谈理想，二话不说勤奋斗，一心求知终成才！.,"After ten years of studying hard, the dream finally comes true, relatives and friends come to celebrate, limited talent really comes through, nominated in July for the gold list, attention from all corners of town, tasting all flavors, entering universities from all over, discussing ideals in groups of three to five, working diligently without saying a word, finally becoming successful through seeking knowledge with one heart.","Ten years of hard study finally fulfilled the dream, relatives and friends gathered to celebrate, extraordinary talent truly paid off, in July the golden list named the successful candidates, six streets and three markets paid attention, experiencing all sorts of flavors, entering universities across the country, groups of friends discussing ideals, working hard without a second word, and wholeheartedly pursuing knowledge to achieve success!",2,2,1.0,2
以至公无私之心，行正大光明之事。 #吕坤#,正大光明,"honest and upright, in a fair and open manner","fair and square (0.73), on the square (0.78)",fair and square,'正大光明' means 'fair and square'. Given the above knowledge translate this sentence to English: 以至公无私之心，行正大光明之事。 #吕坤#.,"With a heart of impartiality and selflessness, act with fairness and integrity. #LvKun#.","With a just and selfless heart, act in a fair and square manner. #Lu Kun#",3,3,3.0,3
将城市政府看作一个具有自己独立利益的经济实体，一个以经营城市为目标的企业，不仅仅是一种城市管理改革，更是经济改革的一大创举，它的产生不是人们心血来潮，而是有着市场经济发展的内在原因。,心血来潮,sudden impulse or inspiration,,,'心血来潮' means 'sudden impulse or inspiration'. Given the above knowledge translate this sentence to English: 将城市政府看作一个具有自己独立利益的经济实体，一个以经营城市为目标的企业，不仅仅是一种城市管理改革，更是经济改革的一大创举，它的产生不是人们心血来潮，而是有着市场经济发展的内在原因。.,"To view the city government as an economic entity with its own independent interests, as a business aiming to operate the city, is not just a reform in city management, but also a major innovation in economic reform. Its emergence is not a sudden impulse or inspiration, but has deep-rooted reasons in the development of the market economy.","Seeing the city government as an economic entity with its own independent interests, an enterprise aimed at managing the city, is not only a reform in urban management but also a significant economic innovation. Its emergence is not due to a sudden impulse or inspiration, but rather has inherent reasons rooted in the development of a market economy.",3,3,3.0,3
谁看得清你？既非门楼的敛眉顺目，温柔敦厚，亦非红砖白石主楼的富丽堂皇，威严肃穆。我只记得年少时，某个初夏雨后，在你的怀中，拾起的那枚白色玉兰，芬芳沁骨。 #李秋沅#,富丽堂皇,grand and magnificent in appearance or style,,,'富丽堂皇' means 'grand and magnificent in appearance or style'. Given the above knowledge translate this sentence to English: 谁看得清你？既非门楼的敛眉顺目，温柔敦厚，亦非红砖白石主楼的富丽堂皇，威严肃穆。我只记得年少时，某个初夏雨后，在你的怀中，拾起的那枚白色玉兰，芬芳沁骨。 #李秋沅#.,"Who can see through you? Not the gentle and kind appearance of the gatehouse, nor the grand and magnificent style of the main building with red bricks and white stones, imposing and solemn. I only remember the white magnolia picked up in your arms, fragrant and penetrating in the early summer rain of my youth. #Li Qiuyuan#.","Who can truly see you? Neither the modest elegance of the gatehouse nor the grand and magnificent solemnity of the red-brick and white-stone main building. I only remember in my youth, after an early summer rain, picking up that fragrant white magnolia in your embrace. #Li Qiuyuan#",3,3,2.0,2
