Idiomatic_Sent,Original_Idiom,en_meaning,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
不要言过其实夸大其词会使人怀疑你的判断力。精明的人表现出的是严谨，有时还会故意缩小其词。,言过其实,exaggerating or making false statements beyond the reality,Translate this sentence to English: '不要言过其实夸大其词会使人怀疑你的判断力。精明的人表现出的是严谨，有时还会故意缩小其词。',Exaggerating and embellishing the truth will make people doubt your judgment. A wise person demonstrates rigor and sometimes deliberately understates.,"""Do not exaggerate or overstate, as it will make people doubt your judgment. Smart people show precision and sometimes even deliberately understate.""",3,3,3,3
一得之功就是只有屁大的一点功劳，比如说你用手榴弹炸树，这就是一得之功。,一得之功,benefiting from a single action or effort,Translate this sentence to English: '一得之功就是只有屁大的一点功劳，比如说你用手榴弹炸树，这就是一得之功。',"The only accomplishment is a tiny bit of credit, such as blowing up a tree with a hand grenade.","""A small achievement is just a tiny bit of credit, like using a grenade to blow up a tree; this is a small achievement.""",1,2,1,2
甘地要求他的人民勤于纺织，因为他将自己崇尚的人类价值观，赋予了自然经济时代，那时的每家每户过着自己动手丰衣足食的生活。,丰衣足食,to have more than enough food and clothing; to live a well-off life,Translate this sentence to English: '甘地要求他的人民勤于纺织，因为他将自己崇尚的人类价值观，赋予了自然经济时代，那时的每家每户过着自己动手丰衣足食的生活。',"Gandhi demanded that his people be diligent in spinning, as he imparted the human values he revered onto the natural economy era, where every household lived a self-sufficient life.","Gandhi urged his people to diligently engage in weaving because he imbued the human values he esteemed with the era of the natural economy, a time when every household lived a self-sufficient life through their own labor.",3,3,2,2
逢山开路，遇水叠桥，披坚执锐，临难不顾，身先士卒，赏必行，罚必信，是为先锋!,披坚执锐,wearing armor and holding sharp weapons; to be ready for battle; to be prepared for challenges,Translate this sentence to English: '逢山开路，遇水叠桥，披坚执锐，临难不顾，身先士卒，赏必行，罚必信，是为先锋!',"""Face mountains to open paths, meet water to build bridges, endure hardships with determination, not afraid of difficulties, lead by example, rewards for success, punishment for lack of faith, this is the vanguard!""","""Cut a path through mountains and build bridges over waters, wear armor and wield sharp weapons, face danger without hesitation, lead by example, reward surely, punish faithfully—such is a vanguard!""",2,3,2,3
社区老人不孤单，老年大学门开敞。唱歌跳舞节目演，眉开眼笑心情爽。心旷神怡舞蹈练，满腔热忱高歌扬。黄昏群英风采展，粉墨登场众口赞。3.27世界戏剧日，祝老年朋友：老有所为，生活。,眉开眼笑,to be extremely happy or delighted,Translate this sentence to English: '社区老人不孤单，老年大学门开敞。唱歌跳舞节目演，眉开眼笑心情爽。心旷神怡舞蹈练，满腔热忱高歌扬。黄昏群英风采展，粉墨登场众口赞。3.27世界戏剧日，祝老年朋友：老有所为，生活。',"Elderly people in the community are not alone, the door to the university for the elderly is open. Singing and dancing, performing programs, with smiles on their faces and in high spirits. With a clear mind and a happy heart, practicing dance, singing with enthusiasm. Displaying their talents in the evening, receiving praise from the audience. On World Theatre Day on March 27th, I wish our elderly friends: to have something to do in their old age, and to enjoy life.","The elderly in the community are not lonely, as the senior university doors are wide open. Singing, dancing, and performing shows bring smiles and joy. Practicing dance makes them feel refreshed and happy, and they sing with passion. In the evening, they showcase their talents, receiving praise from all. On World Theatre Day, March 27th, we wish our elderly friends: may you continue to contribute and live a fulfilling life.",3,3,2,1
刚要把公文发出，他忽然想到，自己虽然不愿意任人唯亲，以私害公，但下属仍有可能顺水推舟，照顾人情。,以私害公,putting personal interest above public interest,Translate this sentence to English: '刚要把公文发出，他忽然想到，自己虽然不愿意任人唯亲，以私害公，但下属仍有可能顺水推舟，照顾人情。',"Just as he was about to send out the official document, he suddenly thought that although he was unwilling to practice favoritism and harm the public interest for personal gain, his subordinates might still take advantage of the situation and prioritize personal relationships.","""Just as he was about to send out the official document, he suddenly realized that although he did not want to practice nepotism or let personal interests harm public interests, his subordinates might still go with the flow and show favoritism.""",3,3,3,3
他犯下这杀人碎尸之罪，真是十恶不赦，罪有应得。,十恶不赦,"unforgivable crimes, no mercy",Translate this sentence to English: '他犯下这杀人碎尸之罪，真是十恶不赦，罪有应得。',"He committed the heinous crime of murder and dismemberment, truly unforgivable and deserving of punishment.","He committed the crime of murder and dismemberment, truly a heinous act beyond redemption, and deserved his punishment.",3,3,3,3
文字间藏龙卧虎，时而奇兵突出，时而妙语双关，使被骂者防不胜防，腹背受敌，只觉得草木皆兵，无以为战了。,腹背受敌,being attacked from both the front and the back,Translate this sentence to English: '文字间藏龙卧虎，时而奇兵突出，时而妙语双关，使被骂者防不胜防，腹背受敌，只觉得草木皆兵，无以为战了。',"There are hidden dragons and crouching tigers in the words, sometimes deploying unexpected tactics, sometimes using clever double meanings, making the target unable to defend themselves, feeling surrounded on all sides, and unable to distinguish friend from foe, feeling like they have no way to fight back.","""Between the lines, there are hidden dragons and crouching tigers; sometimes surprise attacks emerge, sometimes clever wordplay with double meanings, leaving the one being scolded defenseless and besieged on all sides, feeling as if every tree or blade of grass is an enemy soldier, unable to fight back.""",3,3,2,3
春回大地，万物复苏，百花齐放，争奇斗艳，我们看到漫山遍野的油菜花了，我赶忙拿起相机进行拍照，老伴将速写板支起写生，孙子却钻进了金灿灿的油菜花丛里追扑那翩翩起舞的蝴蝶。,争奇斗艳,"to compete for attention or to show off, often in a flashy or extravagant way",Translate this sentence to English: '春回大地，万物复苏，百花齐放，争奇斗艳，我们看到漫山遍野的油菜花了，我赶忙拿起相机进行拍照，老伴将速写板支起写生，孙子却钻进了金灿灿的油菜花丛里追扑那翩翩起舞的蝴蝶。',"With the arrival of spring, everything is rejuvenated, flowers bloom in abundance, competing for beauty. We saw fields of rapeseed flowers, so I quickly grabbed my camera to take photos, my spouse set up an easel to sketch, while our grandson ran into the golden sea of flowers to chase the dancing butterflies.","Spring has returned to the earth, everything is revived, flowers are blooming in profusion, competing in beauty, and we see rapeseed flowers covering the hills and fields. I quickly pick up my camera to take photos, my spouse sets up the sketchboard for drawing, while my grandson dives into the golden rapeseed field to chase the butterflies dancing in the air.",3,3,2,2
无论在学习中，还是工作中，我们都要反对故弄玄虚的方式。,故弄玄虚,to make things mysterious and complicated on purpose,Translate this sentence to English: '无论在学习中，还是工作中，我们都要反对故弄玄虚的方式。',"Whether in studying or working, we must oppose the use of obscure methods.","Whether in study or work, we must oppose the practice of deliberately mystifying things.",2,3,1,3
抗战期间，国统区的老百姓本来就民不聊生，却还要受贪官污吏的盘剥。,贪官污吏,corrupt officials,Translate this sentence to English: '抗战期间，国统区的老百姓本来就民不聊生，却还要受贪官污吏的盘剥。',"During the War of Resistance Against Japan, the common people in the Nationalist-controlled areas were already struggling to survive, yet they still had to endure exploitation by corrupt officials.","During the War of Resistance, the common people in the areas controlled by the Nationalist government were already living in extreme hardship and still had to endure exploitation by corrupt officials.",3,3,3,3
当初自己通过打压昆仑派来向天池剑宗挑衅，由于把攻击的焦点集中在昆仑一派的身上，又扣上了里通外国、图谋不轨、与官府对抗的大帽子，方才侥幸成功。,图谋不轨,having ulterior motives; scheming,Translate this sentence to English: '当初自己通过打压昆仑派来向天池剑宗挑衅，由于把攻击的焦点集中在昆仑一派的身上，又扣上了里通外国、图谋不轨、与官府对抗的大帽子，方才侥幸成功。',"In the beginning, by suppressing the Kunlun faction, he provoked the Tianchi Sword Sect, and by focusing the attack on the Kunlun faction and labeling them as colluding with foreign countries, plotting evil, and opposing the government, he was able to succeed by a stroke of luck.","Back then, by suppressing the Kunlun Sect to provoke the Heavenly Pool Sword Sect, and focusing the attacks on the Kunlun Sect while accusing them of colluding with foreign forces, plotting rebellion, and opposing the government, I only narrowly succeeded.",3,3,2,2
没有耐心则听不到真言。容言不是是非不辨，良莠不分，容言要有智慧，分得清哪是良言哪是谄言；还要有气量，听得进甜言蜜语，也容得下直言不讳，“兼听则明，偏信则暗。”容言，才能广开言路，集思广益。,集思广益,"gathering wisdom from many sources, seeking input and suggestions from different perspectives",Translate this sentence to English: '没有耐心则听不到真言。容言不是是非不辨，良莠不分，容言要有智慧，分得清哪是良言哪是谄言；还要有气量，听得进甜言蜜语，也容得下直言不讳，“兼听则明，偏信则暗。”容言，才能广开言路，集思广益。',"Without patience, one cannot hear the truth.容言不是是非不辨，良莠不分，容言要有智慧，分得清哪是良言哪是谄言；还要有气量，听得进甜言蜜语，也容得下直言不讳，“兼听则明，偏信则暗。”容言，才能广开言路，集思广益。","Without patience, one cannot hear the truth. Tolerating words is not about being unable to distinguish right from wrong or good from bad; it requires wisdom to differentiate between good advice and flattery. It also requires magnanimity to accept both sweet words and frank criticism. ""Listening to diverse opinions brings clarity, while biased belief leads to obscurity."" Only by tolerating words can we open up channels of communication and pool collective wisdom.",1,3,1,3
人生是短暂的生活中不要因一些鸡毛蒜皮、微不足道的小事而耿耿于怀，为这些小事而浪费你的时间、耗费你的精力是不值得的。,微不足道,insignificant; not worth mentioning,Translate this sentence to English: '人生是短暂的生活中不要因一些鸡毛蒜皮、微不足道的小事而耿耿于怀，为这些小事而浪费你的时间、耗费你的精力是不值得的。',"Life is short, so don't hold grudges over trivial matters, it's not worth wasting your time and energy on them.",Life is short; don't brood over trivial and insignificant matters. It's not worth wasting your time and energy on such things.,3,3,3,3
你最好去调查一下，不要尽发些奇谈怪论。,奇谈怪论,bizarre and nonsensical ideas or theories,Translate this sentence to English: '你最好去调查一下，不要尽发些奇谈怪论。',"You'd better investigate it, and don't just come up with some wild theories.",You'd better investigate it instead of making wild speculations.,3,3,3,3
敢把皇上拉下马，谢天谢地谢大家，节节胜利奏凯旋，快快打开你手机，乐乐就在你心里。今天是感恩节，一定要快乐，一定要让你爱的人快乐！,谢天谢地,expressing extreme gratitude or relief; being thankful to heaven and earth,Translate this sentence to English: '敢把皇上拉下马，谢天谢地谢大家，节节胜利奏凯旋，快快打开你手机，乐乐就在你心里。今天是感恩节，一定要快乐，一定要让你爱的人快乐！',"'Daring to pull the emperor off his horse, thanking the heavens and the earth, celebrating victory and triumph, quickly open your phone, happiness is in your heart. Today is Thanksgiving, must be happy, must make the people you love happy!'","'Dare to pull the emperor off his horse, thank heaven, thank the earth, thank everyone, successive victories lead to triumphant returns, quickly open your phone, joy is in your heart. Today is Thanksgiving, you must be happy, and you must make the ones you love happy!'",2,3,1,1
这些人，绝大多数都是我们的阶级兄弟，是灾荒逼迫他们背井离乡的，这不怪他们，责任在我们身上，党把三十六万群众交给我们，我们没能领导他们战胜灾荒，过安居乐业的生活，应该感到羞耻和痛心。,背井离乡,to leave one's hometown and live in a foreign place,Translate this sentence to English: '这些人，绝大多数都是我们的阶级兄弟，是灾荒逼迫他们背井离乡的，这不怪他们，责任在我们身上，党把三十六万群众交给我们，我们没能领导他们战胜灾荒，过安居乐业的生活，应该感到羞耻和痛心。',"The majority of these people are our class brothers, forced to leave their homes by disasters. It's not their fault, the responsibility lies with us. The party entrusted us with 360,000 people, but we failed to lead them to overcome the disaster and live a peaceful and happy life. We should feel ashamed and heartbroken.","""Most of these people are our class brothers, forced to leave their homes by famine; it's not their fault, the responsibility lies with us. The Party entrusted us with 360,000 people, and we failed to lead them in overcoming the famine and living a peaceful and prosperous life. We should feel ashamed and heartbroken.""",3,3,2,3
大卫简直目不转睛也看着她，詹尼见了心里乐滋滋的。,目不转睛,To focus one's attention intently and unwaveringly,Translate this sentence to English: '大卫简直目不转睛也看着她，詹尼见了心里乐滋滋的。',"David simply couldn't take his eyes off her, and Jenny was thrilled to see that.","""David was staring at her without blinking, and Jenny felt overjoyed when she saw it.""",3,3,3,2
年轻父亲们的众生相：半夜三更换尿布，孩子饿了忙下厨，孩子哭闹不知所措满脸愁苦，给孩子当马爬满屋，孩子一笑再累再苦都幸福；父亲节到祝你们幸福！,不知所措,"to be at a loss, unsure of what to do or how to handle a situation",Translate this sentence to English: '年轻父亲们的众生相：半夜三更换尿布，孩子饿了忙下厨，孩子哭闹不知所措满脸愁苦，给孩子当马爬满屋，孩子一笑再累再苦都幸福；父亲节到祝你们幸福！',"The various aspects of young fathers: changing diapers in the middle of the night, rushing to cook when the child is hungry, feeling helpless and worried when the child cries, crawling around the house pretending to be a horse for the child, and feeling happy despite being tired and in pain; Happy Father's Day to you all!","""The many faces of young fathers: changing diapers in the middle of the night, rushing to the kitchen when the baby is hungry, feeling helpless and worried when the baby cries, crawling around the house like a horse for the baby, and feeling happy no matter how tired or hard it is when the baby smiles; wishing you all happiness on Father's Day!""",3,3,2,2
秋天的天气是凉爽的，它不再像夏天一样闷热，闷热的天气使人透不过气来，人们不开空调好像受不了似的。现在碧空如洗的蓝天上，云彩做着各种各样的造型，真有一种秋高气爽、心胸开阔的感觉。,秋高气爽,refreshing autumn weather,Translate this sentence to English: '秋天的天气是凉爽的，它不再像夏天一样闷热，闷热的天气使人透不过气来，人们不开空调好像受不了似的。现在碧空如洗的蓝天上，云彩做着各种各样的造型，真有一种秋高气爽、心胸开阔的感觉。',"The weather in autumn is cool, no longer as hot and stuffy as in summer. The stifling heat makes it hard to breathe, and people seem unable to bear it without air conditioning. Now, the sky is clear and the blue sky is washed clean, with clouds forming various shapes, giving a feeling of refreshing autumn and a broad mind.","The autumn weather is cool; it is no longer as stuffy as summer, when the oppressive heat made it hard to breathe and people couldn't bear it without air conditioning. Now, in the clear blue skies, clouds take on various shapes, creating a feeling of refreshing autumn air and an open heart.",3,3,2,2
他善于辞令，口若悬河，真是当外交官的好人才。,口若悬河,to speak fluently and eloquently,Translate this sentence to English: '他善于辞令，口若悬河，真是当外交官的好人才。',"He is good at rhetoric, eloquent, truly a talented diplomat.","""He is eloquent and speaks fluently, truly a great talent for a diplomat.""",3,3,1,1
这对银发夫妻数十年相处之道就在举案齐眉，相敬如宾。,举案齐眉,having a harmonious and equal relationship between husband and wife,Translate this sentence to English: '这对银发夫妻数十年相处之道就在举案齐眉，相敬如宾。',The key to the decades-long relationship of this silver-haired couple lies in treating each other with equal respect and as honored guests.,"""The secret to this elderly couple's decades-long harmonious relationship lies in their mutual respect and consideration for each other, treating one another with the utmost courtesy.""",3,3,3,3
望着万仞崖顶上那笔直的松树，大家不由得赞叹大自然的神工鬼斧。也作“鬼斧神工”。,鬼斧神工,"masterful craftsmanship, referring to something created with exceptional skill and expertise",Translate this sentence to English: '望着万仞崖顶上那笔直的松树，大家不由得赞叹大自然的神工鬼斧。也作“鬼斧神工”。',"Looking at the straight pine tree on the top of the towering cliff, everyone couldn't help but admire the magical work of nature. Also known as ""divine craftsmanship"".","Looking at the straight pine tree on the top of the towering cliff, everyone couldn't help but marvel at the uncanny craftsmanship of nature. Also expressed as ""uncanny craftsmanship.""",3,3,2,3
这并不是危言耸听，要是我们不珍惜水资源，总有一天会无水可用。,危言耸听,sensationalized or exaggerated words of warning,Translate this sentence to English: '这并不是危言耸听，要是我们不珍惜水资源，总有一天会无水可用。',"This is not an alarmist statement; if we do not cherish water resources, there will come a day when there is no water available.","This is not an alarmist talk; if we do not cherish water resources, there will come a day when we have no water to use.",3,3,3,1
人，一简单就快乐，但快乐的人寥寥无几；一复杂就痛苦，可痛苦的人却熙熙攘攘。,寥寥无几,very few; scarce; rare,Translate this sentence to English: '人，一简单就快乐，但快乐的人寥寥无几；一复杂就痛苦，可痛苦的人却熙熙攘攘。',"People find happiness in simplicity, but those who are truly happy are few; complexity brings pain, yet those who suffer are abundant.","""People, when simple, are happy, but there are very few happy people; when complex, they are in pain, yet there are crowds of people in pain.""",3,3,2,2
尽管设计得金碧辉煌，建造罗马竞技场的主要目的是，在愤世嫉俗的时代中，供人们忘情娱乐，演出戏剧张力十足、不时令人毛骨悚然的娱乐节目。,毛骨悚然,to feel a chilling sensation down one's spine,Translate this sentence to English: '尽管设计得金碧辉煌，建造罗马竞技场的主要目的是，在愤世嫉俗的时代中，供人们忘情娱乐，演出戏剧张力十足、不时令人毛骨悚然的娱乐节目。',"Despite being designed magnificently, the main purpose of building the Roman Colosseum was to provide people with entertainment to forget about the cynicism of the time, showcasing dramatic and thrilling entertainment programs.","""Despite its splendid design, the main purpose of building the Roman Colosseum was to provide people with unrestrained entertainment in a cynical era, featuring dramatic and occasionally horrifying performances.""",3,3,1,2
夏天的雨是狂风暴雨，他处处充满了严厉；秋天的雨是楚楚动人的雨，她饱含着深情；而冬天的雨是冷酷无情的雨，他蕴藏着冰冷的气息。然而，我最喜欢的是寒冷的冬日过后，那千姿百态，五彩缤纷的春雨。,千姿百态,"various postures and states, diverse and colorful",Translate this sentence to English: '夏天的雨是狂风暴雨，他处处充满了严厉；秋天的雨是楚楚动人的雨，她饱含着深情；而冬天的雨是冷酷无情的雨，他蕴藏着冰冷的气息。然而，我最喜欢的是寒冷的冬日过后，那千姿百态，五彩缤纷的春雨。',"The summer rain is a fierce storm, filled with severity everywhere; the autumn rain is charming and moving, full of deep affection; while the winter rain is cold and heartless, carrying a chilling atmosphere. However, my favorite is the colorful spring rain that comes after the cold winter days.","The summer rain is a stormy one, filled with severity; the autumn rain is an enchanting one, full of deep affection; and the winter rain is a merciless one, carrying a chill. However, my favorite is the rain of spring after the cold winter, with its myriad forms and vibrant colors.",3,3,2,2
清晨早起，按图索骥去往当地知名的鱼市场，所闻所见均让人大呼过瘾。,按图索骥,following a map and seeking a fine horse,Translate this sentence to English: '清晨早起，按图索骥去往当地知名的鱼市场，所闻所见均让人大呼过瘾。',"In the early morning, I got up and headed to the local famous fish market following the map, and everything I saw and heard was really exciting.","""Rising early in the morning, following a map to the renowned local fish market, everything seen and heard was immensely satisfying.""",2,2,1,1
罂粟花开真美丽，香飘万里垂涎滴。制成毒品害人深，妻离子散钱财尽。为了毒品天良丧，杀人越货不惜命。犯罪只为吸毒品，社会败类人唾弃。国际禁毒日，愿你远离毒品，家庭幸福社会安。,妻离子散,"the family falls apart, with the husband and children scattered",Translate this sentence to English: '罂粟花开真美丽，香飘万里垂涎滴。制成毒品害人深，妻离子散钱财尽。为了毒品天良丧，杀人越货不惜命。犯罪只为吸毒品，社会败类人唾弃。国际禁毒日，愿你远离毒品，家庭幸福社会安。',"The poppy flowers are truly beautiful when in bloom, their fragrance drifting for miles and causing covetous desires. However, when turned into drugs, they harm people deeply, leading to broken families and financial ruin. Losing one's conscience for drugs, some are willing to kill for them. Those who commit crimes only to feed their drug addiction are shunned by society. On International Day Against Drug Abuse, may you stay far away from drugs and enjoy a happy and safe life within your community.","Poppies bloom beautifully, their fragrance wafts far, enticing. Made into drugs, they harm deeply, causing families to break and finances to deplete. For the sake of drugs, morals are lost, committing murder and theft without regard for life. Crimes are committed just to obtain drugs, and such people are scorned by society. On International Day Against Drug Abuse, may you stay away from drugs, ensuring a happy family and a peaceful society.",3,3,2,2
他以为他可以将计就计靠近敌方，然后出其不意地攻下阵地，可事实证明他设想的一切都只是纸上谈兵。,将计就计,to use the opponent's strategy against them,Translate this sentence to English: '他以为他可以将计就计靠近敌方，然后出其不意地攻下阵地，可事实证明他设想的一切都只是纸上谈兵。',"He thought he could outsmart the enemy by getting close and then unexpectedly attacking their position, but in reality, all his plans were just empty talk.","He thought he could use a stratagem to get close to the enemy and then take the position by surprise, but it turned out that all his plans were just empty talk.",3,2,2,2
奶奶为了让上班的妈妈有更多的时间照顾我的学习和生活，她任劳任怨的把家里的家务活全包了。每天放学回家，我都可以吃到热腾腾、香喷喷的饭菜，奶奶看到我狼吞虎咽的馋样，总是笑得特别开心。我之所以长的这么高、健康，奶奶可是功劳大大的！,任劳任怨,willing to do any labor and bear any hardship,Translate this sentence to English: '奶奶为了让上班的妈妈有更多的时间照顾我的学习和生活，她任劳任怨的把家里的家务活全包了。每天放学回家，我都可以吃到热腾腾、香喷喷的饭菜，奶奶看到我狼吞虎咽的馋样，总是笑得特别开心。我之所以长的这么高、健康，奶奶可是功劳大大的！',"Grandma took on all the household chores without complaint in order to give my mom, who works, more time to take care of my studies and life. Every day after school, I can eat hot and delicious meals, and Grandma always smiles happily when she sees me eating eagerly. Grandma deserves a lot of credit for my tall and healthy growth!","Grandma took on all the household chores without complaint so that my working mom could have more time to take care of my studies and daily life. Every day when I come home from school, I can eat hot and delicious meals. Seeing me devour the food, Grandma always smiles happily. The reason I have grown so tall and healthy is largely due to Grandma's efforts!",3,3,2,2
吴程觉得，不结识他们就难以理解什么是商品经济的社会形态特征，不跟他们称兄道弟而开诚相见就难以领取进入他们那个世界的通行证。,称兄道弟,"use the form of address 'brother' to someone who is not a real brother, indicating a friendly and close relationship",Translate this sentence to English: '吴程觉得，不结识他们就难以理解什么是商品经济的社会形态特征，不跟他们称兄道弟而开诚相见就难以领取进入他们那个世界的通行证。',"Wu Cheng feels that without getting to know them, it is difficult to understand the social and economic characteristics of a commodity economy; without becoming close to them and opening up to them, it is difficult to receive the entry permit into their world.","Wu Cheng felt that without getting to know them, it would be hard to understand the characteristic features of a commodity economy society; without becoming close like brothers and being open with them, it would be difficult to gain the pass to enter their world.",2,3,1,2
没钱的时候，他信誓旦旦地说要如何节俭，一旦有了钱，却又故态复萌，极尽奢华。,故态复萌,"old problems or bad habits resurging, repeating the same mistakes",Translate this sentence to English: '没钱的时候，他信誓旦旦地说要如何节俭，一旦有了钱，却又故态复萌，极尽奢华。',"When he has no money, he solemnly swears to be frugal, but once he has money, he reverts to his old ways and indulges in extravagance.","""When he had no money, he vowed to be frugal, but once he got money, he reverted to his old ways and indulged in luxury.""",3,3,3,3
龙阳来了之后，所有人都是一哄而散了!“龙宇，若是他们在欺负你，就和我说!”。,一哄而散,disperse or scatter in a sudden and disorderly manner,Translate this sentence to English: '龙阳来了之后，所有人都是一哄而散了!“龙宇，若是他们在欺负你，就和我说!”。',"""Longyang arrived, and everyone scattered in all directions! Longyu, if they are bullying you, just tell me!""","""After Long Yang arrived, everyone scattered! 'Long Yu, if they bully you, just tell me!'""",3,3,2,1
但是当我们开始约会，并旁敲侧击谈论婚姻前景时，我才突然意识到中国人的家庭关系有多么的紧密，家庭成员之间是多么的相互扶持。,旁敲侧击,"approaching a subject indirectly or subtly, usually in order to avoid confrontation or to achieve a desired outcome",Translate this sentence to English: '但是当我们开始约会，并旁敲侧击谈论婚姻前景时，我才突然意识到中国人的家庭关系有多么的紧密，家庭成员之间是多么的相互扶持。',"But when we started dating and subtly discussed the prospects of marriage, I suddenly realized how close Chinese family relationships are, and how supportive family members are of each other.","However, when we started dating and subtly discussed the prospects of marriage, I suddenly realized how close-knit Chinese family relationships are and how supportive family members are of each other.",3,3,2,2
杜某言语支吾，含糊其辞，在杜女士的一再追问下，杜某称其已将母亲打死，并将尸体扔入黄河。,含糊其辞,to be evasive or ambiguous in speech,Translate this sentence to English: '杜某言语支吾，含糊其辞，在杜女士的一再追问下，杜某称其已将母亲打死，并将尸体扔入黄河。',"Du was evasive in his speech, ambiguous in his words. Under Ms. Du's repeated questioning, Du admitted to having killed his mother and thrown her body into the Yellow River.","""Du mumbled and spoke ambiguously. Under Du Ms.'s repeated questioning, Du claimed that he had beaten his mother to death and thrown the body into the Yellow River.""",3,3,3,2
要细心关注孩子的日常生活行为，防微杜渐，发现有不良的行为即以纠正，只有这样才能提高教学质量。,防微杜渐,Take precautions and prevent problems before they become serious,Translate this sentence to English: '要细心关注孩子的日常生活行为，防微杜渐，发现有不良的行为即以纠正，只有这样才能提高教学质量。',"To improve the quality of teaching, one must pay close attention to the child's daily behavior, nip problems in the bud, and correct any bad behavior when discovered.","Pay close attention to children's daily behavior, prevent problems before they arise, and correct any bad behavior as soon as it is noticed; only in this way can the quality of education be improved.",3,3,3,3
在当今主流被各种门事件牵着走的时候，俺，也不坐以待毙，咱也来个门，啥门？闭门！——闭门思过、闭关修炼！,坐以待毙,to wait for death without attempting to change or improve the situation,Translate this sentence to English: '在当今主流被各种门事件牵着走的时候，俺，也不坐以待毙，咱也来个门，啥门？闭门！——闭门思过、闭关修炼！',"In today's mainstream, where various scandals are leading the way, I won't just sit back and wait. Let's also have a scandal, what kind? A closed-door scandal! - Reflecting on one's mistakes and practicing in seclusion!","""In today's world, where mainstream media is driven by various scandals, I won't sit idly by either. I'll create my own 'gate'—what kind of gate? A closed gate!—A gate for self-reflection and self-improvement!""",2,3,1,3
这道士吹嘘他能呼风唤雨，化水成冰。,呼风唤雨,"to have great power and influence, able to command the wind and summon the rain",Translate this sentence to English: '这道士吹嘘他能呼风唤雨，化水成冰。',"The Taoist boasts that he can summon wind and rain, and turn water into ice.",The Taoist priest boasted that he could summon wind and rain and turn water into ice.,2,3,1,2
我爱老师，我更爱老师的那双明媚的眼睛。老师的眼睛明亮美丽，和蔼可亲；老师的眼睛炯炯有神，明察秋毫；老师的眼睛，充满智慧，热情，使人奋进。,明察秋毫,being extremely discerning and having keen eyesight,Translate this sentence to English: '我爱老师，我更爱老师的那双明媚的眼睛。老师的眼睛明亮美丽，和蔼可亲；老师的眼睛炯炯有神，明察秋毫；老师的眼睛，充满智慧，热情，使人奋进。',"I love my teacher, but I love my teacher's bright and beautiful eyes even more. Her eyes are bright and friendly, sharp and perceptive, full of wisdom and passion, motivating and inspiring.","I love my teacher, but I love my teacher's bright eyes even more. The teacher's eyes are bright and beautiful, kind and friendly; the teacher's eyes are piercing and can see the smallest detail; the teacher's eyes are full of wisdom and passion, inspiring others to strive forward.",3,3,1,2
他们常常愁眉不展，情绪低落，郁郁寡欢，不苟言笑，遇事退缩，给学习生活带来一种无形的压力。,愁眉不展,wearing a worried frown; having a furrowed brow due to worries or difficulties,Translate this sentence to English: '他们常常愁眉不展，情绪低落，郁郁寡欢，不苟言笑，遇事退缩，给学习生活带来一种无形的压力。',"They often furrow their brows, feel low in spirits, appear melancholic, rarely smile or laugh, shrink back when faced with difficulties, and bring about an invisible pressure to their study and life.","""They are often frowning and depressed, melancholy and silent, rarely speaking, retreating in the face of challenges, bringing an invisible pressure to their studies and life.""",3,2,2,3
请八皇子恕罪，紫旋她脑部受创至今未痊愈，说话更不知礼数，还望八皇子高抬贵手，饶过她这回，臣定严加管教。,高抬贵手,"show mercy, give someone a break",Translate this sentence to English: '请八皇子恕罪，紫旋她脑部受创至今未痊愈，说话更不知礼数，还望八皇子高抬贵手，饶过她这回，臣定严加管教。',"Please forgive the Eighth Prince, Zixuan has not fully recovered from her head injury until now, speaking without manners. I hope the Eighth Prince will be lenient this time and I will discipline her strictly.","""Please forgive her, Your Highness the Eighth Prince. Zixuan suffered a head injury and has not yet recovered, so she speaks without knowing proper manners. I humbly ask for your leniency this time, and I pledge to discipline her strictly.""",2,3,1,2
小明上课丝毫不听，时不时呆若木鸡，连老师也无可奈何。,呆若木鸡,to be stunned or dumbfounded,Translate this sentence to English: '小明上课丝毫不听，时不时呆若木鸡，连老师也无可奈何。',"Xiao Ming pays no attention in class, often sitting there like a wooden chicken, leaving the teacher helpless.","Xiao Ming doesn't listen in class at all, and is often as dumb as a wooden chicken, leaving even the teacher helpless.",3,3,3,1
诸葛亮舌战群儒，鲁子敬力排众议。,力排众议,to go against public opinion and stand firm with one's own beliefs or decisions,Translate this sentence to English: '诸葛亮舌战群儒，鲁子敬力排众议。',"Zhuge Liang engaged in a war of words with a group of scholars, while Lu Zijin stood firm against public opinion.","""Zhuge Liang debates a group of scholars, while Lu Zijing adamantly opposes the majority opinion.""",3,3,3,2
选举会上，他哗众取宠，自吹自擂，无非是为了捞取政治资本。,自吹自擂,boasting about one's own achievements; bragging about oneself,Translate this sentence to English: '选举会上，他哗众取宠，自吹自擂，无非是为了捞取政治资本。',"At the election meeting, he catered to the crowd, boasted about himself, all just to gain political capital.","At the election meeting, he resorted to grandstanding and boasting, merely to gain political capital.",3,3,2,3
