Idiomatic_Sent,Original_Idiom,en_meaning,ai_generated_idioms,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
你最好去调查一下，不要尽发些奇谈怪论。,奇谈怪论,bizarre and nonsensical ideas or theories,"```json
{
  ""Chinese idiom"": ""奇谈怪论"",
  ""English definition"": ""Bizarre and unfounded statements or theories, often regarded as nonsense or absurd."",
  ""English idiom 1"": ""Tall tales"",
  ""English idiom 2"": ""Cock and bull story"",
  ""English idiom 3"": ""Load of baloney""
}
```",Cock and bull story,'奇谈怪论' means 'Cock and bull story'. Given the above knowledge translate this sentence to English: '你最好去调查一下，不要尽发些奇谈怪论。',You'd better investigate it and not just come up with cock and bull stories.,You'd better investigate it rather than spouting cock and bull stories.,3,3,3,3
敢把皇上拉下马，谢天谢地谢大家，节节胜利奏凯旋，快快打开你手机，乐乐就在你心里。今天是感恩节，一定要快乐，一定要让你爱的人快乐！,谢天谢地,expressing extreme gratitude or relief; being thankful to heaven and earth,"```json
{
  ""Chinese idiom"": ""谢天谢地"",
  ""English definition"": ""Thank heaven and earth; an expression of gratitude and relief often used to convey a sense of thankfulness for a fortunate outcome."",
  ""English idiom 1"": ""Thank God"",
  ""English idiom 2"": ""Count your blessings"",
  ""English idiom 3"": ""Thank your lucky stars""
}
```",Thank God,'谢天谢地' means 'Thank God'. Given the above knowledge translate this sentence to English: '敢把皇上拉下马，谢天谢地谢大家，节节胜利奏凯旋，快快打开你手机，乐乐就在你心里。今天是感恩节，一定要快乐，一定要让你爱的人快乐！',"Dare to pull down the emperor, thank God thank everyone, victory after victory in triumph, quickly open your phone, joy is in your heart. Today is Thanksgiving, be happy, make sure to make your loved ones happy!","'Daring to pull the emperor off his horse, thanking the heavens, the earth, and everyone, achieving continuous victories in triumphant success, quickly open your phone, joy is in your heart. Today is Thanksgiving, be sure to be happy, and make sure the ones you love are happy too!'",2,3,1,1
这些人，绝大多数都是我们的阶级兄弟，是灾荒逼迫他们背井离乡的，这不怪他们，责任在我们身上，党把三十六万群众交给我们，我们没能领导他们战胜灾荒，过安居乐业的生活，应该感到羞耻和痛心。,背井离乡,to leave one's hometown and live in a foreign place,"```json
{
  ""Chinese idiom"": ""背井离乡"",
  ""English definition"": ""To leave one's hometown and move to another place, often due to necessity, and usually with a sense of sadness or longing for one's roots."",
  ""English idiom 1"": ""Leave no stone unturned"",
  ""English idiom 2"": ""Home away from home"",
  ""English idiom 3"": ""Fish out of water""
}
```",Fish out of water,'背井离乡' means 'Fish out of water'. Given the above knowledge translate this sentence to English: '这些人，绝大多数都是我们的阶级兄弟，是灾荒逼迫他们背井离乡的，这不怪他们，责任在我们身上，党把三十六万群众交给我们，我们没能领导他们战胜灾荒，过安居乐业的生活，应该感到羞耻和痛心。',"These people, the vast majority of whom are our class brothers, were forced to leave their home due to disasters. It's not their fault, the responsibility lies with us. The party entrusted us with 360,000 people, and we failed to lead them to overcome disasters and live a peaceful and prosperous life. We should feel ashamed and heartbroken.","Most of these people are our class brothers and sisters, forced by famine to leave their homes. We don't blame them; the responsibility lies with us. The Party entrusted 360,000 people to us, and we have failed to lead them in overcoming famine and living a peaceful and prosperous life. We should feel ashamed and distressed.",3,3,3,3
大卫简直目不转睛也看着她，詹尼见了心里乐滋滋的。,目不转睛,To focus one's attention intently and unwaveringly,"{
    ""Chinese idiom"": ""目不转睛"",
    ""English definition"": ""To stare fixedly; to gaze attentively without blinking"",
    ""English idiom 1"": ""To be glued to something"",
    ""English idiom 2"": ""To have one's eyes glued to"",
    ""English idiom 3"": ""To be riveted""
}",To be riveted,'目不转睛' means 'To be riveted'. Given the above knowledge translate this sentence to English: '大卫简直目不转睛也看着她，詹尼见了心里乐滋滋的。',"David was absolutely riveted as he gazed at her, while Jenny felt delighted when she saw it.","""David was simply riveted, watching her, and Jenny felt delighted seeing this.""",3,3,3,2
年轻父亲们的众生相：半夜三更换尿布，孩子饿了忙下厨，孩子哭闹不知所措满脸愁苦，给孩子当马爬满屋，孩子一笑再累再苦都幸福；父亲节到祝你们幸福！,不知所措,"to be at a loss, unsure of what to do or how to handle a situation","```json
{
    ""Chinese idiom"": ""不知所措"",
    ""English definition"": ""To be at a loss; to not know what to do"",
    ""English idiom 1"": ""At a loss for words"",
    ""English idiom 2"": ""Caught off guard"",
    ""English idiom 3"": ""Like a deer in headlights""
}
```",Like a deer in headlights,'不知所措' means 'Like a deer in headlights'. Given the above knowledge translate this sentence to English: '年轻父亲们的众生相：半夜三更换尿布，孩子饿了忙下厨，孩子哭闹不知所措满脸愁苦，给孩子当马爬满屋，孩子一笑再累再苦都幸福；父亲节到祝你们幸福！',"The young fathers' dilemma: changing diapers in the middle of the night, rushing to cook when the child is hungry, looking helpless and distressed when the child cries, crawling around the house like a horse for the child, but feeling happy despite all the exhaustion and difficulties; Happy Father's Day to you all!","""The diverse experiences of young fathers: changing diapers in the middle of the night, rushing to cook when the child is hungry, feeling like a deer in headlights when the child cries, full of worry, crawling around the house like a horse for the child; when the child smiles, no matter how tired or hard, it's all worth it. Happy Father's Day to you all!""",3,3,2,1
秋天的天气是凉爽的，它不再像夏天一样闷热，闷热的天气使人透不过气来，人们不开空调好像受不了似的。现在碧空如洗的蓝天上，云彩做着各种各样的造型，真有一种秋高气爽、心胸开阔的感觉。,秋高气爽,refreshing autumn weather,"```json
{
  ""Chinese idiom"": ""秋高气爽"",
  ""English definition"": ""The weather in autumn is clear and crisp, with high skies and refreshing air."",
  ""English idiom 1"": ""Clear as a bell"",
  ""English idiom 2"": ""Crisp as autumn air"",
  ""English idiom 3"": ""Perfect autumn day""
}
```",Clear as a bell,'秋高气爽' means 'Clear as a bell'. Given the above knowledge translate this sentence to English: '秋天的天气是凉爽的，它不再像夏天一样闷热，闷热的天气使人透不过气来，人们不开空调好像受不了似的。现在碧空如洗的蓝天上，云彩做着各种各样的造型，真有一种秋高气爽、心胸开阔的感觉。',"The weather in autumn is cool and refreshing, no longer stifling like in summer. The muggy weather made it hard to breathe, and people seemed unable to bear not having the air conditioning on. Now, against the backdrop of a clear blue sky, clouds form various shapes, giving a truly invigorating and refreshing feeling of autumn.","The weather in autumn is cool and refreshing; it's no longer as stuffy and suffocating as summer, where the oppressive heat makes it hard to breathe and people can't seem to live without air conditioning. Now, with the clear blue sky washed clean and various shapes of clouds drifting by, there's truly a feeling of crisp, refreshing air and an expansive sense of openness.",3,3,1,3
他善于辞令，口若悬河，真是当外交官的好人才。,口若悬河,to speak fluently and eloquently,"```json
{
  ""Chinese idiom"": ""口若悬河"",
  ""English definition"": ""To speak eloquently and fluently, with words flowing like a torrent."",
  ""English idiom 1"": ""Gift of the gab"",
  ""English idiom 2"": ""Silver-tongued"",
  ""English idiom 3"": ""Smooth talker""
}
```",Gift of the gab,'口若悬河' means 'Gift of the gab'. Given the above knowledge translate this sentence to English: '他善于辞令，口若悬河，真是当外交官的好人才。',"""He is good at rhetoric, with the gift of the gab; he is truly a talented diplomat.""","""He is eloquent and has the gift of the gab, truly a great talent for being a diplomat.""",3,3,2,3
这对银发夫妻数十年相处之道就在举案齐眉，相敬如宾。,举案齐眉,having a harmonious and equal relationship between husband and wife,"```json
{
  ""Chinese idiom"": ""举案齐眉"",
  ""English definition"": ""This idiom means to hold a tray at eyebrow level, symbolizing deep respect and harmony between husband and wife."",
  ""English idiom 1"": ""To treat with kid gloves"",
  ""English idiom 2"": ""N/A"",
  ""English idiom 3"": ""N/A""
}
```",To treat with kid gloves,'举案齐眉' means 'To treat with kid gloves'. Given the above knowledge translate this sentence to English: '这对银发夫妻数十年相处之道就在举案齐眉，相敬如宾。',The way this elderly couple has been getting along for decades is to treat each other with kid gloves and mutual respect.,"""The way this elderly couple has gotten along for decades is by treating each other with kid gloves and mutual respect, as if they were honored guests.""",2,2,1,2
望着万仞崖顶上那笔直的松树，大家不由得赞叹大自然的神工鬼斧。也作“鬼斧神工”。,鬼斧神工,"masterful craftsmanship, referring to something created with exceptional skill and expertise","{
  ""Chinese idiom"": ""鬼斧神工"",
  ""English definition"": ""An extraordinary work of art or craftsmanship, as if carved by supernatural powers."",
  ""English idiom 1"": ""A work of art"",
  ""English idiom 2"": ""Masterpiece"",
  ""English idiom 3"": ""A stroke of genius""
}",Masterpiece,'鬼斧神工' means 'Masterpiece'. Given the above knowledge translate this sentence to English: '望着万仞崖顶上那笔直的松树，大家不由得赞叹大自然的神工鬼斧。也作“鬼斧神工”。',"Looking at the towering cliff top with the straight pine tree, everyone couldn't help but admire the masterpiece of nature. Also known as ""鬼斧神工"".","'Looking at the straight pine tree at the top of the towering cliff, everyone couldn't help but marvel at the masterpiece of nature's craftsmanship, also known as ""gods' craftsmanship and ghosts' axes.""'",3,3,2,1
这并不是危言耸听，要是我们不珍惜水资源，总有一天会无水可用。,危言耸听,sensationalized or exaggerated words of warning,"```json
{
  ""Chinese idiom"": ""危言耸听"",
  ""English definition"": ""To make alarming statements to create fear or shock."",
  ""English idiom 1"": ""Cry wolf"",
  ""English idiom 2"": ""Make a mountain out of a molehill"",
  ""English idiom 3"": ""Scare tactics""
}
```",Cry wolf,'危言耸听' means 'Cry wolf'. Given the above knowledge translate this sentence to English: '这并不是危言耸听，要是我们不珍惜水资源，总有一天会无水可用。',"This is not a false alarm, if we do not cherish water resources, one day there will be no water available.","This is not crying wolf; if we don't cherish our water resources, one day there will be none left to use.",3,3,2,3
人，一简单就快乐，但快乐的人寥寥无几；一复杂就痛苦，可痛苦的人却熙熙攘攘。,寥寥无几,very few; scarce; rare,"```json
{
  ""Chinese idiom"": ""寥寥无几"",
  ""English definition"": ""Very few; scarcely any"",
  ""English idiom 1"": ""Few and far between"",
  ""English idiom 2"": ""A drop in the bucket"",
  ""English idiom 3"": null
}
```",Few and far between,'寥寥无几' means 'Few and far between'. Given the above knowledge translate this sentence to English: '人，一简单就快乐，但快乐的人寥寥无几；一复杂就痛苦，可痛苦的人却熙熙攘攘。',"People who are simple are happy, but happy people are few and far between; people who are complex are in pain, yet those in pain are plentiful.","""People, when simple, are happy, but happy people are few and far between; when complicated, they suffer, but those who suffer are legion.""",3,3,2,3
尽管设计得金碧辉煌，建造罗马竞技场的主要目的是，在愤世嫉俗的时代中，供人们忘情娱乐，演出戏剧张力十足、不时令人毛骨悚然的娱乐节目。,毛骨悚然,to feel a chilling sensation down one's spine,"```json
{
  ""Chinese idiom"": ""毛骨悚然"",
  ""English definition"": ""To be so frightened that one's hair stands on end and the bones feel chilled."",
  ""English idiom 1"": ""Scared stiff"",
  ""English idiom 2"": ""Scared out of one's wits"",
  ""English idiom 3"": ""Hair-raising""
}
```",Scared stiff,'毛骨悚然' means 'Scared stiff'. Given the above knowledge translate this sentence to English: '尽管设计得金碧辉煌，建造罗马竞技场的主要目的是，在愤世嫉俗的时代中，供人们忘情娱乐，演出戏剧张力十足、不时令人毛骨悚然的娱乐节目。',"Although designed in splendid fashion, the main purpose of constructing the Roman Colosseum was to provide people with extravagant entertainment in a cynical era, featuring performances with intense drama that often left audiences scared stiff.","""Despite being designed with magnificent splendor, the main purpose of constructing the Roman Colosseum was to provide people with engrossing entertainment in a cynical era, showcasing performances filled with dramatic tension and occasionally making one's hair stand on end.""",3,3,3,3
夏天的雨是狂风暴雨，他处处充满了严厉；秋天的雨是楚楚动人的雨，她饱含着深情；而冬天的雨是冷酷无情的雨，他蕴藏着冰冷的气息。然而，我最喜欢的是寒冷的冬日过后，那千姿百态，五彩缤纷的春雨。,千姿百态,"various postures and states, diverse and colorful","{
  ""Chinese idiom"": ""千姿百态"",
  ""English definition"": ""An expression used to describe a variety of different postures, expressions, or appearances; myriad forms and styles."",
  ""English idiom 1"": ""A myriad of forms"",
  ""English idiom 2"": ""A kaleidoscope of expressions"",
  ""English idiom 3"": ""Variety is the spice of life""
}",A kaleidoscope of expressions,'千姿百态' means 'A kaleidoscope of expressions'. Given the above knowledge translate this sentence to English: '夏天的雨是狂风暴雨，他处处充满了严厉；秋天的雨是楚楚动人的雨，她饱含着深情；而冬天的雨是冷酷无情的雨，他蕴藏着冰冷的气息。然而，我最喜欢的是寒冷的冬日过后，那千姿百态，五彩缤纷的春雨。',"Summer rain is a storm of fierce winds, everywhere filled with severity; autumn rain is a charming and moving rain, full of deep affection; while winter rain is a cold and heartless rain, harboring a chilling breath. However, my favorite is the varied and colorful spring rain that comes after the cold winter days.","The summer rain is a raging storm, filled with severity; the autumn rain is a charming drizzle, brimming with deep affection; the winter rain is a merciless deluge, imbued with a chilling breath. However, what I love most is the kaleidoscopic and colorful spring rain that follows the cold winter days.",3,3,3,3
清晨早起，按图索骥去往当地知名的鱼市场，所闻所见均让人大呼过瘾。,按图索骥,following a map and seeking a fine horse,"{
  ""Chinese idiom"": ""按图索骥"",
  ""English definition"": ""To search for something based on a map or guide; to follow a set pattern or instructions rigidly without considering changes in circumstances."",
  ""English idiom 1"": ""By the book"",
  ""English idiom 2"": ""Follow the letter of the law"",
  ""English idiom 3"": ""Paint by numbers""
}",By the book,'按图索骥' means 'By the book'. Given the above knowledge translate this sentence to English: '清晨早起，按图索骥去往当地知名的鱼市场，所闻所见均让人大呼过瘾。',"Getting up early in the morning, I headed to the local famous fish market 'by the book', and everything I saw and heard was truly exhilarating.","""Rising early in the morning and going to the famous local fish market by the book, everything seen and heard was incredibly thrilling.""",2,2,1,1
罂粟花开真美丽，香飘万里垂涎滴。制成毒品害人深，妻离子散钱财尽。为了毒品天良丧，杀人越货不惜命。犯罪只为吸毒品，社会败类人唾弃。国际禁毒日，愿你远离毒品，家庭幸福社会安。,妻离子散,"the family falls apart, with the husband and children scattered","```json
{
  ""Chinese idiom"": ""妻离子散"",
  ""English definition"": ""A situation where a family is broken apart, with the wife leaving and the children scattered."",
  ""English idiom 1"": ""Broken home"",
  ""English idiom 2"": ""Family in tatters"",
  ""English idiom 3"": ""Shattered family""
}
```",Shattered family,'妻离子散' means 'Shattered family'. Given the above knowledge translate this sentence to English: '罂粟花开真美丽，香飘万里垂涎滴。制成毒品害人深，妻离子散钱财尽。为了毒品天良丧，杀人越货不惜命。犯罪只为吸毒品，社会败类人唾弃。国际禁毒日，愿你远离毒品，家庭幸福社会安。',"The blooming poppy flowers are truly beautiful, their fragrance drifting far and making mouths water. But once turned into drugs, they harm others deeply, leading to shattered families and depleted finances. For the sake of drugs, one's conscience is lost, with people resorting to violence and inhumanity. Criminal acts are committed only for drugs, leading society to scorn those who fall into this vice. On International Day Against Drug Abuse, may you stay away from drugs, and may your family be happy and society safe.","""Poppies bloom beautifully, their fragrance wafts far and wide, enticing. Made into drugs, they harm deeply, shattering families and draining wealth. For drugs, people lose their conscience, willing to kill and rob without regard for life. Committing crimes just for drugs, they become the dregs of society, despised by all. On International Anti-Drug Day, may you stay away from drugs, ensuring family happiness and social peace.""",3,3,2,2
他以为他可以将计就计靠近敌方，然后出其不意地攻下阵地，可事实证明他设想的一切都只是纸上谈兵。,将计就计,to use the opponent's strategy against them,"{
    ""Chinese idiom"": ""将计就计"",
    ""English definition"": ""To use one's opponent's strategy against them; to turn the tables by adopting the opponent's plan."",
    ""English idiom 1"": ""Fight fire with fire"",
    ""English idiom 2"": ""Turn the tables"",
    ""English idiom 3"": ""Hoist with one's own petard""
}",Fight fire with fire,'将计就计' means 'Fight fire with fire'. Given the above knowledge translate this sentence to English: '他以为他可以将计就计靠近敌方，然后出其不意地攻下阵地，可事实证明他设想的一切都只是纸上谈兵。',"He thought he could outsmart the enemy and take their position by using their own tactics, but in reality, everything he envisioned was just a pipe dream.","He thought he could fight fire with fire by approaching the enemy and then unexpectedly seizing their position, but it turned out that everything he had planned was just empty talk.",3,3,1,1
奶奶为了让上班的妈妈有更多的时间照顾我的学习和生活，她任劳任怨的把家里的家务活全包了。每天放学回家，我都可以吃到热腾腾、香喷喷的饭菜，奶奶看到我狼吞虎咽的馋样，总是笑得特别开心。我之所以长的这么高、健康，奶奶可是功劳大大的！,任劳任怨,willing to do any labor and bear any hardship,"{
    ""Chinese idiom"": ""任劳任怨"",
    ""English definition"": ""To undertake a task despite difficulties and complaints, showing willingness to work hard and endure criticism."",
    ""English idiom 1"": ""Take it on the chin"",
    ""English idiom 2"": ""Grin and bear it"",
    ""English idiom 3"": ""Shoulder the burden""
}",Take it on the chin,'任劳任怨' means 'Take it on the chin'. Given the above knowledge translate this sentence to English: '奶奶为了让上班的妈妈有更多的时间照顾我的学习和生活，她任劳任怨的把家里的家务活全包了。每天放学回家，我都可以吃到热腾腾、香喷喷的饭菜，奶奶看到我狼吞虎咽的馋样，总是笑得特别开心。我之所以长的这么高、健康，奶奶可是功劳大大的！',"Grandma takes on all the household chores without complaint in order to give my mom, who works, more time to take care of my studies and daily life. Every day after school, I can enjoy delicious meals cooked by Grandma. Seeing me eagerly devouring the food, Grandma always smiles happily. Grandma deserves a lot of credit for my tall and healthy growth!","In order to give my working mom more time to take care of my studies and life, my grandmother took on all the household chores without complaint. Every day after school, I could enjoy hot and delicious meals. Seeing me devour the food eagerly, my grandmother would always smile with great joy. The reason I have grown so tall and healthy is largely due to her.",3,3,2,2
吴程觉得，不结识他们就难以理解什么是商品经济的社会形态特征，不跟他们称兄道弟而开诚相见就难以领取进入他们那个世界的通行证。,称兄道弟,"use the form of address 'brother' to someone who is not a real brother, indicating a friendly and close relationship","```json
{
  ""Chinese idiom"": ""称兄道弟"",
  ""English definition"": ""To address each other as brothers, indicating a close and friendly relationship."",
  ""English idiom 1"": ""Thick as thieves"",
  ""English idiom 2"": ""Buds of a feather"",
  ""English idiom 3"": ""Bosom buddies""
}
```",Thick as thieves,'称兄道弟' means 'Thick as thieves'. Given the above knowledge translate this sentence to English: '吴程觉得，不结识他们就难以理解什么是商品经济的社会形态特征，不跟他们称兄道弟而开诚相见就难以领取进入他们那个世界的通行证。',"Wu Cheng feels that it is difficult to understand the social characteristics of commodity economy without getting to know them, and it is difficult to obtain the pass to enter their world without becoming as close as brothers.","Wu Cheng felt that without getting to know them, it would be difficult to understand the characteristics of a commodity-based economy; without being as thick as thieves and meeting them with an open heart, it would be hard to gain entry into their world.",2,3,2,2
没钱的时候，他信誓旦旦地说要如何节俭，一旦有了钱，却又故态复萌，极尽奢华。,故态复萌,"old problems or bad habits resurging, repeating the same mistakes","```json
{
  ""Chinese idiom"": ""故态复萌"",
  ""English definition"": ""To revert to old habits; to relapse into an old bad habit."",
  ""English idiom 1"": ""Old habits die hard"",
  ""English idiom 2"": ""Back to square one"",
  ""English idiom 3"": ""Falling back into old ways""
}
```",Old habits die hard,'故态复萌' means 'Old habits die hard'. Given the above knowledge translate this sentence to English: '没钱的时候，他信誓旦旦地说要如何节俭，一旦有了钱，却又故态复萌，极尽奢华。',"When he had no money, he swore to be frugal, but once he had money, old habits die hard, and he went all out on luxury.","""When he was short on money, he solemnly vowed to be frugal, but once he had money, old habits died hard, and he indulged in extravagance.""",3,3,3,3
龙阳来了之后，所有人都是一哄而散了!“龙宇，若是他们在欺负你，就和我说!”。,一哄而散,disperse or scatter in a sudden and disorderly manner,"{
  ""Chinese idiom"": ""一哄而散"",
  ""English definition"": ""To disperse in a hubbub; to break up in an uproar"",
  ""English idiom 1"": ""Scatter like a flock of birds"",
  ""English idiom 2"": ""Scatter to the four winds"",
  ""English idiom 3"": ""Break up like a herd of cattle""
}",Scatter like a flock of birds,'一哄而散' means 'Scatter like a flock of birds'. Given the above knowledge translate this sentence to English: '龙阳来了之后，所有人都是一哄而散了!“龙宇，若是他们在欺负你，就和我说!”。',"After Longyang arrived, everyone scattered like a flock of birds! ""Longyu, if they are bullying you, just tell me!""","""After Long Yang arrived, everyone scattered like a flock of birds! 'Long Yu, if they bully you, just tell me!'""",2,2,2,2
但是当我们开始约会，并旁敲侧击谈论婚姻前景时，我才突然意识到中国人的家庭关系有多么的紧密，家庭成员之间是多么的相互扶持。,旁敲侧击,"approaching a subject indirectly or subtly, usually in order to avoid confrontation or to achieve a desired outcome","```json
{
    ""Chinese idiom"": ""旁敲侧击"",
    ""English definition"": ""To make indirect comments or criticisms; to hint or suggest something without stating it directly."",
    ""English idiom 1"": ""Beat around the bush"",
    ""English idiom 2"": ""Drop a hint"",
    ""English idiom 3"": ""Talk in circles""
}
```",Beat around the bush,'旁敲侧击' means 'Beat around the bush'. Given the above knowledge translate this sentence to English: '但是当我们开始约会，并旁敲侧击谈论婚姻前景时，我才突然意识到中国人的家庭关系有多么的紧密，家庭成员之间是多么的相互扶持。',"But when we started dating and beat around the bush about the prospect of marriage, I suddenly realized how close Chinese family relationships are, and how supportive family members are of each other.","But when we started dating and beat around the bush about the prospects of marriage, I suddenly realized how close-knit Chinese family relationships are and how supportive family members are of each other.",3,3,3,3
杜某言语支吾，含糊其辞，在杜女士的一再追问下，杜某称其已将母亲打死，并将尸体扔入黄河。,含糊其辞,to be evasive or ambiguous in speech,"```json
{
    ""Chinese idiom"": ""含糊其辞"",
    ""English definition"": ""To speak vaguely or ambiguously, often to avoid giving a clear or direct answer."",
    ""English idiom 1"": ""Beat around the bush"",
    ""English idiom 2"": ""Hem and haw"",
    ""English idiom 3"": ""Talk in circles""
}
```",Hem and haw,'含糊其辞' means 'Hem and haw'. Given the above knowledge translate this sentence to English: '杜某言语支吾，含糊其辞，在杜女士的一再追问下，杜某称其已将母亲打死，并将尸体扔入黄河。',"Du gave evasive answers and hemmed and hawed. After repeated questioning by Mrs. Du, Du finally admitted to killing his mother and dumping her body in the Yellow River.","""Du hemmed and hawed; under Du's persistent questioning, Du claimed to have beaten his mother to death and thrown her body into the Yellow River.""",3,3,3,3
要细心关注孩子的日常生活行为，防微杜渐，发现有不良的行为即以纠正，只有这样才能提高教学质量。,防微杜渐,Take precautions and prevent problems before they become serious,"```json
{
  ""Chinese idiom"": ""防微杜渐"",
  ""English definition"": ""To nip in the bud; to take preventive measures early to stop something from becoming a bigger problem."",
  ""English idiom 1"": ""Nip it in the bud"",
  ""English idiom 2"": ""An ounce of prevention is worth a pound of cure"",
  ""English idiom 3"": ""A stitch in time saves nine""
}
```",Nip it in the bud,'防微杜渐' means 'Nip it in the bud'. Given the above knowledge translate this sentence to English: '要细心关注孩子的日常生活行为，防微杜渐，发现有不良的行为即以纠正，只有这样才能提高教学质量。',"Pay close attention to the daily behaviors of children, nip it in the bud, correct any negative behaviors as soon as they are noticed, only in this way can teaching quality be improved.","Pay close attention to the daily behavior of children, nip it in the bud, and correct any bad behavior as soon as it is discovered; only in this way can the quality of teaching be improved.",3,3,3,3
在当今主流被各种门事件牵着走的时候，俺，也不坐以待毙，咱也来个门，啥门？闭门！——闭门思过、闭关修炼！,坐以待毙,to wait for death without attempting to change or improve the situation,"```json
{
  ""Chinese idiom"": ""坐以待毙"",
  ""English definition"": ""To sit and wait for death; to resign oneself to destruction or failure without taking any action."",
  ""English idiom 1"": ""Sit on one's hands"",
  ""English idiom 2"": ""Wait for the other shoe to drop"",
  ""English idiom 3"": ""Like a sitting duck""
}
```",Like a sitting duck,'坐以待毙' means 'Like a sitting duck'. Given the above knowledge translate this sentence to English: '在当今主流被各种门事件牵着走的时候，俺，也不坐以待毙，咱也来个门，啥门？闭门！——闭门思过、闭关修炼！',"In today's mainstream where various scandals lead the way, I, too, won't be a sitting duck, let's also have a scandal, what kind? A door! Close the door! —— Reflect in seclusion, practice in seclusion!","""In a time when the mainstream is led around by various scandals, I won't just sit around and wait to die either; I'll start my own 'gate'—the 'Closed Gate'!—reflect behind closed doors and cultivate myself!""",2,3,1,3
这道士吹嘘他能呼风唤雨，化水成冰。,呼风唤雨,"to have great power and influence, able to command the wind and summon the rain","```json
{
  ""Chinese idiom"": ""呼风唤雨"",
  ""English definition"": ""To have great influence and control over events; to be able to manipulate situations to one's advantage."",
  ""English idiom 1"": ""Pull the strings"",
  ""English idiom 2"": ""Call the shots"",
  ""English idiom 3"": ""Hold all the cards""
}
```",Pull the strings,'呼风唤雨' means 'Pull the strings'. Given the above knowledge translate this sentence to English: '这道士吹嘘他能呼风唤雨，化水成冰。',"This Taoist boasts that he can pull the strings, turn water into ice.","""The Taoist priest bragged that he could pull the strings and turn water into ice.""",2,2,1,1
我爱老师，我更爱老师的那双明媚的眼睛。老师的眼睛明亮美丽，和蔼可亲；老师的眼睛炯炯有神，明察秋毫；老师的眼睛，充满智慧，热情，使人奋进。,明察秋毫,being extremely discerning and having keen eyesight,"```json
{
  ""Chinese idiom"": ""明察秋毫"",
  ""English definition"": ""To be able to see the smallest details; to have sharp insight"",
  ""English idiom 1"": ""Needle in a haystack"",
  ""English idiom 2"": ""Eagle eye"",
  ""English idiom 3"": ""See a fly on the wall""
}
```",Eagle eye,'明察秋毫' means 'Eagle eye'. Given the above knowledge translate this sentence to English: '我爱老师，我更爱老师的那双明媚的眼睛。老师的眼睛明亮美丽，和蔼可亲；老师的眼睛炯炯有神，明察秋毫；老师的眼睛，充满智慧，热情，使人奋进。',"I love my teacher, but I love my teacher's bright and beautiful eyes even more. My teacher's eyes are bright and friendly; they are sharp and insightful; they are full of wisdom and enthusiasm, motivating people to strive forward.","I love my teacher, but I love my teacher’s bright eyes even more. My teacher's eyes are bright and beautiful, kind and amiable; they are piercing and eagle-eyed; they are filled with wisdom and enthusiasm, inspiring others to strive forward.",3,3,2,3
他们常常愁眉不展，情绪低落，郁郁寡欢，不苟言笑，遇事退缩，给学习生活带来一种无形的压力。,愁眉不展,wearing a worried frown; having a furrowed brow due to worries or difficulties,"```json
{
  ""Chinese idiom"": ""愁眉不展"",
  ""English definition"": ""To have a worried or distressed expression; to be unable to hide one's sorrow or anxiety."",
  ""English idiom 1"": ""Down in the dumps"",
  ""English idiom 2"": ""Wearing a long face"",
  ""English idiom 3"": ""In the doldrums""
}
```",Down in the dumps,'愁眉不展' means 'Down in the dumps'. Given the above knowledge translate this sentence to English: '他们常常愁眉不展，情绪低落，郁郁寡欢，不苟言笑，遇事退缩，给学习生活带来一种无形的压力。',"They are often down in the dumps, feeling low, melancholic, not inclined to talk or smile, withdrawing in the face of difficulties, bringing an invisible pressure to their study and life.","""They are often down in the dumps, depressed, melancholic, unsmiling, and hesitant when faced with challenges, creating an invisible pressure in their academic and personal lives.""",3,3,3,3
请八皇子恕罪，紫旋她脑部受创至今未痊愈，说话更不知礼数，还望八皇子高抬贵手，饶过她这回，臣定严加管教。,高抬贵手,"show mercy, give someone a break","{
  ""Chinese idiom"": ""高抬贵手"",
  ""English definition"": ""To spare someone from punishment or to be lenient; often used in a humble plea for mercy."",
  ""English idiom 1"": ""Cut someone some slack"",
  ""English idiom 2"": ""Give someone a break"",
  ""English idiom 3"": ""Let someone off the hook""
}",Let someone off the hook,'高抬贵手' means 'Let someone off the hook'. Given the above knowledge translate this sentence to English: '请八皇子恕罪，紫旋她脑部受创至今未痊愈，说话更不知礼数，还望八皇子高抬贵手，饶过她这回，臣定严加管教。',"Please forgive the Eighth Prince, Zixuan's head injury has not healed, her manners are also lacking, I hope the Eighth Prince will let her off the hook this time, and I will discipline her strictly.","""Please forgive her, Your Highness. Zi Xuan's head injury has yet to heal, and she still speaks without propriety. I hope you can let her off the hook this time. I will definitely discipline her strictly.""",2,3,1,2
