Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह में मिट्टी डालना,मर जाना,To die.,उसके चले जाने के बाद जैसे मेरे मुँह में मिट्टी डाल दी।,"bought the farm (0.82), breathe one's last (0.97), buy the farm (0.97), go home in a box (0.97), go west (0.97), kick _ bucket (0.80), kick the bucket (0.97), meet one's death (0.97), meet your maker (0.78), pass away (0.97), peg out (0.80), pushing up the daisies (0.83), shuffle off this mortal coil (0.97)",bought the farm,"'मुँह में मिट्टी डालना' means 'bought the farm'. Given the above knowledge, translate this sentence to English: 'उसके चले जाने के बाद जैसे मेरे मुँह में मिट्टी डाल दी।'","After he left, it felt like I had bought the farm.","""After he left, it felt like I had bought the farm.""",1,1,1,1
मुँह पर थप्पड़ मारना,अपमानित करना,To slap someone in the face,उसके अपमानजनक शब्दों ने मुँह पर थप्पड़ मारने जैसा प्रभाव डाला।,,,"'मुँह पर थप्पड़ मारना' means 'To slap someone in the face'. Given the above knowledge, translate this sentence to English: 'उसके अपमानजनक शब्दों ने मुँह पर थप्पड़ मारने जैसा प्रभाव डाला।'","""His insulting words had the impact of slapping me in the face.""","""His insulting words had the effect of a slap in the face.""",3,3,3,3
मोह में पड़ना,किसी चीज़ के प्रति आकर्षित होना,To become infatuated,वह उसकी सुंदरता के मोह में पड़ गया।,,,"'मोह में पड़ना' means 'To become infatuated'. Given the above knowledge, translate this sentence to English: 'वह उसकी सुंदरता के मोह में पड़ गया।'",He became infatuated with her beauty.,He became infatuated with her beauty.,3,3,3,3
मुँह की कहना,अपने मन की बात कहना,To speak one's mind,उसने मुँह की कह दी और सब मान गए।,,,"'मुँह की कहना' means 'To speak one's mind'. Given the above knowledge, translate this sentence to English: 'उसने मुँह की कह दी और सब मान गए।'",He spoke his mind and everyone agreed.,"He spoke his mind, and everyone agreed.",3,2,3,2
मुस्कराहट,हल्की हंसी,Smile,उसकी मुस्कराहट बहुत प्यारी है।,say cheese (0.82),say cheese,"'मुस्कराहट' means 'say cheese'. Given the above knowledge, translate this sentence to English: 'उसकी मुस्कराहट बहुत प्यारी है।'",Her smile is very sweet.,His smile is very sweet.,3,1,3,1
मुँह में घी-शक्कर देना,किसी की खुशियों के लिए शुभकामना देना,To wish someone well.,तुम्हारी सफलता के लिए मुँह में घी-शक्कर!,,,"'मुँह में घी-शक्कर देना' means 'To wish someone well.'. Given the above knowledge, translate this sentence to English: 'तुम्हारी सफलता के लिए मुँह में घी-शक्कर!'",Wishing you all the best for your success!,"""Wishing you well for your success!""",2,1,2,1
मुँह का कौर छीनना,किसी का अधिकार छीन लेना,To snatch away someone's morsel.,उसने मेरे मुँह का कौर छीन लिया।,,,"'मुँह का कौर छीनना' means 'To snatch away someone's morsel.'. Given the above knowledge, translate this sentence to English: 'उसने मेरे मुँह का कौर छीन लिया।'",He snatched away my morsel.,'He snatched away my morsel.',3,1,3,1
मुँह में जुबान नहीं है,बोलने का साहस नहीं होना,Cat got your tongue?,उसकी मुँह में जुबान नहीं थी जब उसे सच बताना था।,,,"'मुँह में जुबान नहीं है' means 'Cat got your tongue?'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह में जुबान नहीं थी जब उसे सच बताना था।'",He couldn't speak the truth when he needed to.,"""He was at a loss for words when he had to tell the truth.""",3,1,3,3
मौसम बनाना,अनुकूल स्थिति बनाना,Create a favorable atmosphere,उसने अपने अच्छे व्यवहार से सबके लिए अच्छा मौसम बना दिया।,,,"'मौसम बनाना' means 'Create a favorable atmosphere'. Given the above knowledge, translate this sentence to English: 'उसने अपने अच्छे व्यवहार से सबके लिए अच्छा मौसम बना दिया।'",He created a favorable atmosphere for everyone with his good behavior.,"'With his good behavior, he created a favorable atmosphere for everyone.'",3,2,3,2
मुँह का जादू चलना,बातें मनवाना,The magic of words working,उसकी मीठी बातों ने मेरे मुँह का जादू चला दिया।,,,"'मुँह का जादू चलना' means 'The magic of words working'. Given the above knowledge, translate this sentence to English: 'उसकी मीठी बातों ने मेरे मुँह का जादू चला दिया।'",His sweet words worked their magic on me.,"""His sweet words made the magic of my words work.""",3,3,2,1
मुँह में राम बगल में छुरी,सामने से अच्छा पर पीठ पीछे बुरा,A sweet tongue but a sharp dagger.,वह मुँह में राम बगल में छुरी वाला व्यक्ति है।,,,"'मुँह में राम बगल में छुरी' means 'A sweet tongue but a sharp dagger.'. Given the above knowledge, translate this sentence to English: 'वह मुँह में राम बगल में छुरी वाला व्यक्ति है।'",He is a person with a sweet tongue but a sharp dagger.,'He is a person with a sweet tongue but a sharp dagger.',3,2,3,2
मुँह से बदबू आना,अपमानित होना,Bad breath,उसकी झूठी बातों ने सबके सामने मेरे मुँह से बदबू आ दी।,,,"'मुँह से बदबू आना' means 'Bad breath'. Given the above knowledge, translate this sentence to English: 'उसकी झूठी बातों ने सबके सामने मेरे मुँह से बदबू आ दी।'",His lies made me feel ashamed in front of everyone.,"""His false words made me look bad in front of everyone.""",2,2,3,2
मुँह चुराना,सामना करने से बचना,Avoiding someone,अपने अपराध के बाद वह सबसे मुँह चुराने लगा।,steer clear of (0.78),steer clear of,"'मुँह चुराना' means 'steer clear of'. Given the above knowledge, translate this sentence to English: 'अपने अपराध के बाद वह सबसे मुँह चुराने लगा।'","After committing the crime, he started steering clear of everyone.","'After his crime, he began to steer clear of everyone.'",3,2,2,2
मुँह का शीरा निकालना,किसी को जबरदस्ती सच उगलवाना,To speak bluntly,पुलिस ने आरोपी का मुँह का शीरा निकाल दिया।,call a spade a spade (0.79),call a spade a spade,"'मुँह का शीरा निकालना' means 'call a spade a spade'. Given the above knowledge, translate this sentence to English: 'पुलिस ने आरोपी का मुँह का शीरा निकाल दिया।'",The police exposed the criminal's true colors.,"""The police called a spade a spade to the accused.""",3,3,1,1
मुँह का चस्का,किसी चीज की आदत पड़ जाना,Taste for something,उसे मिठाई खाने का मुँह का चस्का लग गया है।,,,"'मुँह का चस्का' means 'Taste for something'. Given the above knowledge, translate this sentence to English: 'उसे मिठाई खाने का मुँह का चस्का लग गया है।'",He has developed a taste for eating sweets.,"""He has developed a taste for eating sweets.""",3,2,3,2
मुँह बंद करना,किसी को चुप कराना,Shut up,उसकी सच्चाई जानकर सभी ने मुँह बंद कर लिया।,,,"'मुँह बंद करना' means 'Shut up'. Given the above knowledge, translate this sentence to English: 'उसकी सच्चाई जानकर सभी ने मुँह बंद कर लिया।'","After learning the truth about him, everyone shut up.","Knowing his truth, everyone shut up.",3,3,3,2
मुँह पर उँगली रखना,चुप रहना,Keep a finger on the lips.,उसकी बातें सुनकर मैंने मुँह पर उँगली रख ली।,,,"'मुँह पर उँगली रखना' means 'Keep a finger on the lips.'. Given the above knowledge, translate this sentence to English: 'उसकी बातें सुनकर मैंने मुँह पर उँगली रख ली।'","After listening to him, I kept a finger on my lips.","Hearing his words, I kept a finger on my lips.",2,1,2,2
मुँह का मज़ा किरकिरा करना,किसी की खुशी को बिगाड़ना,To spoil the fun.,मिठाई खाते-खाते उसने खट्टी चीज खा ली और मुँह का मज़ा किरकिरा हो गया।,,,"'मुँह का मज़ा किरकिरा करना' means 'To spoil the fun.'. Given the above knowledge, translate this sentence to English: 'मिठाई खाते-खाते उसने खट्टी चीज खा ली और मुँह का मज़ा किरकिरा हो गया।'","While eating sweets, he accidentally ate something sour and spoiled the fun.","""While eating sweets, he ate something sour and it spoiled the fun.""",2,1,2,2
आँखों पर परदा पड़ना।,विपत्ति की ओर ध्यान न जाना।,To be blinded to the truth.,"कमला की आँखों पर तो परदा पड़ गया, जो उसने गुस्साई बहू को दुकान से मिट्टी का तेल लेने भेज दिया।",,,"'आँखों पर परदा पड़ना।' means 'To be blinded to the truth.'. Given the above knowledge, translate this sentence to English: 'कमला की आँखों पर तो परदा पड़ गया, जो उसने गुस्साई बहू को दुकान से मिट्टी का तेल लेने भेज दिया।'","Kamla is blinded to the truth, as she sent her angry daughter-in-law to buy oil from the store.","""Kamla was blinded to the truth when she sent her angry daughter-in-law to the shop to buy kerosene.""",2,2,2,3
मंजिल तक पहुँचना,लक्ष्य प्राप्त करना,To reach the destination,कड़ी मेहनत से उसने अपनी मंजिल तक पहुँचा।,,,"'मंजिल तक पहुँचना' means 'To reach the destination'. Given the above knowledge, translate this sentence to English: 'कड़ी मेहनत से उसने अपनी मंजिल तक पहुँचा।'",He reached his destination through hard work.,"""Through hard work, he reached his destination.""",3,1,3,2
मुँह से आग निकालना,बहुत गुस्सा होना,To speak angrily,झगड़े के दौरान उसने मुँह से आग निकाली और सभी को डाँटा।,"bite someone's head off (0.84), jump down someone's throat (0.77), snap someone's head off (0.77)",bite someone's head off,"'मुँह से आग निकालना' means 'bite someone's head off'. Given the above knowledge, translate this sentence to English: 'झगड़े के दौरान उसने मुँह से आग निकाली और सभी को डाँटा।'","During the argument, he bit everyone's head off.","'During the quarrel, he bit everyone's head off and scolded everyone.'",2,3,2,3
मुँह से खून निकलना,बहुत अधिक परिश्रम करना,To taste blood.,उसने इस काम के लिए मुँह से खून निकाल दिया।,,,"'मुँह से खून निकलना' means 'To taste blood.'. Given the above knowledge, translate this sentence to English: 'उसने इस काम के लिए मुँह से खून निकाल दिया।'",He put his heart and soul into this work.,"""He tasted blood for this work.""",3,2,1,1
मुँह छुपाना,शर्मिंदा होना,Hide one's face,अपनी गलती पर उसे मुँह छुपाना पड़ा।,,,"'मुँह छुपाना' means 'Hide one's face'. Given the above knowledge, translate this sentence to English: 'अपनी गलती पर उसे मुँह छुपाना पड़ा।'",He had to hide his face for his mistake.,He had to hide his face for his mistake.,3,3,3,2
मुँह से बोल निकलना,कुछ कहना,To speak out.,उसके सामने मैं इतना डर गया कि मुँह से बोल नहीं निकल पा रहे थे।,,,"'मुँह से बोल निकलना' means 'To speak out.'. Given the above knowledge, translate this sentence to English: 'उसके सामने मैं इतना डर गया कि मुँह से बोल नहीं निकल पा रहे थे।'",I was so scared in front of him that I couldn't speak out.,"""I was so scared in front of him that I couldn't speak out.""",3,2,3,1
मुँह की आवाज निकलना,बोलने का साहस होना,To speak up,उसकी हिम्मत देख कर मेरी मुँह की आवाज निकली।,,,"'मुँह की आवाज निकलना' means 'To speak up'. Given the above knowledge, translate this sentence to English: 'उसकी हिम्मत देख कर मेरी मुँह की आवाज निकली।'","Seeing his courage, I spoke up.","""Seeing his courage, I spoke up.""",3,1,3,1
मुँह धोना,एकदम प्रारंभ करना,Wash one's face,उसने सुबह-सुबह मुँह धोकर काम शुरू किया।,,,"'मुँह धोना' means 'Wash one's face'. Given the above knowledge, translate this sentence to English: 'उसने सुबह-सुबह मुँह धोकर काम शुरू किया।'",He started his work by washing his face in the morning.,"""He washed his face early in the morning and started working.""",3,1,3,1
मुँह से बोल फूटना,अचानक बोलना,To start speaking,गुस्से में उसके मुँह से बोल फूट पड़े।,,,"'मुँह से बोल फूटना' means 'To start speaking'. Given the above knowledge, translate this sentence to English: 'गुस्से में उसके मुँह से बोल फूट पड़े।'",He started speaking in anger.,"""In anger, words burst out of his mouth.""",2,1,3,2
मुँह लगाना,किसी की बातों में आना,To engage with someone.,उसकी चालाकी में आकर मुँह लगाना ठीक नहीं।,duke it out (0.74),duke it out,"'मुँह लगाना' means 'duke it out'. Given the above knowledge, translate this sentence to English: 'उसकी चालाकी में आकर मुँह लगाना ठीक नहीं।'",It is not wise to duke it out with his cunning.,'It is not right to duke it out influenced by his cunningness.',2,1,1,1
मुँह का पानी आना,लालच करना,Mouth-watering,मिठाई देखकर उसके मुँह का पानी आ गया।,,,"'मुँह का पानी आना' means 'Mouth-watering'. Given the above knowledge, translate this sentence to English: 'मिठाई देखकर उसके मुँह का पानी आ गया।'",Seeing the sweets made his mouth water.,'His mouth watered at the sight of the sweets.',3,3,3,3
मुँह ऊपर करना,निर्भीक होकर सामने आना,To look up.,सच बोलने वाले मुँह ऊपर करके जीते हैं।,,,"'मुँह ऊपर करना' means 'To look up.'. Given the above knowledge, translate this sentence to English: 'सच बोलने वाले मुँह ऊपर करके जीते हैं।'",Those who speak the truth live with their heads held high.,'Those who speak the truth live with their heads held high.',3,3,3,3
मुँह में तालू लगाना,बहुत प्यास लगना,To be tongue-tied,धूप में घूमने से उसके मुँह में तालू लग गया।,,,"'मुँह में तालू लगाना' means 'To be tongue-tied'. Given the above knowledge, translate this sentence to English: 'धूप में घूमने से उसके मुँह में तालू लग गया।'",He was tongue-tied after wandering in the sun.,"""Roaming in the sun made him tongue-tied.""",1,1,1,1
मुँह पर चेहरा रखना,अपनी पहचान बनाए रखना,To keep a straight face,उसने मुँह पर चेहरा रखकर सबके सामने अपनी बात रखी।,,,"'मुँह पर चेहरा रखना' means 'To keep a straight face'. Given the above knowledge, translate this sentence to English: 'उसने मुँह पर चेहरा रखकर सबके सामने अपनी बात रखी।'",He kept a straight face and presented his point in front of everyone.,"""She kept a straight face and presented her point in front of everyone.""",3,1,3,2
मुँह की बातें सुनना,किसी की आलोचना सुनना,To listen to empty words,उसकी गलती पर उसे मुँह की बातें सुननी पड़ीं।,,,"'मुँह की बातें सुनना' means 'To listen to empty words'. Given the above knowledge, translate this sentence to English: 'उसकी गलती पर उसे मुँह की बातें सुननी पड़ीं।'",He had to listen to empty words for his mistake.,He had to listen to empty words for his mistake.,1,1,1,1
मुँह का दरवाज़ा खुला रखना,अपनी बातें दूसरों को बताना,Keep your mouth open.,उसने मुँह का दरवाज़ा खोलकर सबको अपनी बात बताई।,,,"'मुँह का दरवाज़ा खुला रखना' means 'Keep your mouth open.'. Given the above knowledge, translate this sentence to English: 'उसने मुँह का दरवाज़ा खोलकर सबको अपनी बात बताई।'",He opened his mouth and told everyone his story.,He spoke his mind openly to everyone.,2,1,3,2
मुँह की बात छीनना,वही कहना जो दूसरे ने सोचा हो,To steal someone's thunder.,उसने मेरी मुँह की बात छीन ली और वही कह दिया जो मैं सोच रहा था।,,,"'मुँह की बात छीनना' means 'To steal someone's thunder.'. Given the above knowledge, translate this sentence to English: 'उसने मेरी मुँह की बात छीन ली और वही कह दिया जो मैं सोच रहा था।'",He stole my thunder and said exactly what I was thinking.,He stole my thunder and said exactly what I was thinking.,3,1,3,3
मोड़ पर आना,महत्वपूर्ण स्थिति में पहुंचना,To reach a turning point,उसकी जिंदगी अब नए मोड़ पर आ गई है।,,,"'मोड़ पर आना' means 'To reach a turning point'. Given the above knowledge, translate this sentence to English: 'उसकी जिंदगी अब नए मोड़ पर आ गई है।'",His life has now reached a new turning point.,"""Her life has now reached a new turning point.""",3,3,3,3
मुँह का स्वाद खट्टा करना,किसी का मूड खराब करना,To spoil the mood.,उसकी बुरी खबर ने सभी का मुँह का स्वाद खट्टा कर दिया।,rain on someone's parade (0.77),rain on someone's parade,"'मुँह का स्वाद खट्टा करना' means 'rain on someone's parade'. Given the above knowledge, translate this sentence to English: 'उसकी बुरी खबर ने सभी का मुँह का स्वाद खट्टा कर दिया।'",His bad news rained on everyone's parade.,"""His bad news rained on everyone's parade.""",2,3,2,3
मुँह में शक्कर घोलना,मीठी बातें करना,To speak sweet words,उसकी मुँह में शक्कर घोलने वाली बातें सभी को अच्छी लगी।,,,"'मुँह में शक्कर घोलना' means 'To speak sweet words'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह में शक्कर घोलने वाली बातें सभी को अच्छी लगी।'",Everyone liked the sweet words she spoke.,Everyone liked his sweet-talking words.,3,2,3,2
मूँगफली,मामूली चीज़,Peanut,वह काम मेरे लिए मूँगफली की तरह है।,,,"'मूँगफली' means 'Peanut'. Given the above knowledge, translate this sentence to English: 'वह काम मेरे लिए मूँगफली की तरह है।'",That job is like peanuts to me.,'That work is like peanuts to me.',3,3,3,3
बिल्ली के भाग से छींका टूटना,संयोगवश लाभ होना,A stroke of luck.,"उसे लॉटरी में जीत मिल गई, यह तो बिल्ली के भाग से छींका टूटने जैसा है।",stroke of luck (0.75),stroke of luck,"'बिल्ली के भाग से छींका टूटना' means 'stroke of luck'. Given the above knowledge, translate this sentence to English: 'उसे लॉटरी में जीत मिल गई, यह तो बिल्ली के भाग से छींका टूटने जैसा है।'","He won the lottery, it's like a stroke of luck.","""He won the lottery, it’s like a stroke of luck.""",3,2,3,2
मुँह में दही जमाना,चुप रहना,To keep silent,"जब उसे सच बताना था, उसने मुँह में दही जमा लिया।","button (up) one's lip (0.90), button your lip (0.77), hold tongue (0.85), hold your tongue (0.84), keep mum (0.76), keep schtum (0.81), mum's the word (0.76), silent as the grave (0.78), zip oneâ€™s lip (0.84), zip your lip (0.76)",button,"'मुँह में दही जमाना' means 'button'. Given the above knowledge, translate this sentence to English: 'जब उसे सच बताना था, उसने मुँह में दही जमा लिया।'","When he had to tell the truth, he buttoned his lips.","""When he had to tell the truth, he buttoned his lip.""",2,3,2,3
मुँह न खुलना,कुछ न कह पाना,Not to speak up,सजा के डर से उसकी मुँह नहीं खुल रही थी।,,,"'मुँह न खुलना' means 'Not to speak up'. Given the above knowledge, translate this sentence to English: 'सजा के डर से उसकी मुँह नहीं खुल रही थी।'",She was not speaking up out of fear of punishment.,"""She was not speaking up due to fear of punishment.""",3,2,3,2
मुँह में जीभ देना,बोलने की शक्ति देना,To remain silent,इस शिक्षा ने हमें मुँह में जीभ दे दी।,"button (up) one's lip (0.87), hold tongue (0.89), hold your tongue (0.86), keep mum (0.75), keep schtum (0.81), silent as the grave (0.82), zip oneâ€™s lip (0.82)",button,"'मुँह में जीभ देना' means 'button'. Given the above knowledge, translate this sentence to English: 'इस शिक्षा ने हमें मुँह में जीभ दे दी।'",This lesson has really buttoned our lips.,"""This education has buttoned our lips.""",1,1,1,1
मुँह मोड़ लेना,संबंध तोड़ लेना,Turn one's back.,उसकी बेवफाई के बाद मैंने उससे मुँह मोड़ लिया।,,,"'मुँह मोड़ लेना' means 'Turn one's back.'. Given the above knowledge, translate this sentence to English: 'उसकी बेवफाई के बाद मैंने उससे मुँह मोड़ लिया।'","After his betrayal, I turned my back on him.","""After his betrayal, I turned my back on him.""",3,3,3,3
"मुँह में राम, बगल में छुरी","ऊपर से अच्छा, लेकिन भीतर से धोखेबाज","A sweet tongue, but a dagger in the heart.","वह मुँह में राम, बगल में छुरी जैसा इंसान है, उस पर भरोसा नहीं किया जा सकता।",,,"'मुँह में राम, बगल में छुरी' means 'A sweet tongue, but a dagger in the heart.'. Given the above knowledge, translate this sentence to English: 'वह मुँह में राम, बगल में छुरी जैसा इंसान है, उस पर भरोसा नहीं किया जा सकता।'","He is like a person with a sweet tongue but a dagger in the heart, he cannot be trusted.",'He is a person with a sweet tongue but a dagger in the heart; he cannot be trusted.',2,1,2,2
मुँह से लगाना,बहुत पसंद करना,To get someone accustomed to something,उस मिठाई को एक बार मुँह से लगाओगे तो बार-बार खाना चाहोगे।,,,"'मुँह से लगाना' means 'To get someone accustomed to something'. Given the above knowledge, translate this sentence to English: 'उस मिठाई को एक बार मुँह से लगाओगे तो बार-बार खाना चाहोगे।'","If you try that sweet once, you will want to eat it again and again.","""If you taste that sweet once, you will want to eat it again and again.""",3,2,3,2
मुँह बोलना,स्पष्ट रूप से कहना,To speak rudely,उसने अपने मन की बात मुँह बोल दी।,bite someone's head off (0.84),bite someone's head off,"'मुँह बोलना' means 'bite someone's head off'. Given the above knowledge, translate this sentence to English: 'उसने अपने मन की बात मुँह बोल दी।'",He spoke his mind bluntly.,She bit someone's head off by speaking her mind.,3,2,1,1
मुँह पर तमाचा मारना,सख्त आलोचना करना,To slap someone in the face,उसकी हरकतों पर सबने मुँह पर तमाचा मारा।,,,"'मुँह पर तमाचा मारना' means 'To slap someone in the face'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों पर सबने मुँह पर तमाचा मारा।'",Everyone slapped him in the face for his actions.,"""Everyone slapped him in the face for his actions.""",3,1,2,1
मुँह मोड़ना,समर्थन न देना,Turn away,मुसीबत में दोस्तों ने मुँह मोड़ लिया।,,,"'मुँह मोड़ना' means 'Turn away'. Given the above knowledge, translate this sentence to English: 'मुसीबत में दोस्तों ने मुँह मोड़ लिया।'","In times of trouble, friends turned away.",Friends turned away in trouble.,3,3,3,2
मुँह में मिठाई भरना,खुशी की खबर देना,To praise someone excessively.,उसकी सफलता की खबर सुनकर मैंने सबके मुँह में मिठाई भर दी।,"butter up (0.76), fish for a compliment (0.76), fish for compliments (0.79)",butter up,"'मुँह में मिठाई भरना' means 'butter up'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता की खबर सुनकर मैंने सबके मुँह में मिठाई भर दी।'","Upon hearing the news of his success, I buttered up everyone.","""Hearing the news of his success, I buttered up everyone.""",1,1,1,1
बाजार गर्म होना,चर्चाएँ या अफवाहें फैलना,The market is hot.,पिछले हफ्ते बाजार में नई फिल्म की रिलीज़ की खबर से बाजार गर्म हो गया था।,,,"'बाजार गर्म होना' means 'The market is hot.'. Given the above knowledge, translate this sentence to English: 'पिछले हफ्ते बाजार में नई फिल्म की रिलीज़ की खबर से बाजार गर्म हो गया था।'","Last week, the market was hot with news of the release of a new movie.","""Last week, the market became hot with the news of the release of a new film.""",3,2,2,1
मुँह की लज्जा मिटना,शर्मसार होना,To lose one's modesty,उसकी हार ने उसकी मुँह की लज्जा मिटा दी।,,,"'मुँह की लज्जा मिटना' means 'To lose one's modesty'. Given the above knowledge, translate this sentence to English: 'उसकी हार ने उसकी मुँह की लज्जा मिटा दी।'",His defeat made him lose his modesty.,"""His defeat made him lose his modesty.""",2,1,2,1
मुँह ताकते रह जाना,कोई उपाय न सूझना,To be left speechless,उसके सवाल के सामने सब मुँह ताकते रह गए।,,,"'मुँह ताकते रह जाना' means 'To be left speechless'. Given the above knowledge, translate this sentence to English: 'उसके सवाल के सामने सब मुँह ताकते रह गए।'",Everyone was left speechless in front of his question.,Everyone was left speechless by his question.,3,2,3,2
मुँह का फेरा होना,भाग्य का साथ न देना,To change one's mind,उसके साथ हमेशा मुँह का फेरा ही रहा।,"about face (0.76), chop and change (0.87)",about face,"'मुँह का फेरा होना' means 'about face'. Given the above knowledge, translate this sentence to English: 'उसके साथ हमेशा मुँह का फेरा ही रहा।'",We always had an about face with him.,"""There has always been an about face with him.""",2,1,2,1
मुँह पर पानी फेरना,अपमान करना,To ruin something.,उसकी शिकायत सुनकर बॉस ने उसकी मुँह पर पानी फेर दिया।,"cook someone's goose (0.79), screw up (0.74)",cook someone's goose,"'मुँह पर पानी फेरना' means 'cook someone's goose'. Given the above knowledge, translate this sentence to English: 'उसकी शिकायत सुनकर बॉस ने उसकी मुँह पर पानी फेर दिया।'","After hearing his complaint, the boss cooked his goose.","""Upon hearing his complaint, the boss cooked his goose.""",3,1,2,1
मुँह पिचकाना,नाराजगी दिखाना,To pout,उसकी बातों पर मुँह पिचकाने की बजाय उसे समझना चाहिए।,,,"'मुँह पिचकाना' means 'To pout'. Given the above knowledge, translate this sentence to English: 'उसकी बातों पर मुँह पिचकाने की बजाय उसे समझना चाहिए।'","Instead of pouting at what she says, he should try to understand her.","""Instead of pouting at his words, one should try to understand him.""",3,2,2,2
मुँह पर जलील करना,अपमान करना,To insult someone to their face,सबके सामने मुँह पर जलील करना सही नहीं था।,"call names (0.73), call someone names (0.80)",call names,"'मुँह पर जलील करना' means 'call names'. Given the above knowledge, translate this sentence to English: 'सबके सामने मुँह पर जलील करना सही नहीं था।'",It was not right to call names in front of everyone.,"""It was not right to call names in front of everyone.""",2,1,2,1
मुँह दिखाना,किसी से मिलने आना,Show one's face,उसने अपनी गलती के बाद अब तक मुँह नहीं दिखाया।,,,"'मुँह दिखाना' means 'Show one's face'. Given the above knowledge, translate this sentence to English: 'उसने अपनी गलती के बाद अब तक मुँह नहीं दिखाया।'",He has not shown his face since his mistake.,'He hasn't shown his face since his mistake.',3,3,3,3
मुँह टेढ़ा करना,नाराजगी दिखाना,To pout,"जब उसे मना किया, तो उसने मुँह टेढ़ा कर लिया।",,,"'मुँह टेढ़ा करना' means 'To pout'. Given the above knowledge, translate this sentence to English: 'जब उसे मना किया, तो उसने मुँह टेढ़ा कर लिया।'","When he was refused, he pouted.","""When he was refused, he pouted.""",3,3,3,2
मुँह से गाली निकालना,बुरा-भला कहना,To utter a curse.,उसके व्यवहार से मैं इतना गुस्से में आ गया कि मुँह से गाली निकल गई।,,,"'मुँह से गाली निकालना' means 'To utter a curse.'. Given the above knowledge, translate this sentence to English: 'उसके व्यवहार से मैं इतना गुस्से में आ गया कि मुँह से गाली निकल गई।'",I got so angry at his behavior that I uttered a curse.,"""I was so angry at his behavior that I uttered a curse.""",3,1,3,1
मुँह पर चांदनी छिड़कना,प्रसन्न करना,To flatter someone excessively.,उसकी तारीफ ने मेरे मुँह पर चांदनी छिड़क दी।,,,"'मुँह पर चांदनी छिड़कना' means 'To flatter someone excessively.'. Given the above knowledge, translate this sentence to English: 'उसकी तारीफ ने मेरे मुँह पर चांदनी छिड़क दी।'",His praise made me feel like I was being excessively flattered.,"""His praise flattered me excessively.""",2,1,2,1
मुँह खोलकर रह जाना,आश्चर्यचकित होना,To be left speechless,उसके प्रदर्शन को देखकर सब मुँह खोलकर रह गए।,,,"'मुँह खोलकर रह जाना' means 'To be left speechless'. Given the above knowledge, translate this sentence to English: 'उसके प्रदर्शन को देखकर सब मुँह खोलकर रह गए।'",Everyone was left speechless after seeing his performance.,"Seeing his performance, everyone was left speechless.",3,2,3,2
बुरे वक्त में साथी छोड़ना,संकट में साथ न देना,To abandon someone in difficult times.,बुरे वक्त में उसने अपने दोस्त का साथ छोड़ दिया।,"jump ship (0.79), leave someone in the lurch (0.79), turn back on (0.76)",jump ship,"'बुरे वक्त में साथी छोड़ना' means 'jump ship'. Given the above knowledge, translate this sentence to English: 'बुरे वक्त में उसने अपने दोस्त का साथ छोड़ दिया।'","In bad times, he abandoned his friend.",He jumped ship on his friend during tough times.,3,1,3,3
मुँह का धोखा,किसी की बातों में आ जाना,Deceptive appearance,उसकी चिकनी-चुपड़ी बातों में आकर मैंने मुँह का धोखा खा लिया।,,,"'मुँह का धोखा' means 'Deceptive appearance'. Given the above knowledge, translate this sentence to English: 'उसकी चिकनी-चुपड़ी बातों में आकर मैंने मुँह का धोखा खा लिया।'",I fell for her deceptive appearance after listening to her sweet talk.,"""I was deceived by his smooth and flattering talk.""",2,1,3,2
मुँह की खाना,हार का सामना करना,To suffer defeat,मुकाबले में उसने मुँह की खाई।,"bite _ dust (0.90), crash and burn (0.73), go to the wall (0.74), meet your Waterloo (0.83), wipe the floor with (0.75)",bite _ dust,"'मुँह की खाना' means 'bite _ dust'. Given the above knowledge, translate this sentence to English: 'मुकाबले में उसने मुँह की खाई।'",He bit the dust in the competition.,'He bit the dust in the competition.',3,3,3,3
मुँह में घी शक्कर,शुभकामना देना,May your words come true.,"उसकी सफलता की बात सुनकर सबने कहा, ""तेरे मुँह में घी शक्कर।""",,,"'मुँह में घी शक्कर' means 'May your words come true.'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता की बात सुनकर सबने कहा, ""तेरे मुँह में घी शक्कर।""'","After hearing about his success, everyone said, ""May your words come true.""","Hearing about his success, everyone said, ""May your words come true.""",2,2,2,2
मुँह पर तमाचा देना,अपमान करना,To slap in the face,उसकी हरकतों पर मैंने मुँह पर तमाचा दे दिया।,,,"'मुँह पर तमाचा देना' means 'To slap in the face'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों पर मैंने मुँह पर तमाचा दे दिया।'",I slapped him in the face for his actions.,"""I slapped him in the face for his actions.""",3,1,3,1
