id,idiom,en_meaning,zh_meaning,ja_meaning
3229,背信弃义,betraying trust and abandoning righteousness,不守信义，对待他人不忠诚,約束や信頼を裏切り、誠実さや忠誠を捨てること
3230,背城借一,to borrow a city wall as a temporary defense,以不利于己方的条件来交换优势的筹码,絶望的な状況でも一つだけ運を用いて逃れ出すこと。
3231,背水一战,"to make a desperate counterattack when there is no way to retreat, in hopes of turning the tide of the situation",比喻身处绝境时，一决胜负的战斗,必死の覚悟で戦う
3232,胡说八道,talk nonsense or make baseless remarks,说些毫无根据、荒谬的话,無意味で根拠のない話をすること
3233,胡作非为,to engage in reckless or irrational behavior,做出不合情理的事情，违背道义,無駄で非道な行動や行為をすること。乱暴で非常識な行為をすること。
3234,胡思乱想,to have random and nonsensical thoughts,指思维混乱，思想纷乱，想入非非,無駄な妄想や混乱した考えをする
3235,胡言乱语,"nonsense, gibberish",说话没有条理、没有道理，毫无根据,根拠のないことを言う
3236,胸怀坦白,having an open and honest mind; being sincere and straightforward,心胸坦荡，毫无隐瞒,率直で正直な態度や心持ちを持つこと。また、秘密や隠し事を持たずに、心の内を隠さずに接すること。
3237,胸中有数,to have a clear understanding or grasp of the situation,心中有把握，对某事有一定了解,自分の心の中に確かな知識や理解がある
3238,胸中无数,having countless thoughts or ideas in one's mind,拥有无限的智慧和见识,心にたくさんの思いや考えがあり、それらが混在している。
3239,胸有成竹,to have a well-thought-out plan or strategy,形容做事有充分的准备和自信，迎刃而解,手堅く、自信を持って計画する
3240,胸无点墨,lacking in knowledge or education,形容心胸狭窄，见识少，文化水平低下,知識や教養が乏しく、何も分からない
3241,胸无城府,"to have an open and honest heart, without any hidden motives or secrets",形容心地坦荡，没有城府，不会隐藏私心和阴谋。,心の中に悪意や計画がなく、素直な心で行動する
3242,能屈能伸,"able to bend and stretch, being adaptable and capable of adjusting oneself to different situations",能够适应不同的环境，随机应变,柔軟な態度や行動で自分自身の利益や状況を適応させる
3243,能者多劳,those who are capable will have more work to do,有才能的人常常被要求做更多的工作,優れた才能を持つ人々は多くの仕事を引き受ける傾向がある。
3244,能者为师,a capable person should be a teacher,能力出众的人可以成为教师，传授给他人知识和技能,優れた人物が指導者となる
3245,能上能下,able to handle both higher and lower level tasks,指一个人在各方面都表现得很好，能随时适应不同的场合或环境,上下の地位に適応でき、柔軟に振る舞う
3246,能说会道,articulate; skilled in speech and persuasion,形容口才好，能巧妙地应对和说服他人,話が上手で、巧みに人を説得することができる
3247,能文能武,skilled both in literary and militaristic pursuits,形容一个人在文学和武术方面都有才能,学問や文学の才能だけでなく、武道や戦闘技術にも長けている
3248,胁肩谄笑,to flatter and fawn over someone in order to gain their favor,以恭谨的态度巴结、讨好别人，常常表现出一些不真诚的笑容,肩を寄せてへり謝りながら笑う
3249,唇枪舌剑,an intense verbal battle or argument,形容言辞尖锐激烈，争论激烈，口舌之战,口論や言葉の攻撃が激しく、激しい言葉の戦いをすること。
3250,唇齿相依,be closely interconnected or interdependent,双方利害关系密切，相互依赖,唇と歯は対立せず、互いに支え合う
3251,唇亡齿寒,"two parties are closely interconnected, and if one is in danger, the other will also suffer",互为依存，互相关系密切。形容彼此关系密切，一方遇到困难另一方也会受到影响,唇から離れると歯は寒い
3252,脱胎换骨,a complete transformation; a radical change,形容人改变，脱离旧有的困境或习惯，焕然一新,完全に変身し、以前の状態を超越すること。徹底的な変化を経験すること。
3253,脱口而出,"""speaking without thinking"" or ""blurting something out without considering""",意思不假思索地说出来,言葉が勝手に出てしまう
3254,脱缰之马,a person or situation that is out of control; especially referring to a person who has been freed from constraints and is behaving recklessly,指得不到约束和控制的人或事物，容易带来危险和灾难,抑制もされず自由に走り回る状態の人や物
3255,脱颖而出,"standing out from the crowd, emerging as the best among others",在众人中脱颖而出，显得与众不同,他の人と比べて優れた能力や才能を持ち、目立つこと
3256,脚踏两只船,having a foot in two boats; to be unfaithful or indecisive in a relationship,同时与两个对立的人或事物来往,二つの船の間で揺れ動くこと、または二股をかけること
3257,脚踏实地,down-to-earth; be steadfast and practical in attitude and approach,认真踏实地去做事情,堅実に進むこと。現実的に取り組むこと。
3258,脑满肠肥,having a well-fed body but lacking in intelligence or creativity,形容人生活安逸，饱享物质享受，没有压力或困扰,自己の欲望や快楽に溺れて、知識や教養が欠けていること
3259,腹背受敌,being attacked from both the front and the back,处于四面受敌的危险境地,前後から敵に包囲されること。逆境に立たされること。
3260,膏粱子弟,people who have been brought up in wealth and luxury; also refers to offspring from well-to-do families,指贪图享乐、不肯劳动的人,贅沢で快適な生活を送る者
3261,胆大包天,extremely bold and fearless,形容胆量非常大，无所畏惧,大胆であること、ありえないことも構わずに挑戦すること
3262,胆大心细,bold and cautious,形容人胆子大而心思细密，能够勇敢面对困难，同时又注重细节和周详的考虑。,度胸は大きいが、細心の注意も怠らない
3263,胆小如鼠,timid as a mouse,形容人胆子小，像老鼠一样胆怯,臆病で、勇気がないこと。また、臆病で物怖じしないこと。
3264,胆大妄为,"to act with audacity and recklessness, without considering the consequences",形容人胆子很大，却缺乏理智和谨慎，行动鲁莽冒失，做出不切实际的事情。,度胸があり、思い上がりや大それた行動をすること
3265,胆战心惊,to be terrified or frightened,形容非常害怕，心里非常紧张,おびえ心ひぐ
3266,脍炙人口,highly praised and widely popular,形容文章或言论等易于被人接受，广为传颂,広く人気がある、大衆に愛される
3267,卧薪尝胆,to make a vow to take revenge or to never forget a humiliation,比喻发奋努力，吃苦耐劳，以期达到自己的目标,自ら苦労をし、苦難を味わいながら努力する
3268,临别赠言,parting words before leaving,将要分别时给予劝告或嘱咐,別れる際に話す言葉
3269,临渴掘井,"to dig a well when thirsty, taking action only when driven by necessity",比喻事到临头才着急，但为时已晚。,極度に必要としてから手を打つこと。予防措置や準備を怠った結果、困難な状況に直面すること。
3270,临机应变,being able to adapt and respond quickly to unexpected situations,遇到突发情况时能够及时调整策略、作出灵活的反应,臨機応変する能力や柔軟性を持って、状況に応じて即座に対応すること
3271,临阵磨枪,"""sharpen one's sword at the last minute"" or ""make final preparations before a crucial event""",比喻临到战场之前才急忙准备,戦闘前に武器を研ぎ澄ます
3272,临阵脱逃,to desert at a critical moment,形容在关键时刻胆怯退缩，逃走的行为,戦闘の前に逃げ出す
3273,临深履薄,treading on thin ice; facing dangerous situations with caution,在困境中仍然坚持原则或勇往直前,決定的な状況に直面し、困難や危険を冒しつつ進む
3274,临危不惧,fearless in the face of danger,形容人在面临危险或困难时，心情坦然，毫不害怕,危険な状況にもかかわらず、恐れずに立ち向かう
3275,临渊羡鱼，不如归而结网,It is better to take action and create opportunities for oneself than to merely envy others.,比喻看到别人有利的东西，不如回去自己努力争取,淵に近づいて魚をうらやむより、帰って網を編む方がいい
3276,自暴自弃,to give up on oneself and indulge in self-destructive behavior,自己嘲笑自己，不再有信心或希望,自分自身に対して絶望的で無気力な態度を持つこと
3277,自不量力,overestimate one's own abilities,不估计自己的能力，去接受过于困难的任务,自分の力量を過大評価すること。自分の実力以上のことをしようとすること。
3278,自卖自夸,to boast or brag about oneself,自己夸耀自己，吹嘘自己,自分自身の才能や成果を自慢すること。自分自身を誇示すること。
3279,自命不凡,"having an inflated opinion of oneself, considering oneself exceptional or superior",自称与众不同，高人一等,自分自身を普通の人とは違うと考える
3280,自鸣得意,to be pleased with oneself; to be self-satisfied,沾沾自喜，为自己所骄傲,自己満足して意気揚々としていること
3281,自鸣清高,to be self-righteous and pretentious,形容自以为高尚，看不起别人,自己が高潔であると思い込み、他人を見下す態度を示す
3282,自得其乐,finding joy and contentment in oneself,形容心情愉快，自己从中得到乐趣,自分で楽しみを見つける
3283,自讨苦吃,bring trouble upon oneself,自找麻烦，自己给自己带来困难或苦恼,自分自身で苦しみを引き寄せる
3284,自投罗网,to walk right into a trap,自愿跳进陷阱。比喻自己找死或自愿上当受骗,自らわざと罠にかかることで、自分自身の苦境や困難を招く。
3285,自力更生,relying on oneself for survival,比喻依靠自己的力量，不依赖他人,自己の力で立ち直ること。外部からの援助や支援を頼らずに、自分自身で問題を解決すること
3286,自告奋勇,"voluntarily offering to do something, showing great enthusiasm and initiative",自愿主动地表示参加某项任务或活动,自ら志願し、勇気を持って行動すること。
3287,自高自大,arrogant and conceited,形容自以为了不起，看不起别人,自分自身を偉大で優れていると思い上がり、他人を見下す
3288,自顾不暇,too preoccupied with one's own affairs to attend to others,形容忙于自己的事务，无暇顾及别人,自分自身の問題で手一杯で、他のことに対応する余裕がない。
3289,自给自足,"being self-sufficient, relying on oneself without depending on others",依靠自己，不依赖别人,自己の力で十分に生活すること。他人の助けを必要としないこと。
3290,自掘坟墓,dig one's own grave; harm oneself,自己给自己找麻烦；自毁前程,自ら墓を掘る
3291,自觉自愿,do something willingly and voluntarily; also refers to doing something with a sense of self-awareness and initiative,自发地、自动地从内心上愿意做某事,自分自身の意志で行動し、自発的に参加する
3292,自欺欺人,to deceive oneself and deceive others,自己骗自己，也骗别人。形容自己欺骗自己或骗人的行为,自分自身を騙すことで他人も騙す
3293,自强不息,continuously striving for self-improvement and progress,不断自我努力，力求进步,自分自身を強くし、諦めずに努力を続ける
3294,自取灭亡,bring about one's own destruction,自己找到灭亡的原因，没有人能够帮助,自らの行動や決定が自滅や破滅につながること。
3295,自取其咎,to bring trouble or misfortune upon oneself through one's own actions,因自己的错误行为或决定而自己承担责任和后果,自ら過ちを招く
3296,自信不疑,confident and without doubt,形容相信自己，没有怀疑的心理,自信に満ち、疑いを持たない
3297,自相矛盾,contradicting oneself,言行或观点相互矛盾，互相抵触,相互に矛を交え、矛と盾が矛盾すること。矛盾した状況
3298,自相惊扰,to cause disturbance and confusion among oneself,相互吓到，相互害怕，相互打扰,自分自身が混乱しており、自分の行動や言動などから自分自身を驚かせ、混乱させること。
3299,自相残杀,mutually kill each other,指同类相互残杀，互相损害,仲間同士が争い合って自滅すること。
3300,自行其是,"acting according to one's own will, disregarding the opinions or advice of others",按照自己的意思行事，不顾他人的意见或规定,自分で決めたことを行い、他人の意見や指示に従わない
3301,自寻烦恼,"to seek trouble for oneself, to unnecessarily create problems for oneself",无端地给自己找麻烦,自分で悩みや困難を探し求めること
3302,自寻死路,"to seek one's own death, to invite trouble or danger",自找糟糕的结局，做出必然失败或不幸的决策或行为,自ら死ぬ道を探す。自滅的な行動をする。
3303,自知之明,self-awareness; knowing one's own limitations,了解自己的能力和限制,自分自身の能力や限界を正しく認識すること
3304,自成一家,standing alone and unique; being independent,独自成立一家，不依赖他人或其他组织,独自の方法やアイデンティティを持っている
3305,自吹自擂,boasting about one's own achievements; bragging about oneself,自我吹嘘、自我吹捧，夸耀自己的才能、成就等,自分自身を自慢すること、自画自賛すること
3306,自食其力,to rely on oneself for support; to be self-reliant,依靠自己的力量，不依赖他人,自力で生活すること
3307,自食其果,reap what one has sown,自作自受，遭到应有的惩罚,自分で犯した過ちや悪行の結果を自分で受けること。自業自得の報いを受けること。
3308,自食其言,to suffer the consequences of one's own words,说话的人反悔了，或因自己说过的话而受到了损失或惩罚,言動や約束の自己矛盾
3309,自始至终,from beginning to end,从开始到结束的全过程,最初から最後まで
3310,自生自灭,to bring about one's own downfall,自作自受，自取灭亡,自己の力で生きるもしくは滅びる。他人の助けを借りずに自分の運命を決める。
3311,自然而然,naturally and without any difficulty or effort,事物发展或变化本来如此，毫无人为干预的痕迹,自然な流れで、何も手続きや努力をしないで自然に起こる
3312,自作主张,to act according to one's own will without considering others' opinions or authority,自己擅自决定或行动，不顾他人意见或规定,自分勝手に判断や行動をする
3313,自作自受,"reap what one has sown, suffer the consequences of one's own actions",做了坏事或有过错的人只能自己承受其后果,自らの行動や行いによって自分が受けるべき結果を受けること。
3314,自作聪明,"thinking oneself smart or clever, but actually being foolish or ignorant",过于自以为是，自作主张，以为自己聪明而独断专行,自己の頭脳の良さや知識を過信することで、他の人の意見や助言を軽視すること
3315,自惭形秽,feeling ashamed and inadequate in comparison to someone else,自己感到羞愧，觉得自己不如别人,自分自身の不甲斐なさや汚れを恥じる
3316,自私自利,selfish and self-centered,只考虑自己的利益，不顾及他人的利益,利己主義的
3317,自以为得计,"thinking that one has succeeded in their plan, but in reality, they have miscalculated and failed",自己认为得到了好处，但实际上被人算计了,自分自身が成功したと思い込んでいる
3318,自以为是,to think highly of oneself and be self-righteous,过分自信，自负,自分の意見や判断が正しいと信じて疑わないこと。自己中心的な態度を持つこと。
3319,自由泛滥,excessive freedom,形容无法无天，没有约束和限制,自由が乱れて制御を失うこと
3320,自由放任,freedom and indulgence without any restraints or restrictions,指不加束缚，不加干涉，任意自由行动,自由なままに任せることで、制限や規制を置かないこと
3321,自由自在,"free and unrestricted, enjoying complete freedom",随心所欲，没有受到任何限制或束缚,自由に動き回れること、束縛されず自由な状態であること
3322,自言自语,talking to oneself,指一个人自己和自己说话，即不与他人交谈，而是独自思考或表达意见。,独り言を言うこと。
3323,自我陶醉,indulging in self-admiration or self-satisfaction,过于沉迷于自己的成就或优点而不自知,自己に酔いしれ、自分の才能や成果に過度に満足する
3324,自我解嘲,making self-mocking remarks or jokes,嘲笑自己或自嘲别人，以减轻紧张气氛或自我调侃,自分自身をからかうこと。自虐的なジョークを言うこと。
3325,自我吹嘘,"blowing one's own trumpet, boasting about oneself",夸耀自己的能力或成就,自己を自慢し、自分自身を大げさに宣伝すること
3326,自圆其说,making an argument appear consistent and logical even though it may be flawed or self-serving,把自己的理论或说法加以推敲，使之合乎逻辑，使人信服,自分の立場を正当化するために、理論や説明を作り上げる。
3327,自怨自艾,self-complaining and self-pitying; blaming oneself and indulging in self-reproach,自己为自己的不幸或失败而懊悔、抱怨,自分自身を責めて悔やむこと。自分自身に対して不満や後悔を感じること。
3328,臭不可当,"extremely stinky, unbearable",形容品质或能力极差，令人无法容忍,非常に臭い
3329,臭皮囊,a worthless or obnoxious person,指外表好看，内在却很差劲的人或物,見た目は良くありませんが、中身は価値がない、役に立たない人や物を指します。
3330,臭名远扬,"""infamous"" or ""notorious""",因坏事被广泛传播，声名狼藉,悪名高く知られる
3331,臭气熏天,having an extremely bad smell; also refers to a situation or behavior that is generally disliked or criticized by others,气味非常难闻，形容极其令人讨厌或恶心的事物,非常に不快で耐え難い臭いが充満している
3332,臭味相投,to be like-minded; to have similar tastes or interests; to get along well with someone because of common characteristics or shared opinions,指人品行、爱好等相近，合得来,志の合う者同士で、気が合って仲良くなること
3333,至理名言,profound and wise saying,指非常有道理的名言或格言,最も優れた理論や名言
3334,至高无上,supreme and unmatched,形容地位、权力极高，无人能够超越或企及,最高の、最も優れた
3335,至死不变,remain unwaveringly loyal or committed till death,坚定不移地始终如一,死ぬまで変わらない
3336,至死不悟,refusing to change or learn from mistakes even until death,固执到底，始终不改正错误或认识到真相,死ぬまで悟らない
3337,与虎谋皮,seeking benefits from dangerous people or situations,与强敌合作，只会给自己带来危险,危ない目にあってまでも得ようとする人と一緒に手を組むこと
3338,与众不同,"""different from others"" or ""standing out from the crowd""",不同于其他人，独特、突出的,一般の人とは異なる特徴や行動を持っている
3339,与世长辞,"""to depart from the world"" (usually referring to death)",指人去世，离开这个世界,世間を離れること、世捨て人となること。
3340,与世无争,"""unconcerned with worldly affairs"" or ""not contending with the world""",形容人生活在世上，不与人争斗，安于自己的一份简单的幸福中,世俗的な争いや闘争から遠ざかって生きる
3341,与日俱增,"growing day by day, gradually increasing",逐渐增加，越来越多,日に日に増加する
3342,与人为善,be kind to others,形容待人友善，关心他人的幸福与福祉,他人との関係を大切にし、善意をもって接する
3343,兴风作浪,to cause trouble or create chaos,制造麻烦，引起混乱,騒ぎや混乱を引き起こす
3344,兴利除弊,to promote benefits and eliminate drawbacks,通过采取一些措施来增加利益，并消除问题或弊端。,利益を増やし弊害を取り除く
3345,兴高采烈,be in high spirits; be filled with joy and excitement,形容非常高兴、喜悦的样子,非常に喜びや興奮があり、幸せで楽しい気持ちでいる
3346,兴致勃勃,full of enthusiasm and excitement,非常有兴趣、情绪高涨的样子。形容心情豪迈，充满活力和热情,興味や関心が高まり、活気に満ち溢れている
3347,兴师动众,mobilize a large number of people or resources,动员全体人员，使他们行动起来，多指军队行动,大勢を動員して物事を進める。
3348,兴师问罪,to personally lead troops to capture and interrogate the enemy leader,追问责备，借助武力或者外援迫使敌人交出犯罪分子以便追究公正对待的目的,相手の行為や言動に対して厳しく責任を問い、謝罪や償いを求めること
3349,兴妖作怪,to cause trouble or chaos,比喻某种邪恶势力或不良影响活跃起来，作恶多端,妖怪や魔物を駆り立て、悪さをする。
3350,兴味索然,"to be bored or uninterested in something, lacking enthusiasm or excitement",形容对事物失去了兴趣，觉得乏味无聊,興味や関心が薄れて、どんなに頑張っても面白くない
3351,举不胜举,an endless list or an abundance of examples,形容举例、列举的事物太多，无法全数叙述,例示することができないほど多い
3352,举目无亲,no relatives or friends around; feeling isolated or friendless,没有亲戚朋友，没有可以依靠的关系,誰の助けも頼れず、孤立している状態である。
3353,举国上下,the entire nation; from the highest to the lowest levels of society,指整个国家，从最高到最低，各个方面都包括在内。,国中のすべての人々
3354,举棋不定,to be indecisive or unsure about what to do,犹豫不决，无法下定决断,一つの選択肢に決めることができず、どちらにするか迷っている状態。
3355,举世瞩目,"attracting worldwide attention, being highly regarded and anticipated",引起全世界的关注和注意,世界中の注目を集める
3356,举世无敌,"unbeatable, invincible on a global scale",无人能敌；在全世界都无人能比得上的,世界中に敵がいないほど、非常に強力で優れている
3357,举世无双,Unmatched in the world,没有任何一个人或物可以与之相比或媲美,世界に類を見ない、誰もが比べることのできない。
3358,举世闻名,world-renowned; known throughout the world,被全世界所知道、知名度很高,世界中に知られて有名なこと
3359,举足轻重,playing a pivotal role,游戏禁忌,重要な地位や役割を持つ。他の人々にとって影響力がある
3360,举措失当,improper actions or measures,指措施、方法不恰当，不得当,行動や決定がうまくいっていない、適切でない
3361,举一反三,to draw an inference about general principles from a single instance,能够从一个具体的事例中推广并应用于其他类似的情况,1つの例から共通の原理や法則を見出し、それを応用して他の問題を解決する。
3362,旧瓶装新酒,put old wine in new bottles,比喻形式新而内容陈旧的东西,新しいものに見せかけて、実は古いものを再利用していること。
3363,旧地重游,"returning to a place one used to visit, often with a nostalgic or sentimental feeling",再次回到曾经熟悉或重要的地方,昔の場所に再び訪れること
3364,旧调重弹,repeating the same old tricks or methods,重复以前的话或做法，缺乏创新或新意,古い調子で再び演奏する
3365,旧恨新仇,holding a grudge against someone new for an old grievance,比喻原来的恩怨已经不能忘记，同时又结下了新的仇恨,過去の恨みに加えて新たな敵意も持つこと
3366,旧仇宿怨,deep-seated hatred or longstanding grudge,指长期的仇恨和怨恨,過去の恨みや因縁
3367,舌敝唇焦,to talk so much that one's mouth becomes dry and lips become chapped,形容说话过多而干燥生痛,話すことができずにイライラしたり、焦ったりする状態。
3368,舞文弄墨,to engage in academic or literary pursuits without practical purpose,形容追求文学知识或在文字方面花费过多的时间和精力,文学的な言葉や書記を操ること。また、根のものの見えないことだけがわかるように装ったもの。
3369,良辰美景,beautiful scenery and a good time; refers to a pleasant and enjoyable moment or environment,美好的时光和景色,美しい時間と風景。快適で穏やかな環境や情景を指す。
3370,良师益友,Good teacher and helpful friend,指对自己有益的老师和朋友，能教导自己学习、成长,優れた教え手や助けになる友人
3371,良药苦口,bitter medicine tastes best,指好的药虽然效果好，但口感却不好，比喻做好事有时不受人欢迎,効果のある薬は苦く、受け入れるのは難しいが、健康に良いものである
3372,良药苦口利于病，忠言逆耳利于行,Good medicine tastes bitter but is good for the illness; words of advice may sound harsh but are good for action.,好的药虽然口感苦，但对疾病有益；忠实的劝告虽然听起来不顺耳，但对行为有益,苦口医薬は病気に良く、忠告は不快な耳に効果的
3373,良莠不齐,good and bad are mixed together,好的和坏的没有分别，混杂在一起,質を統一していない、品質が不均一である
3374,艰难竭蹶,struggling and exhausting all efforts,形容困难重重，处境十分艰难,困難や苦労を尽くす
3375,艰难曲折,arduous and full of twists and turns,形容事情进行困难，经过曲折的过程,困難で複雑な道
3376,艰难险阻,difficult and dangerous obstacles,形容情况困难险恶，难以克服或通过,困難な状況や障害に直面すること
3377,艰苦朴素,"simple and frugal, enduring hardship",指生活简朴，克己奉公的品质,困難な状況に直面しても、質素で簡素な生活を送る
3378,艰苦奋斗,to work hard and struggle in difficult circumstances,面对艰难困苦，进行顽强努力,困難な状況や苦境に立ち向かい、努力を重ねること
3379,艰苦卓绝,extremely challenging and outstanding,形容困难异常严重，但能取得辉煌成就,非常に困難で、非常に優れている
3380,色厉内荏,seem fierce but actually timid or weak,外表凶狠，内心软弱,見た目は強気だが実は内弱い
3381,芒刺在背,"to feel uneasy or nervous, as if there is a thorn stuck in one's back",使人感到痛苦、不安,背中にとげのある感じがすること、あるいは他人の言動が自分に刺さると感じること
3382,花天酒地,"living a life of luxury and indulgence, engaging in excessive pleasure-seeking activities such as partying and drinking",放荡不羁，过着纵欲放肆的生活,豪華な生活や浪費をすること
3383,花团锦簇,"a scene of beauty, with colorful and extravagant decorations",形容景物美丽多彩，繁花似锦的样子,華やかで鮮やかな様子や景色。多くの花や装飾品に彩られた美しい光景。
3384,花好月圆,"an ideal and harmonious state, often used to describe a happy and blissful marriage or life",婚姻和家庭美满幸福,恋人同士が幸せで愛し合い、関係が円満であることを指す
3385,花花公子,"a playboy, a man who indulges in a lavish and promiscuous lifestyle",指好玩但不拿自己当一回事，对待女性极不认真的男子,華やかに振る舞い、女性にモテる男性
3386,花花世界,"world of vanity and pleasure, typically associated with materialistic pursuits",形容社会生活五花八门，极其丰富多彩，但其中有许多虚幻和欺骗。,華やかで派手な外見や環境がある社会
3387,花枝招展,"to appear attractive and eye-catching, especially in terms of appearance or attire",形容女子装扮得十分艳丽漂亮,華やかで魅力的な様子や振る舞いをすること
3388,花朝月夕,"short-lived, fleeting or temporary",形容时间过得很快，一晃就过去了,短い時間しか続かない美しい瞬間
3389,花言巧语,using sweet words and flattery,用华丽而空洞的辞藻巧妙地哄骗人,偽りの言葉や美辞麗句を用いて相手をだますこと。また、上手に口先で相手をおだてたり巧みに扱ったりすること。
3390,苛捐杂税,excessive and burdensome taxes and levies,指过分苛刻的捐税和杂税，也泛指任何过于繁重的负担,厳しい寄付や税金
3391,若明若暗,"being neither completely obvious nor completely obscure, having an unclear or ambiguous appearance",明暗不分明，不明不暗。形容言行不明确，模棱两可,明るさと暗さの中間であり、はっきりとした状況ではない。情報や知識が十分ではないため、一部は理解できるが一部は理解できていない状態を指す。
3392,若即若离,neither being completely present nor completely absent; keeping a distance or ambiguity in a relationship,形容关系亲近而又保持一定的距离，不过分亲近也不过分疏远,続けていても、離れていても、関係がある。
3393,若要人不知，除非己莫为,"If you don't want others to know, don't do it yourself",人们不知道，除非自己不去做。形容自己做错事情不能隐瞒过去,人に気づかれないようにするには、自分で行動しない限り無理である
3394,若有所失,feeling a sense of loss or something missing,形容感觉到丧失了什么，不知道是什么丧失的东西。,何か重要なものや情報を見失っていて、不安や心配を感じる
3395,若有所思,seem to be lost in thought,形容人的思路清晰，似乎在思考问题,何かを考えているようす。考え深げな様子。
3396,若隐若现,to appear and disappear in a vague and elusive manner,暗示出现，模糊不清的样子,露出しすぎず、かといって完全に隠れることもなく、ちょうどいい塩梅で現れる
3397,若无其事,acting as if nothing has happened,形容对于已发生的事情或存在的问题，装作毫不在意，毫无所觉,何事もなかったかのように振る舞う
3398,苦大仇深,deep enmity and strong resentment,仇恨深重，不可调和,深い恨みや復讐心を抱くこと
3399,苦口婆心,giving sincere advice or heartfelt persuasion,形容劝告或教育别人十分慈爱、关心，用心良苦,真心からの忠告や助言を繰り返し行う
3400,苦海无边，回头是岸,"no matter how difficult a situation is, there is always a way out or a solution if one keeps trying",形容虽然困难重重，但只要坚持下去，最终会找到出路,苦難の海は果てしなく、引き返しは岸である
3401,苦尽甘来,"going from bitterness to sweetness, from hardships to rewards; experiencing difficulties or hardships before eventually enjoying success or happiness",经历艰苦困苦后，终会迎来好的结果,苦労を経て幸せが訪れる
3402,苦心孤诣,making great efforts and striving alone to achieve a goal,用尽心思、费尽心力来钻研和创造，以至于身边没有人可以给予意见或帮助,苦心を重ねて一つのこつを見つけ出すこと。
3403,苦心经营,putting great effort and care into managing or running something,用心，费心地经营,苦労してうまく経営すること
3404,英雄所见略同,"""Great minds think alike"" or ""like-minded individuals have similar views""",形容英雄见解高明，相互间意见一致,英雄の間では、意見や価値観が似ている
3405,英雄无用武之地,a hero who is in a place where his skills or abilities are not needed or cannot be utilized,人有才能或本领，而在某一方面却得不到发展或施展的机会。,才能や力を生かせる場所や機会がない状況にある
3406,英姿飒爽,elegant and spirited,形容人的仪态或气质优美、威武有力,颯爽とした姿勢や様子を持つ
3407,茁壮成长,growing up healthy and strong,形容事物蓬勃发展，生长强壮,健やかに成長する
3408,苟且偷安,"settling for temporary safety and comfort, compromising and not seeking better options",虽然生活条件不好，但只求暂时安稳过日子,ぞんざいな態度で、凌ぎを削って、一時的な安寧を求める
3409,苟延残喘,to barely survive or drag out a miserable existence,形容处境已极危险而又勉强支撑下去,間一髪で生き延び、がんばって生き続ける
3410,茫无头绪,"without any clue or direction, feeling lost or confused",形容心思杂乱，不知所措，无法理清思路,全く方針が立っておらず、何をすべきか分からない状態。
3411,茶余饭后,"after a meal or during leisure time, in a relaxed and comfortable setting",指饭后喝茶时，泛指日常生活的闲暇时间,食事や休憩の後、自由な時間を楽しむ
3412,茹毛饮血,to endure hardships and sufferings; to go through great difficulties,指处于艰苦条件下勉强生活。,困難な状況や苦境にもめげずに努力し、困難を乗り越える
3413,草木皆兵,being overly suspicious or seeing danger in every situation,过度紧张，疑神疑鬼,細かいことに気を使い、常に警戒する
3414,草菅人命,"to disregard human life, to treat human life as insignificant",对人的生命不重视，肆意伤害人的生命,人の命や安全を軽視する行為をする
3415,草草了事,to handle something hastily and without proper care or attention,匆忙了事，只求了结，不求完善,手を抜いて、あまり丁寧に取り組まないことで、仕事や任務を適当に終わらせる
3416,荒谬绝伦,extremely absurd and outrageous,非常荒唐可笑，超出常理的程度,ばかばかしくて信じられないほどのこと
3417,荒诞不经,"absurd and illogical, making no sense",指事物或言行荒谬奇特，不合常理,非現実的で合理的でない
3418,荒诞无稽,absurd and nonsensical,形容事情荒谬离奇，没有道理，不能成立,ばかげたこと、ありえないこと。
3419,荒时暴月,unpredictable and abnormal circumstances or events,"指荒年出满京口, 难以使人过上好日子，草木不甲乎时也。暴月人士不安顿之时也。意喻生活艰苦，困苦不堪。",経済的な不況時や政治的な混乱時に起こる大変な時期
3420,荒淫无耻,Indulgent and shameless,指人行为放纵低下，不知廉耻,猥褻で恥知らずな行為
3421,荒无人烟,a place that is completely uninhabited or deserted,形容荒凉，没有人迹,人跡未踏で人が住んでいない
3422,荼毒生灵,cruelly tormenting and causing immense suffering to innocent lives,指残害生命，使人们受苦受害,人々を苦しめ、害する
3423,莫名其妙,"baffling, inexplicable, or strange",形容事情或现象令人感到奇怪、难以理解,理解できない、不可解な
3424,莫逆之交,an extremely close and unbreakable friendship between two people,形容交情深厚，恩义相对的朋友关系,互いに非常に親しい友情関係で、長く続くことが期待される
3425,莫衷一是,"unable to reach a consensus or make a decision, being uncertain or indecisive",无法确定一个明确的意见或决定,答えが一つに定まらないこと。複数の意見があること。
3426,莫此为甚,to make matters worse; to do something excessively or unnecessarily,没事做得如此过分,これ以上はないほど最悪である
3427,莫测高深,"profound and difficult to understand, mysterious",形容人的学问或事物的内涵深奥高深，难以探究或理解,予測不可能なほど深く、理解し難い
3428,华而不实,"""showy but substanceless"" or ""superficially impressive but lacking in substance""",形容外表华丽，实际上没有真正的内涵或价值,見掛け倒し
3429,萍水相逢,to meet by chance; a fleeting encounter,比喻像浮萍一样随波逐流，无法长久交往,偶然に出会う
3430,萎靡不振,"feeling weak and lackluster, lacking energy and enthusiasm",精神衰弱，无力行动,元気がなくて、活気を欠いている
