id,idiom,en_meaning,zh_meaning,ja_meaning
1901,in tune (with somebody/something),to be in agreement or harmony with someone or something,与某人/某事情协调一致,（誰か/何かと）調和している; 同じペースで動いている
1902,in two shakes,very quickly or soon,非常迅速地，很快地,非常に短い時間
1903,in two shakes of a lamb's tail,very quickly; in a very short amount of time,立刻，迅速,とても速く、即座に
1904,in vain,to do something unsuccessfully or without success,徒劳无益,無駄に、徒労に終わる
1905,in your blood,something that is inherent or natural to someone,在你的血液之中，指的是某事情或某种特性深深根植于一个人的性格或身体之中,ある特定の特質や能力が何かにとって自然なものである、または世代を通じて続く、受け継がれること。
1906,in your dreams,to express disbelief or dismissiveness towards something as being impossible or highly unlikely,做梦吧，不可能实现,夢の中で起こることだけが起こるかもしれないこと。または、非現実的で実現不可能なことを願うこと
1907,in your element,to be in a situation or environment where one is comfortable or confident,处于熟悉或舒适状态；在自己最擅长的领域中,得意な状態である。自分のスキルや才能を最大限に生かしている状態である。
1908,in your face,confrontational or boldly aggressive; intentionally provocative or assertive,公然挑衅或咄咄逼人的行为,直接的または攻撃的な態度を持つ
1909,in your sights,to have someone or something as a target or focus,对某人或某物有兴趣、关注、追求或警惕,狙いを定めた、注目している、追跡している
1910,inside job,an act or crime committed by someone within an organization or group,内部人员干的事情,内部で起こる犯罪や不正行為
1911,into a jam,to get into a difficult or challenging situation,陷入困境，处于困难或棘手的情况中,困った状況に陥る
1912,into thin air,to disappear suddenly or without a trace,无影无踪地消失,消えてしまう、証拠も残らずに何もなくなる
1913,it ain't over till the fat lady sings,the outcome is uncertain until the very end,事情还没有结束之前，可以发生任何事情,大事が終わるまで終わったことではない
1914,it beats me,It is beyond my comprehension or understanding,我不知道，我弄不明白,私には理解できません
1915,it depends…,the answer or outcome is not definite and can vary depending on different factors or circumstances,视情况而定,状況による
1916,it goes without saying,it is obvious or self-evident,不言而喻,言うまでもない
1917,it has someone's name on it,it is specifically intended for or destined for someone,这是为某人准备的；适合某人,それは誰かのために用意されている
1918,it is a Deal,an agreement or arrangement has been made and is agreed upon,这是一笔交易,それで合意です
1919,it is a poor workman who blames his tools,An incompetent person will often make excuses or shift blame onto their tools or equipment rather than admitting their own lack of skill.,埋怨工具不好的人是差劲的工人,道具のせいにするものは下手な職人である
1920,it is always darkest before the dawn,difficult times often come right before things get better,黎明前总是最黑暗的,夜明けが来る前はいつも最も暗い
1921,it is written all over your face,"to be very obvious or evident, often through one's facial expression",这清楚地写在你的脸上,顔に書かれている、思っていることが顔に出ている
1922,it never rains but it pours,to experience a series of unfortunate events or problems all at once,不幸不单单是一件事情，而是接二连三地发生。,不運な出来事が一度に襲い掛かること
1923,it takes one to know one,someone who possesses a certain negative quality or behavior can easily recognize that same quality or behavior in others,看过光自己也以为别人都是同样的人,同類を知るもの
1924,it takes two to tango,Both parties involved are responsible for a situation or argument.,一个人不能独自完成某个任务或达成某个目标，需要另外一个人的合作,一人ではできないことを成し遂げるためには、二人の協力が必要である
1925,it totally slipped my mind,to completely forget about something,完全忘记了,完全に忘れてしまった
1926,it's a jungle out there,"referring to a difficult, dangerous, or competitive situation",外面是个丛林，指外面的世界充满竞争和困难,外はジャングルのようだ
1927,it's a piece of cake,It's very easy.,轻而易举，非常容易,とても簡単なこと
1928,it's a small world,"referring to the surprising or coincidental encounters with unfamiliar people or experiences in unexpected places, suggesting that the world is interconnected and events are not as random as they may seem",世界真小,世界は狭いものだ
1929,it's about time,"to express that something should have happened or been done earlier, often implying a sense of frustration or impatience",终于到时候了,とうとうその時が来た
1930,it's all Greek to me,I don't understand it at all,对于我来说完全不能理解；非常难懂,それは全く理解できない
1931,it's all gone Pete Tong,to go wrong; to become a disaster,事情已经完全糟糕了,すべてうまくいかない、混乱している
1932,it's anyone's call,it is uncertain or unpredictable; it could go either way,这是个谁也说不准的事情,誰にでも予測がつかない、判断ができる状況、結論
1933,it's not rocket science,It's not difficult; it's not complicated,这不是神秘莫测的东西，非常简单,それは難しくない、簡単だ、または明らかなことだ
1934,it's raining cats and dogs,it is raining heavily,雨势非常大,雨が激しく降る
1935,itchy feet,an urge or desire to travel or move from one place to another,想去旅行或探险的冲动,旅行や新しい冒険を求めて落ち着かない状態になっている
1936,its not rocket science,something that is not difficult or complicated,这不是火箭科学,それは難しいことではない
1937,it's a long story,referring to a story or explanation that is complicated or takes a significant amount of time to tell,这是一个复杂的故事,長い説明が必要な話
1938,it's a piece of cake,Something is very easy or simple.,这是一件非常容易的事情,それは簡単なことだ。
1939,it's anyone's call,"the outcome or decision is uncertain or unpredictable, and could go either way.",无法预测，任何人都无法确定的事情,誰にでも予測できる
1940,it's early days yet,it's still early in the process and too soon to draw any conclusions,这只是刚刚开始的时候,まだ初期段階である。まだ時間がかかる。まだ結果が見えていない。
1941,it's your funeral,Used to say that someone's actions or decisions will have bad results and that it is their own responsibility or fault.,这是你的事情。,あなたの決断、行動による結果はあなた自身の責任である
1942,ivy league,"refers to a group of prestigious universities and colleges in the United States, known for their academic excellence and selective admissions process",常春藤联盟,アイビー・リーグ
1943,i'll eat my hat,I am absolutely certain; I am willing to do something drastic if I am proven wrong.,表示对某事非常肯定，尽管看起来不太可能发生。,「絶対に起こらないであろうこと」または「あり得ないことに対しての強い信念を示す」
1944,i'm hosed,situation is hopeless or in serious trouble,我完了,完全に困っている、詰んでいる
1945,i'm on my way to…,I am in the process of going to...,我正在赶往...,私は…に向かっている途中です。
1946,jack Palancing,"There is no known English idiom ""jack Palancing"".","There is no known Chinese meaning for the English idiom ""jack Palancing"".","This is not a common idiom in English, so there is no established Japanese meaning for it."
1947,jack of all trades,a person who can do many different types of work but who is not necessarily very competent in any of them,样样都精通的人,万能の人、何でも屋
1948,jack-of-all-trades,"a person who has a wide range of skills or abilities, but is not necessarily an expert in any particular one",多面手；通才；万事通,何でも屋
1949,jam jar,a difficult or complicated situation,拥挤或过度充满的容器,金銭的な困難や負債、経済的な問題に立たされること
1950,jam on the brakes,To suddenly and forcefully apply brakes in a vehicle.,紧急制动、猛踩刹车,非常に急に停止すること、通常は危険を避けるために行われる
1951,jam tomorrow,the promise of future happiness or success that never materializes; often used to describe a situation where someone is being misled or deceived with false promises,明天才能享受的东西或承诺,将来の約束、現実的ではない将来の幸運や成功の期待
1952,jangle someones's nerves,to annoy or irritate someone greatly,让某人神经紧张；激怒某人,誰かの神経を逆撫ですること。誰かをイライラさせること。
1953,jekyll and Hyde,"to have a dual personality or to exhibit contrasting behavior or characteristics, often marked by a sudden and unpredictable change",两面派或矛盾的行为方式或性格,「ジキルとハイド」とは、一人の人物が二重人格を持っており、一方は善良で優しい性格であり、もう一方は邪悪で残忍な性格であるという意味です。
1954,jelly belly,someone who is cowardly or lacks courage,有一些肚子肥的肚子,ぽっこりお腹
1955,jimmy Riddle,To urinate,去上厕所,ジョニー・ミゼリア
1956,jobs for the boys,"the practice of giving preference or favorable treatment to one's friends or associates, typically in hiring or awarding positions or contracts",利用个人关系为亲近的人提供就业机会,身内に仕事を回す、特定のグループの人々に対して仕事や特典を提供すること
1957,jockey for position,to compete or maneuver in order to gain an advantage or better position,为了争夺有利地位而竞争或斗争,地位や優位性を得るために策略を巡らす
1958,joe Bloggs,"An average, ordinary person, often used as a placeholder name for someone whose name is unknown or unimportant",普通人；平凡人,普通の男、平凡な人、ありふれた人
1959,john Hancock,someone's signature,个人签名或署名,自分の署名
1960,join _ club,to express sympathy or solidarity with someone who is experiencing a particular difficulty or problem,加入某个团体或群体中的人在感受和经历上与其他人相似。,（同じような問題や困難を抱えている人々のグループに）加わる
1961,join the club,to express solidarity with someone else who is experiencing a similar difficulty or frustration,和很多其他人一样，在同样的状况下,同じような経験を持つ人々と共感できる
1962,joined at the hip,extremely close or inseparable,紧密结合或密切相关,腰の一場所にずっと付き合っている、非常に親しい関係である
1963,joshing me,teasing or joking with me,拿某人开玩笑，捉弄某人,からかっている、冗談を言っている
1964,jot or tittle,to include even the smallest details or arrangements,字母i或t上的一点或一条，指微不足道的细节或差异,細かな詳細や細工にも注意を払う
1965,judgment call,a decision or choice based on one's own judgment or opinion,判断力强或即兴决策，在没有明确规则或指导的情况下做出决定,判断による決定
1966,jump _ gun,To act prematurely or before all the necessary preparations have been made,急于行动，尤其是在时机尚未成熟的时候,先走る
1967,jump down someone's throat,to react angrily or harshly to someone,激烈抨击或责备某人,言いすぎる; あからさまに非難する
1968,jump in at _ deep end,to start a new or challenging task without proper preparation or experience,立即投入一个新的、复杂或困难的情况，而没有预先的准备或经验,_の深いところからに飛び込む
1969,jump in at the deep end,to start a new and challenging task or situation without any prior experience or preparation,从深水区开始，迅速投入到一项新的活动或情况中，而不事先做好准备,深い所で急に飛び込むこと、新しい経験や挑戦に直面すること
1970,jump on the bandwagon,to join or support a popular trend or cause,跟风，随大流，盲从,流行に乗る
1971,jump ship,"to abandon or leave a situation, especially a difficult one, often for a better alternative",背叛、离职或离开一个团队、组织或计划以寻求更好的机会、利益或前景,職場や団体から突然去ること、特に問題や困難がある場合
1972,jump the gun,"to start doing something too soon, before it is appropriate or before the necessary preparations have been made",过早地行动；做事冲动,事前に行動するか、まだ準備ができていない段階で進むこと
1973,jump the lights,to go through a red traffic light without stopping,闯红灯，违反交通信号规定,信号を無視する、赤信号で進む
1974,jump the queue,"to skip ahead in a line or queue, typically without permission or consideration for others",插队，不按顺序排队,待ち行列を飛ばす
1975,jump the shark,"to reach a point where something becomes ridiculous, absurd, or out of touch with its original purpose or quality",到达或过了顶峰或巅峰，进入衰退或走下坡路的阶段,劇中、物語の持続的な面白さや興味を失うほどに過剰な要素や展開を盛り込むこと
1976,jump the track,to deviate from a planned course of action or to lose focus,偏离原来的轨道；失去控制或计划,予定が外れたり、計画が順序から外れたりする
1977,jump through hoops,to go through a series of difficult or tedious tasks or requirements,迎合、屈服于别人的要求、需求或期望,困難なタスクや試練を乗り越えるために、非常にがんばる
1978,jump to conclusions,to form an opinion or make a judgment without having all the facts or information,草率地下结论，没有根据地做出判断,結論を急いで出すこと。証拠や情報を集める前に判断を下すこと。
1979,jury is out,the decision or conclusion has not been reached or is still uncertain,还没有确定的决定或结论；还没有达成共识,評決が出ていない
1980,just deserts,"getting what one deserves, especially when it is negative",应得的报应,当然の報いを受ける、妥当な処罰を受ける
1981,just in case,as a precaution or in anticipation of a future event or circumstance,以防万一；如果发生某事,万が一の場合に備えて
1982,just what the doctor ordered,exactly what is needed or desired in a particular situation,非常适合或正是需要的东西,まさに必要なもの、理想的な解決策
1983,kangaroo court,"an unfair or biased court or trial, often with a predetermined outcome",假庭，没有公正审判的法庭,妥当な手続きや公正な判断を欠いた裁判所や法廷のような状況、特に偏見や不正な手法での判決が予測される場所
1984,keen as mustard,to be very eager or enthusiastic about something,非常热衷、积极、有意愿,非常に熱心である、熱心だ
1985,keep _ cool,remain calm or composed,保持冷静的状态、不受情绪或压力的影响,冷静に保つ
1986,keep _ eye on,to watch or monitor closely and attentively,密切关注，留意,注意深く監視する
1987,keep _ eye open,to remain vigilant or watchful,密切注意,注意深く見る/見張る
1988,keep _ eyes peeled,to remain alert and watchful,保持警惕，密切留意，保持眼睛睁得大大的,注意を怠らず、よく見る
1989,keep _ head above water,"to manage to survive or stay out of debt, especially with difficulty",勉力维持生计；勉强度日；勉强保持正常运作,何か困難な状況に直面しているが、なんとか状況をコントロールし続けること
1990,keep _ wolf from _ door,to have enough money to avoid hunger or poverty,使不饥饿或贫穷,貧困や飢餓といった困難な状況から逃れるために最低限の生活を維持する
1991,keep a civil tongue,to speak in a polite and respectful manner; to refrain from using offensive or rude language,保持礼貌和谦和的口舌,口をつぐめ、礼儀正しく話す
1992,keep a lid on,to keep something secret or hidden; to maintain control or restraint over something,控制或限制某事，使其不被公开或暴露,情報や秘密を一時的に隠しておくこと、または制御すること
1993,keep a low profile,"to avoid attracting attention or being noticed, typically in order to avoid trouble or unwanted attention",保持低调；不引人注目或扬名立万,目立たないようにする、控えめに振る舞う
1994,keep a straight face,"to maintain a serious or composed expression, especially in a humorous or difficult situation",面无表情；保持严肃的表情,真顔を保つ
1995,keep an eye on,to watch or monitor something or someone closely,密切关注某人或某事,注目したり見守ったりすること
1996,keep at arm's length,To maintain distance or avoid close involvement or contact with someone or something,保持与某人保持距离，保持冷漠或避免亲近的接触,距離を保つ、近寄らない
1997,keep at bay,to keep something or someone at a distance or under control; to prevent something from happening or getting closer,防止或维持在远处，尤其是对抗危险或威胁,距離を保ち続ける、絶えず注意を払って対処する
1998,keep body and soul together,To earn enough money to live and survive,维持基本生活需要；维持生计,生活費を稼ぎ続けること、生計を立てること
1999,keep in touch,to maintain contact or communication with someone; to stay connected or updated with someone,保持联系,連絡を保つ、交流を続ける
2000,keep me in the loop,to keep someone informed or involved in a particular situation or project,让我了解最新情况,私を情報に入れておいてください
2001,keep mum,"to remain silent, not reveal information, or keep a secret",保持沉默，不透露任何信息,黙っている、秘密を守る
2002,keep on trucking,to continue moving forward; to persevere; to keep going,坚持不懈,ずっと前進し続ける
2003,keep one's eye on the ball,to stay focused and attentive to the task at hand,保持专注，密切注意事态的发展,目標や重要なことに集中する、注意を怠らない
2004,keep one's eye open,to stay alert and watchful; to be vigilant,保持警惕；保持警觉,用心して見張る
2005,keep one's eyes peeled,to be vigilant or watchful,时刻保持警觉，特别关注周围环境，以便发现任何重要或潜在的危险、问题或机会。,注意深く見張るか観察すること
2006,keep schtum,to remain silent or keep quiet; to not speak or reveal information,保持沉默不语、不说话,黙っていること、秘密を守ること
2007,keep somebody in stitches,to make somebody laugh uncontrollably,使某人捧腹大笑，逗某人开心,誰かを笑い続けさせる
2008,keep someone in the dark,to intentionally withhold information from someone,不让某人了解某事，对某人隐瞒某事,誰かに情報を隠し続ける、詳細を知らせないこと
2009,keep someone posted,To keep someone informed or updated about a situation or information,及时告知某人最新消息,誰かに最新情報を教え続ける
2010,keep tabs on,to monitor or keep a watchful eye on someone or something,密切注意或监视,監視する
2011,keep the peace,to maintain a state of harmony or prevent conflict,维持和平，保持秩序，避免冲突,平和を維持すること。紛争や争いを回避し、秩序を守ること。調和を保つこと。
2012,keep the wolf from the door,to have enough money or resources to prevent hunger or poverty,勉力维持生计；勉力糊口,貧困や飢えを防ぐために生計を立てる
2013,keep up appearances,"to maintain a façade or pretend to be of a certain status or condition, often despite underlying problems or difficulties",保持表面形象,見かけを維持する
2014,keep up the good work,to continue doing well in your current efforts or performance,继续保持良好的工作,頑張り続けて
2015,keep up with the Joneses,to strive to match or exceed the lifestyle or possessions of one's neighbors or peers,攀比，竭力迎合别人的标准或生活方式,他人と比べて物や生活のレベルを高めようとすること。他の人々と同じ生活水準を維持しようとすること。
2016,keep your chin up,to remain optimistic or cheerful in a difficult or challenging situation,保持乐观；振作起来,頭を上げて前向きになる。困難や苦難に立ち向かい、勇気を持つ。
2017,keep your cool,"to remain calm and composed, especially in a challenging or stressful situation",保持冷静，不受困扰，保持镇定，不失态,冷静である; 落ち着いて対処する
2018,keep your eye on the ball,to stay focused and attentive; to remain aware and attentive to important details or tasks,专注于重要的事情或任务，不被其他事情分散注意力,目標や重要なことに集中する。注意を向ける。注意を逸らさない。
2019,keep your eyes peeled,"to stay vigilant or alert, to pay close attention to one's surroundings",保持警惕，密切关注,注意して見つめること
2020,keep your fingers crossed,"to hope for good luck or success, often while facing uncertainty or adversity",祈求好运；希望好事发生,幸運を願い、成功を祈るために、何かを応援する
2021,keep your friends close and your enemies closer,"Be vigilant and maintain a close watch on people who may pose a threat to you, as they may be harder to defeat if you underestimate them.",与朋友保持亲近，与敌人保持更亲近,友人を近くに、敵をもっと近くにおきなさい
2022,keep your hair on,to remain calm or composed,保持冷静，不要激动或失去控制,落ち着いて、冷静に行動するようにする
2023,keep your head,"to remain calm and think clearly, especially in a difficult or stressful situation",保持冷静或镇定，尤其在困难或紧张的情况下,冷静さを保つ、落ち着いている
2024,keep your head above water,"to manage to cope with a difficult situation, especially when you have financial problems, or too much work",勉力维持生计或保持正常运转,困難な状況で頭を冷静に保つ; 立ち直る努力をする
2025,keep your nose clean,to stay out of trouble; to avoid doing anything wrong or illegal,保持良好的行为；避免麻烦,トラブルや問題を避けるために行動する
2026,keep your nose to the grindstone,to work hard and diligently; to stay focused on tasks and not be easily distracted,勤奋工作；专注于工作或任务,一生懸命に働くこと
2027,keep your options open,"to not commit to a specific course of action, leaving possibilities available",保持选择的余地,将来の可能性を残し続ける。選択肢を柔軟に保ち続ける。
2028,keep your pecker up,keep your spirits up; stay positive,保持乐观，坚持下去,元気を出して頑張る
2029,keep your powder dry,to be prepared and ready for a future opportunity or event; to exercise caution and restraint in order to protect oneself,保留力量或资源，以备不时之需,用意を怠らない、機会を逃さないようにする、または準備を整えておくこと
2030,keeping _ fingers crossed,hoping for good luck or a positive outcome,祝愿某事成功或好运的希望或期待,願い事が叶うように、幸運を祈って
2031,keeping my fingers crossed,to hope for good luck or success for oneself or someone else,祈祷好运; 表示希望某事成功,祈っている、願っている、幸運を祈っている
2032,khyber pass,to go bankrupt or suffer a major financial loss,最艰巨的任务或挑战之一,山岳地帯の関門
2033,kick _ bucket,to die or pass away,去世,死ぬ、亡くなる
2034,kick against the pricks,"to resist or object to authority, rules, or constraints, often resulting in difficulties or setbacks",与现实或权威抗衡；反抗无果,無駄な抵抗や反抗する
2035,kick ass,to strongly and effectively confront or overcome a challenge or obstacle; to achieve success or victory in an impressive or forceful manner,打败或克服困难或敌人的表现，通常充满自信或强大的力量,大成功を収める
2036,kick over the traces,to rebel or break free from established rules or expectations,违抗规则或限制,制限や規則を破る、自由に振る舞う
2037,kick the bucket,to die,去世、死亡,死ぬ
2038,kick the can down the road,"to postpone a decision or action, especially in a way that shifts the responsibility to someone else or to the future",将问题推迟到将来解决，而不是立即解决,問題や決定を将来に先延ばしにする
2039,kick the habit,to stop a bad or unhealthy habit,改掉坏习惯,習慣から抜け出す、癖を断つ
2040,kick up a fuss,to make a big commotion or protest about something,大惊小怪；大惊小怪；大惊小怪,騒ぎを起こす、大騒ぎをする
2041,kick up a stink,to create a commotion or uproar; to make a big fuss about something,大声抗议、制造麻烦、引起公愤或引起轩然大波,騒ぎを起こす、激しく抗議する。
2042,kick up your heels,"To enjoy oneself, often by engaging in lively or boisterous behavior",放松、尽情享受或狂欢,のんびりと楽しむ、リラックスする
2043,kicking and screaming,reluctantly or with resistance,不情愿地被迫做某事，表现出极大的抗拒或反对,激しく抵抗する、もめる
2044,kill the fatted calf,"to celebrate extravagantly, especially after a long absence",盛情款待某人，尤指欢迎热烈地迎接某人的到来,特別な機会や訪問者のために贅沢なもてなしをすること
2045,kill the goose that lays the golden egg,to destroy a valuable or profitable resource out of greed or short-sightedness,杀鸡取卵,黄金の卵を産むガチョウを殺してしまう。自分の利益を追求するあまり、長期的な利益を損なうこと。
2046,kill the goose that lays the golden eggs,to destroy a valuable or beneficial resource or opportunity in pursuit of immediate gain,杀了下金蛋的鹅,黄金の卵を産む鵞鳥を殺す
2047,kill time,"To occupy oneself with an activity to pass the time, especially when waiting for something or someone",消磨时间,暇つぶしをする
2048,kill two birds with one stone,to accomplish two tasks or objectives with a single effort or action,一箭双雕,一石二鳥を達成する
2049,king of beasts,referring to a lion as the most powerful or dominant animal in a group of animals,百兽之王,獣の王
2050,kiss and make up,to reconcile or resolve a disagreement or conflict,和解并重归于好,喧嘩や不和の後、仲直りをする
2051,kiss and tell,"to reveal intimate or private information, especially about a romantic or sexual relationship, often for personal gain or to sensationalize",对他人隐私泄露，尤指在性关系方面,セックスや浮気の経験を公に話すこと
2052,kiss ass,to excessively flatter or try to please someone in order to gain favor or advantage,拍马屁，巴结,ごまをする、おべっかを使う、おせじを言う
2053,kiss of death,an action or event that causes a person or thing to fail or die,致命的打击、厄运或失败,破滅的な効果や影響を与えるものまたは行動
2054,kiss of life,to give someone or something a second chance or revive them from a dire situation,生命之吻,命のキス
2055,kissing cousin,"someone who is closely related or closely connected, often in a way that is slightly suspicious or not entirely appropriate",表达两个人关系密切，但并非血亲的说法,直接の血縁関係があるが、親しくない人
2056,kith and kin,one's friends and family; one's close and familiar relationships,亲戚朋友；家人和亲友,親戚や親しい人たち
2057,knee jerk reaction,"an immediate and automatic response, often without careful thought or consideration",膝反射反应，指没有经过深思熟虑的即时反应或反应。,衝動的な反応をすること
2058,knee-trembler,an informal sexual encounter,机会性性交；短暂或匆忙的性爱,立って行う性交
2059,knight in shining armour,"someone who comes to the rescue or provides assistance, especially in a chivalrous and heroic manner",一个勇敢、有魅力且有能力解救别人或提供帮助的人,輝く鎧を身につけた騎士
2060,knit one's brow,"to furrow or wrinkle one's forehead, often indicating deep concentration, confusion, or concern",皱眉，表示担忧、困惑或集中精力的状态,額にしわを寄せる
2061,knock it off,to stop doing something or to stop bothering someone,停止，收手，放弃，住嘴，闭嘴，不要再做或说某事,それをやめる; それを中止する
2062,knock on wood,To hope that something will not happen or to bring good luck by touching or knocking on something wooden,敲木头,お守りの意味をこめてあることが起こらないよう願う
2063,knock on wood (touch wood),"To hope that something will happen as planned or to bring good luck, often by touching or knocking on wood to avoid tempting fate.",敲木头（拍木头）表示希望所说的不幸不会发生。这被认为是一种迷信，敲击木头可以避免霉运或不幸的发生。,木に触れる（木を叩く）
2064,knock one's socks off,to greatly impress or astound someone,非常激动或吃惊到无法言喻,非常に驚いたり感動したりすること
2065,knock out,to defeat or overcome someone or something with great force or impact,使某人或某物筋疲力尽、完全击败或昏迷,完全に倒す、無力化する
2066,knock someone's block off,to punch or hit someone very hard,重重地打击某人; 殴打某人,誰かを殴り飛ばす、暴力をふるう
2067,knock someone's socks off,To greatly impress or amaze someone,令某人彻底惊讶、惊艳或印象深刻,誰かを徹底的に感動させる、圧倒する、興奮させる
2068,know _ ropes,"to be experienced or knowledgeable about a particular task, job, or situation",熟悉（特定领域）的技巧和方法,経験や知識を持っていること
2069,know no bounds,to have no limits or boundaries; to be limitless or boundless,无边无际,制約や限界を知らない。無制限である。無限である。
2070,know something inside and out,"to be extremely knowledgeable or familiar with something, to know every aspect or detail of it",对某事非常熟悉，了解其内外,ある物事を非常によく知り、理解している
2071,know something inside out,"To be very familiar with something, to know it very well.",熟悉某事物至极，了解得透彻,何かを非常によく知っていること
2072,know the ropes,"to be familiar with the procedures, rules, or details of a particular situation or task",熟悉、了解并掌握某个领域、行业或活动的技巧与要领,ノウハウを持っている、あるいは仕事や任務を知り尽くしていること
2073,know the score,to understand the situation or be aware of the important details,了解情况或了解真相,実情を理解している
2074,know which way the wind is blowing,"to understand the current trends, opinions, or circumstances in order to be able to act appropriately or make advantageous decisions",理解当前形势或态势并做出相应的反应,状況や動向を正しく察知できる、変化を予測できる
2075,labor of love,work done for personal enjoyment or fulfillment rather than for payment or recognition,为了喜爱的事情而努力工作，甚至不计较报酬,愛情や情熱に基づく仕事または活動
2076,labour of love,"doing something out of passion, interest, or love, rather than for personal gain or reward",自愿、出于兴趣而做的工作,愛と情熱を注ぐ労働
2077,lame duck,an elected official who is nearing the end of their term and therefore has less influence or power,无法有效行动或产生影响力的人或组织,効力や影響力を持たない人またはもの
2078,land of nod,to be asleep or in a state of sleep,睡眠的地方，即梦乡,目を閉じて眠っている状態
2079,larger than life,"exaggerated or extraordinary in character, appearance, or significance",大于生活,普通の人よりも大きく、目立つ存在
2080,last but not least,to emphasize the importance of something or someone that is mentioned last,最后但同样重要,最後になるが最も重要である
2081,last hurrah,the final or last effort or opportunity to do something,最后的辉煌；最后的一搏；最后的尝试,最後の大活躍
2082,late unpleasantness,referring to a past event or situation that was difficult or unpleasant,过去的困扰或冲突,過去の困難や悪い経験
2083,laugh all the way to the bank,"to be very pleased or satisfied with the amount of money one has earned or gained, often despite others thinking it is undeserved or unlikely",大笑着到银行去,納得のいく取引や成功を達成し、喜んでいることを意味する。
2084,laugh like a drain,To laugh very loudly and uncontrollably,笑得很大声或很尽兴,大笑いする
2085,laugh up _ sleeve,to have a secret plan or advantage,暗自窃笑；暗中幸灾乐祸,相手を見下すために、内心で笑いながらその人を馬鹿にする
2086,laugh up your sleeve,to secretly find amusement or satisfaction in someone else's misfortune,暗中嘲笑或幸灾乐祸,こらえた笑い、内心のほくそ笑み
2087,laughing stock,someone or something that becomes an object of ridicule or mockery,被嘲笑或嘲笑的对象,笑われる対象
2088,laughter is the best medicine,laughter and humor can have a positive and healing effect on a person's physical and emotional well-being,笑是最好的良药,笑いは最良の薬である
2089,law of _ jungle,"the principle that those who are strong and aggressive will succeed, while those who are weak will fail",丛林法则；弱肉强食的原则,（自然の）法則、（競争社会の）生存競争のルール、野蛮な状況
2090,law of the jungle,the principle of survival of the fittest; a situation of fierce competition and chaos where only the strongest or most cunning survive,丛林法则；弱肉强食,弱肉強食の法則
2091,law unto oneself,to act independently and disregard rules or laws,凭自己意愿行事，不受他人规则限制,自分勝手な行動や決定をする人
2092,lay a finger on,to touch or harm someone,伤害某人；碰某人一下；动手打某人,触れるな、害を及ぼすな、または傷つけるなどの意図的な行為をしないように注意すること
2093,lay an egg,to fail or perform poorly,失败或出丑；表现糟糕或不合格,大失敗をする、または期待外れの成果を生み出す
2094,lay down _ law,to establish rules or regulations and ensure they are followed,宣布一项政策、规则或要求，并确定它们必须遵守,苛立ちまたは不満を表現するために厳しく指示する
2095,lay down the law,to assert one's authority or establish rules and expectations,明确规定或表达某种规则或要求,厳しいルールまたは要件を強制する
2096,lay eyes on,to see or behold someone or something for the first time,看见或注意到某人或某物，通常指第一次或很久没见到的情况,初めて見ること。
2097,lay odds,to make a prediction or estimation about the likelihood or outcome of something,下赌注，预测或评估可能性,賭ける、または確実性を評価する
2098,lead someone up the garden path,to deceive or mislead someone,欺骗或误导某人，使其相信错误的事情或方向,人を欺いて誤った方向へ導く、人をだます
2099,lean towards,have a tendency or inclination towards something; to prefer or be more likely to choose something,倾向于；偏向,傾向がある
2100,learn by heart,to memorize something completely or thoroughly,牢记，熟记。指通过反复学习和记忆来掌握某知识或技能。,暗記する
2101,learning curve,the rate of progress in gaining new knowledge or skills,学习曲线,学習の過程や進歩の速さ
2102,leave _ nest,to leave one's familiar or comfortable surroundings and become independent; to move out of one's parents' home and start living on one's own,离开家庭或舒适的环境，独立生活或工作,巣を離れる
2103,leave at the altar,to cancel or break off a planned wedding or commitment at the last minute,在婚礼当天抛弃伴侣；突然取消婚礼,祭壇で置き去りにする
2104,leave no stone unturned,to search or investigate every possible option or avenue,不遗余力地尽最大努力去调查或找出一件事的所有细节或解决办法,細かいものも見逃さずに、あらゆる手段を尽くす
2105,leave someone in the lurch,"to abandon, betray, or leave someone in a difficult or challenging situation without any assistance or support",将某人撇在一旁; 抛弃某人,誰かを突然困った状況に置き去りにする。特に、助けが必要な時に助けを拒否すること。
2106,leave the nest,to move out of one's childhood home or original living situation and become independent,离开安全的环境或舒适区域，开始独立生活或工作,巣立つ; 親元を離れる
2107,leave well alone,to not interfere with or try to improve something that is already satisfactory,不要去动或改变已经很好的事物,手を付けずに置いておくこと。既存の状態を変えずにそのままにしておくこと。
2108,left and right,everywhere; abundantly; frequently,四处或频繁地,頻繁に、連続して
2109,leg it,"to run or walk quickly, often to escape from a situation or to get somewhere in a hurry",用双脚快速逃离，通常指为了逃避危险或追捕,急いで、素早く走る
2110,lend a hand,to help or offer assistance,给予帮助或支持,手を貸す
2111,lend an ear,to listen attentively or sympathetically,倾听，倾听别人的问题或烦恼,相手の話を聞いて理解しようとする
2112,lend me your ear,to listen attentively,听我说，倾听我的意见或请求,耳を貸してくれる
2113,let _ heart rule _ head,to make a decision or act based on feelings or emotions rather than logical thinking,任由感情左右决策；感情胜过理智,感情を理性に優先させる。感情で行動する。
2114,let bygones be bygones,to forgive or forget about past issues or disagreements,过去的就让它过去吧；忘掉过去的不快,過去の出来事や問題を水に流す、忘れる
