Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,ai_generated_idioms,English_Idiom,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह से निकालना,अनजाने में कहना,To blurt out,गुस्से में उसने मुँह से बहुत कुछ निकाल दिया।,"```json
{
  ""Hindi idiom"": ""मुँह से निकालना"",
  ""English definition"": ""To accidentally reveal something or to let a secret slip."",
  ""English idiom 1"": ""Let the cat out of the bag"",
  ""English idiom 2"": ""Spill the beans"",
  ""English idiom 3"": ""Let something slip""
}
```",,Let the cat out of the bag,"'मुँह से निकालना' means 'Let the cat out of the bag'. Given the above knowledge, translate this sentence to English: 'गुस्से में उसने मुँह से बहुत कुछ निकाल दिया।'","In anger, he let out a lot from his mouth.","""In anger, he let the cat out of the bag about many things.""",2,1,2,1
मुँह में जीभ नहीं हिलाना,चुप रहना,Not to speak up.,उसने अपने बड़ों के सामने मुँह में जीभ नहीं हिलाई।,"```json
{
  ""Hindi idiom"": ""मुँह में जीभ नहीं हिलाना"",
  ""English definition"": ""Not speaking up or remaining silent in a situation where one should speak up."",
  ""English idiom 1"": ""Hold one's tongue"",
  ""English idiom 2"": ""Bite one's tongue"",
  ""English idiom 3"": ""Cat got your tongue?""
}
```",,Hold one's tongue,"'मुँह में जीभ नहीं हिलाना' means 'Hold one's tongue'. Given the above knowledge, translate this sentence to English: 'उसने अपने बड़ों के सामने मुँह में जीभ नहीं हिलाई।'",He did not hold his tongue in front of his elders.,'He held his tongue in front of his elders.',2,1,3,3
मुँह में पानी भरना,कुछ देखकर लालायित होना,Mouth-watering,स्वादिष्ट मिठाई देखकर उसके मुँह में पानी भर आया।,"```json
{
  ""Hindi idiom"": ""मुँह में पानी भरना"",
  ""English definition"": ""To feel a strong desire or craving for something, especially food."",
  ""English idiom 1"": ""Mouth-watering"",
  ""English idiom 2"": ""Make one's mouth water"",
  ""English idiom 3"": ""Drooling over""
}
```",,Make one's mouth water,"'मुँह में पानी भरना' means 'Make one's mouth water'. Given the above knowledge, translate this sentence to English: 'स्वादिष्ट मिठाई देखकर उसके मुँह में पानी भर आया।'","Upon seeing the delicious sweet, his mouth watered.",'His mouth watered at the sight of the delicious sweets.',3,3,3,3
मुँह में कड़वाहट घोलना,कटु बातें करना,To speak bitter words.,उसने अपनी बातों से मेरे मुँह में कड़वाहट घोल दी।,"```json
{
  ""Hindi idiom"": ""मुँह में कड़वाहट घोलना"",
  ""English definition"": ""To say something bitter or harsh to someone"",
  ""English idiom 1"": ""To add insult to injury"",
  ""English idiom 2"": ""Rub salt in the wound"",
  ""English idiom 3"": ""Pour oil on the fire""
}
```",,Rub salt in the wound,"'मुँह में कड़वाहट घोलना' means 'Rub salt in the wound'. Given the above knowledge, translate this sentence to English: 'उसने अपनी बातों से मेरे मुँह में कड़वाहट घोल दी।'",He rubbed salt in my wound with his words.,"""He rubbed salt in my wound with his words.""",3,3,3,3
मुँह पर तमाचा मारना,अपमानित करना,To slap someone in the face,उसकी आलोचना ने मेरे मुँह पर तमाचा मार दिया।,"{
  ""Hindi idiom"": ""मुँह पर तमाचा मारना"",
  ""English definition"": ""To insult or humiliate someone directly or openly."",
  ""English idiom 1"": ""A slap in the face"",
  ""English idiom 2"": ""Adding insult to injury"",
  ""English idiom 3"": ""Kick in the teeth""
}",,A slap in the face,"'मुँह पर तमाचा मारना' means 'A slap in the face'. Given the above knowledge, translate this sentence to English: 'उसकी आलोचना ने मेरे मुँह पर तमाचा मार दिया।'",His criticism was a slap in the face for me.,"""His criticism was a slap in the face for me.""",3,3,3,3
मुँह फुलाना,नाराज होना,To sulk,मेरी बात सुनकर वह मुँह फुला कर बैठ गया।,"```json
{
  ""Hindi idiom"": ""मुँह फुलाना"",
  ""English definition"": ""To sulk or pout"",
  ""English idiom 1"": ""To have a long face"",
  ""English idiom 2"": ""To be in a huff"",
  ""English idiom 3"": ""To throw a tantrum""
}
```",,To have a long face,"'मुँह फुलाना' means 'To have a long face'. Given the above knowledge, translate this sentence to English: 'मेरी बात सुनकर वह मुँह फुला कर बैठ गया।'","After hearing my words, he sat with a long face.","""He sat with a long face after hearing what I said.""",3,3,3,3
आधा तीतर आधी बटेर।,अधूरा ज्ञान।,"Half partridge, half quail.","या तो हिन्दी बोलिए या अंग्रेजी। यह क्या, आधा तीतर आधा बटेर।","```json
{
  ""Hindi idiom"": ""आधा तीतर आधी बटेर।"",
  ""English definition"": ""A situation where something is done in a mixed or haphazard manner, resulting in neither one thing nor the other."",
  ""English idiom 1"": ""Neither fish nor fowl"",
  ""English idiom 2"": ""A camel is a horse designed by a committee"",
  ""English idiom 3"": ""Neither here nor there""
}
```",,Neither fish nor fowl,"'आधा तीतर आधी बटेर।' means 'Neither fish nor fowl'. Given the above knowledge, translate this sentence to English: 'या तो हिन्दी बोलिए या अंग्रेजी। यह क्या, आधा तीतर आधा बटेर।'","Either speak in Hindi or English. What is this, neither fish nor fowl.","""Either speak Hindi or English. What is this, neither fish nor fowl?""",3,3,3,3
बहुत होशियार होना,चतुर होना,To be very clever,"वह बहुत होशियार है, सब काम ठीक से करता है।","{
  ""Hindi idiom"": ""बहुत होशियार होना"",
  ""English definition"": ""To be very clever or shrewd"",
  ""English idiom 1"": ""To be as sharp as a tack"",
  ""English idiom 2"": ""To be quick on the uptake"",
  ""English idiom 3"": ""To have one's wits about one""
}",,To be as sharp as a tack,"'बहुत होशियार होना' means 'To be as sharp as a tack'. Given the above knowledge, translate this sentence to English: 'वह बहुत होशियार है, सब काम ठीक से करता है।'","He is very sharp, he does all the work properly.","'He is as sharp as a tack, does all the work properly.'",3,2,3,3
आँखें खुल जाना।,"वास्तविकता का ज्ञान होना, सीख मिलना।",Eyes opening.,विवेक के अपहरण में उसके मित्र की संलिप्तता देखकर लोगों की आँखें खुल गईं कि अब किसी पर विश्वास करने का जमाना नहीं रह गया है।,"```json
{
  ""Hindi idiom"": ""आँखें खुल जाना।"",
  ""English definition"": ""To become aware of the truth or reality; to have a sudden realization or awakening."",
  ""English idiom 1"": ""To wake up and smell the coffee."",
  ""English idiom 2"": ""The scales fell from his eyes."",
  ""English idiom 3"": ""A rude awakening.""
}
```",,The scales fell from his eyes.,"'आँखें खुल जाना।' means 'The scales fell from his eyes.'. Given the above knowledge, translate this sentence to English: 'विवेक के अपहरण में उसके मित्र की संलिप्तता देखकर लोगों की आँखें खुल गईं कि अब किसी पर विश्वास करने का जमाना नहीं रह गया है।'","Seeing his friend's involvement in the abduction of Vivek, people's eyes opened that the era of trusting anyone is over.","Seeing his friend's involvement in Vivek's kidnapping, the scales fell from people's eyes that the times have changed and one cannot trust anyone anymore.",2,1,3,3
मुँह की खानी,हारना,To suffer a defeat,विरोधियों के सामने उसे मुँह की खानी पड़ी।,"```json
{
  ""Hindi idiom"": ""मुँह की खानी"",
  ""English definition"": ""To face defeat or humiliation."",
  ""English idiom 1"": ""To eat humble pie"",
  ""English idiom 2"": ""To get egg on one's face"",
  ""English idiom 3"": ""To bite the dust""
}
```",,To get egg on one's face,"'मुँह की खानी' means 'To get egg on one's face'. Given the above knowledge, translate this sentence to English: 'विरोधियों के सामने उसे मुँह की खानी पड़ी।'",He had to face embarrassment in front of his opponents.,He had to get egg on his face in front of the opponents.,3,2,2,3
मुँह पर तमाचा मारना,अपमानित करना,To slap someone in the face,उसकी बातों ने मेरे मुँह पर तमाचा मारा।,"{
  ""Hindi idiom"": ""मुँह पर तमाचा मारना"",
  ""English definition"": ""To insult or humiliate someone directly or openly."",
  ""English idiom 1"": ""A slap in the face"",
  ""English idiom 2"": ""Adding insult to injury"",
  ""English idiom 3"": ""Kick in the teeth""
}",,A slap in the face,"'मुँह पर तमाचा मारना' means 'A slap in the face'. Given the above knowledge, translate this sentence to English: 'उसकी बातों ने मेरे मुँह पर तमाचा मारा।'",His words were a slap in the face to me.,"""His words were a slap in the face to me.""",3,3,3,3
मूँछें उखाड़ना,पराजित करना,To defeat or humiliate someone completely.,उसने अपने दुश्मन की मूँछें उखाड़ दीं।,"```json
{
  ""Hindi idiom"": ""मूँछें उखाड़ना"",
  ""English definition"": ""To defeat someone decisively and humiliate them, often implying a challenge to one's pride or honor."",
  ""English idiom 1"": ""Wipe the floor with someone"",
  ""English idiom 2"": ""Hand someone their hat"",
  ""English idiom 3"": ""Beat the living daylights out of someone""
}
```",,Wipe the floor with someone,"'मूँछें उखाड़ना' means 'Wipe the floor with someone'. Given the above knowledge, translate this sentence to English: 'उसने अपने दुश्मन की मूँछें उखाड़ दीं।'",He wiped the floor with his enemy.,He wiped the floor with his enemy.,3,3,3,3
मुँह से नहीं निकालना,किसी चीज का महत्व न समझना,Don't let it slip from your mouth.,उसने मेरे दिए हुए उपहार को मुँह से नहीं निकाला।,"```json
{
  ""Hindi idiom"": ""मुँह से नहीं निकालना"",
  ""English definition"": ""To keep a secret or not to reveal something."",
  ""English idiom 1"": ""Keep under wraps"",
  ""English idiom 2"": ""Keep it to yourself"",
  ""English idiom 3"": ""Zip your lips""
}
```",,Keep under wraps,"'मुँह से नहीं निकालना' means 'Keep under wraps'. Given the above knowledge, translate this sentence to English: 'उसने मेरे दिए हुए उपहार को मुँह से नहीं निकाला।'",He did not keep the gift I gave him under wraps.,"""He kept the gift I gave him under wraps.""",1,1,1,1
मुँह की बात ले लेना,वही कहना जो दूसरा सोच रहा हो,To steal someone's thunder.,उसने मेरी मुँह की बात ले ली और वही कह दिया जो मैं सोच रहा था।,"```json
{
  ""Hindi idiom"": ""मुँह की बात ले लेना"",
  ""English definition"": ""To say exactly what someone else was about to say or was thinking."",
  ""English idiom 1"": ""To take the words right out of someone's mouth"",
  ""English idiom 2"": ""Read someone's mind"",
  ""English idiom 3"": """"
}
```",,To take the words right out of someone's mouth,"'मुँह की बात ले लेना' means 'To take the words right out of someone's mouth'. Given the above knowledge, translate this sentence to English: 'उसने मेरी मुँह की बात ले ली और वही कह दिया जो मैं सोच रहा था।'",He took the words right out of my mouth and said exactly what I was thinking.,"""He took the words right out of my mouth and said exactly what I was thinking.""",3,3,3,3
मुँह से निवाला छीनना,किसी का हक छीन लेना,To snatch the morsel from someone's mouth,उसके प्रमोशन को रोककर जैसे उसका मुँह से निवाला छीन लिया गया।,"```json
{
  ""Hindi idiom"": ""मुँह से निवाला छीनना"",
  ""English definition"": ""To take away something essential or necessary from someone, often at the moment they are about to enjoy it or need it the most."",
  ""English idiom 1"": ""Take the bread out of someone's mouth"",
  ""English idiom 2"": ""Pull the rug out from under someone"",
  ""English idiom 3"": ""Steal someone's thunder""
}
```",,Take the bread out of someone's mouth,"'मुँह से निवाला छीनना' means 'Take the bread out of someone's mouth'. Given the above knowledge, translate this sentence to English: 'उसके प्रमोशन को रोककर जैसे उसका मुँह से निवाला छीन लिया गया।'",His promotion was stopped as if the bread was taken out of his mouth.,"""By stopping his promotion, it was like taking the bread out of his mouth.""",2,2,3,3
मुँह में राम का नाम लेना,ईश्वर का स्मरण करना,To speak piously while harboring ill intentions.,कठिनाई के समय उसने मुँह में राम का नाम लिया।,"```json
{
  ""Hindi idiom"": ""मुँह में राम का नाम लेना"",
  ""English definition"": ""Professing to be virtuous or pious while secretly being dishonest or immoral."",
  ""English idiom 1"": ""A wolf in sheep's clothing"",
  ""English idiom 2"": ""The devil quoting scriptures"",
  ""English idiom 3"": ""Holier-than-thou""
}
```",,The devil quoting scriptures,"'मुँह में राम का नाम लेना' means 'The devil quoting scriptures'. Given the above knowledge, translate this sentence to English: 'कठिनाई के समय उसने मुँह में राम का नाम लिया।'","During difficult times, he took the name of Ram.","""In times of difficulty, he quoted scriptures like the devil.""",1,1,1,1
मूल कारण,मुख्य कारण,Root cause,बीमारी का मूल कारण उसकी अनियमित दिनचर्या है।,"```json
{
  ""Hindi idiom"": ""मूल कारण"",
  ""English definition"": ""The root cause"",
  ""English idiom 1"": ""The root of the problem"",
  ""English idiom 2"": ""The heart of the matter"",
  ""English idiom 3"": ""The crux of the issue""
}
```",,The root of the problem,"'मूल कारण' means 'The root of the problem'. Given the above knowledge, translate this sentence to English: 'बीमारी का मूल कारण उसकी अनियमित दिनचर्या है।'",The root cause of the illness is his irregular daily routine.,"""The root of the problem with his illness is his irregular routine.""",3,3,3,3
मुँह में नमक-मिर्च,तीखा बोलना,Salt and pepper in the mouth,उसकी मुँह में नमक-मिर्च जैसी बातें सुनकर सब चौंक गए।,"```json
{
  ""Hindi idiom"": ""मुँह में नमक-मिर्च"",
  ""English definition"": ""To speak harsh or bitter words"",
  ""English idiom 1"": ""Add fuel to the fire"",
  ""English idiom 2"": ""Rub salt in the wound"",
  ""English idiom 3"": ""Pour salt on the wound""
}
```",,Rub salt in the wound,"'मुँह में नमक-मिर्च' means 'Rub salt in the wound'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह में नमक-मिर्च जैसी बातें सुनकर सब चौंक गए।'","Upon hearing the words that were like rubbing salt in the wound, everyone was shocked.","""Everyone was taken aback by his words that rubbed salt in the wound.""",2,1,3,1
मुँह से फूटना,सच कहना,To speak out suddenly,जब उसके मुँह से फूटा तो सभी हैरान रह गए।,"```json
{
  ""Hindi idiom"": ""मुँह से फूटना"",
  ""English definition"": ""To speak out suddenly or unexpectedly, often after a period of silence."",
  ""English idiom 1"": ""Spill the beans"",
  ""English idiom 2"": ""Blurt out"",
  ""English idiom 3"": ""Let the cat out of the bag""
}
```",,Blurt out,"'मुँह से फूटना' means 'Blurt out'. Given the above knowledge, translate this sentence to English: 'जब उसके मुँह से फूटा तो सभी हैरान रह गए।'","When he blurted out, everyone was surprised.","""When he blurted out, everyone was shocked.""",3,2,3,2
मुँह का स्वाद बिगाड़ना,किसी को नाराज़ करना,To spoil the mood.,उसकी बातों ने मेरा मुँह का स्वाद बिगाड़ दिया।,"```json
{
  ""Hindi idiom"": ""मुँह का स्वाद बिगाड़ना"",
  ""English definition"": ""To spoil someone's mood or to say something that ruins the enjoyment of the moment."",
  ""English idiom 1"": ""Leave a bad taste in one's mouth"",
  ""English idiom 2"": ""Rain on someone's parade"",
  ""English idiom 3"": ""Burst someone's bubble""
}
```",,Leave a bad taste in one's mouth,"'मुँह का स्वाद बिगाड़ना' means 'Leave a bad taste in one's mouth'. Given the above knowledge, translate this sentence to English: 'उसकी बातों ने मेरा मुँह का स्वाद बिगाड़ दिया।'",His words left a bad taste in my mouth.,"""His words left a bad taste in my mouth.""",3,3,3,3
अक्ल के पीछे लाठी लिये फिरना।,मूर्खतापूर्ण कार्य करना।,To be foolishly stubborn.,"तुम स्वयं तो अक्ल के पीछे लाठी लिये फिरते हो, हम तुम्हारी क्या सहायता करें।","```json
{
  ""Hindi idiom"": ""अक्ल के पीछे लाठी लिये फिरना।"",
  ""English definition"": ""To be overly strict or harsh in enforcing rules, often to the point of being unreasonable."",
  ""English idiom 1"": ""To crack the whip"",
  ""English idiom 2"": ""To rule with an iron fist"",
  ""English idiom 3"": ""To lay down the law""
}
```",,To rule with an iron fist,"'अक्ल के पीछे लाठी लिये फिरना।' means 'To rule with an iron fist'. Given the above knowledge, translate this sentence to English: 'तुम स्वयं तो अक्ल के पीछे लाठी लिये फिरते हो, हम तुम्हारी क्या सहायता करें।'","You yourself rule with an iron fist, what help can we offer you.","""You yourself rule with an iron fist, how can we help you?""",2,1,2,1
बिन बुलाए मेहमान,अनचाहा व्यक्ति,Uninvited guest,बिन बुलाए मेहमान बनकर वह पार्टी में चला गया।,"{
  ""Hindi idiom"": ""बिन बुलाए मेहमान"",
  ""English definition"": ""An uninvited guest"",
  ""English idiom 1"": ""Gatecrasher"",
  ""English idiom 2"": ""Party crasher"",
  ""English idiom 3"": null
}",,Gatecrasher,"'बिन बुलाए मेहमान' means 'Gatecrasher'. Given the above knowledge, translate this sentence to English: 'बिन बुलाए मेहमान बनकर वह पार्टी में चला गया।'",The gatecrasher walked into the party without being invited.,"""He went to the party as a gatecrasher.""",3,3,3,3
मुँह पिचकाना,निराशा या नाखुशी व्यक्त करना,To pout,खराब खाना देखकर उसने मुँह पिचकाया।,"```json
{
  ""Hindi idiom"": ""मुँह पिचकाना"",
  ""English definition"": ""To show displeasure or disapproval by making a face; to express dissatisfaction."",
  ""English idiom 1"": ""Turn up one's nose"",
  ""English idiom 2"": ""Make a face"",
  ""English idiom 3"": ""Pout""
}
```",,Make a face,"'मुँह पिचकाना' means 'Make a face'. Given the above knowledge, translate this sentence to English: 'खराब खाना देखकर उसने मुँह पिचकाया।'",He made a face after seeing the bad food.,"""Seeing the bad food, he made a face.""",3,3,3,3
मुँह में शहद लगाना,मीठी बातें करना,To flatter someone.,उसकी मुँह में शहद लगाने वाली बातें सबको भा गईं।,"```json
{
  ""Hindi idiom"": ""मुँह में शहद लगाना"",
  ""English definition"": ""To say sweet things or flatter someone, often insincerely."",
  ""English idiom 1"": ""Butter someone up"",
  ""English idiom 2"": ""Sweet talk"",
  ""English idiom 3"": ""Lay it on thick""
}
```",,Butter someone up,"'मुँह में शहद लगाना' means 'Butter someone up'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह में शहद लगाने वाली बातें सबको भा गईं।'",His sweet talk buttered everyone up.,"""Everyone liked his buttering-up words.""",3,3,3,2
मुँह से फव्वारे निकालना,अत्यधिक क्रोधित होना,To speak boastfully or exaggerate.,उसकी झूठी बातों ने मेरे मुँह से फव्वारे निकाल दिए।,"```json
{
  ""Hindi idiom"": ""मुँह से फव्वारे निकालना"",
  ""English definition"": ""To speak in an exaggerated or boastful manner, often making grand or unrealistic claims."",
  ""English idiom 1"": ""Blow one's own trumpet"",
  ""English idiom 2"": ""Talk big"",
  ""English idiom 3"": ""Full of hot air""
}
```",,Full of hot air,"'मुँह से फव्वारे निकालना' means 'Full of hot air'. Given the above knowledge, translate this sentence to English: 'उसकी झूठी बातों ने मेरे मुँह से फव्वारे निकाल दिए।'",His lies made me full of hot air.,"""His lies made me full of hot air.""",1,1,1,1
मुँह फूलाना,नाराज होना,To sulk,छोटी सी बात पर उसने मुँह फूलाना शुरू कर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह फूलाना"",
  ""English definition"": ""To sulk or pout"",
  ""English idiom 1"": ""To sulk"",
  ""English idiom 2"": ""To pout"",
  ""English idiom 3"": ""To have a long face""
}
```",,To sulk,"'मुँह फूलाना' means 'To sulk'. Given the above knowledge, translate this sentence to English: 'छोटी सी बात पर उसने मुँह फूलाना शुरू कर दिया।'",He started to sulk over a small matter.,He started to sulk over a small matter.,3,3,3,3
मूल तत्व,प्रमुख अंग,Basic element,पानी जीवन का मूल तत्व है।,"```json
{
  ""Hindi idiom"": ""मूल तत्व"",
  ""English definition"": ""The fundamental or essential element of something"",
  ""English idiom 1"": ""The crux of the matter"",
  ""English idiom 2"": ""The heart of the matter"",
  ""English idiom 3"": ""The gist of it""
}
```",,The heart of the matter,"'मूल तत्व' means 'The heart of the matter'. Given the above knowledge, translate this sentence to English: 'पानी जीवन का मूल तत्व है।'",Water is the heart of life.,Water is the heart of life.,2,3,3,3
मुँह देखी बात करना,किसी के अनुसार बात करना,To flatter.,"वह हमेशा मुँह देखी बात करता है, अपनी कोई राय नहीं रखता।","```json
{
  ""Hindi idiom"": ""मुँह देखी बात करना"",
  ""English definition"": ""To speak according to what the listener wants to hear, often insincerely or flatteringly."",
  ""English idiom 1"": ""To butter someone up"",
  ""English idiom 2"": ""To tell someone what they want to hear"",
  ""English idiom 3"": ""To sugarcoat""
}
```",,To butter someone up,"'मुँह देखी बात करना' means 'To butter someone up'. Given the above knowledge, translate this sentence to English: 'वह हमेशा मुँह देखी बात करता है, अपनी कोई राय नहीं रखता।'","He always butters us up, he doesn't have any opinions of his own.","""He always butters people up, doesn't have any opinions of his own.""",2,1,3,2
बात पक्की करना,किसी निर्णय को अंतिम रूप देना,To finalize a matter,शादी की बात पक्की हो गई है।,"```json
{
  ""Hindi idiom"": ""बात पक्की करना"",
  ""English definition"": ""To finalize or confirm an agreement or decision"",
  ""English idiom 1"": ""Seal the deal"",
  ""English idiom 2"": ""Put it in writing"",
  ""English idiom 3"": ""Tie up the loose ends""
}
```",,Seal the deal,"'बात पक्की करना' means 'Seal the deal'. Given the above knowledge, translate this sentence to English: 'शादी की बात पक्की हो गई है।'",The marriage deal has been sealed.,"""The marriage has been fixed.""",3,3,3,2
मुँह में ऊँगली डालना,बहुत छोटी-छोटी बातें करना,To deceive someone.,उसकी हरकतें ऐसी हैं जैसे मुँह में ऊँगली डाल रहा हो।,"```json
{
  ""Hindi idiom"": ""मुँह में ऊँगली डालना"",
  ""English definition"": ""To compel someone to speak the truth or reveal something by putting pressure on them."",
  ""English idiom 1"": ""Put someone on the spot"",
  ""English idiom 2"": ""Corner someone"",
  ""English idiom 3"": ""Force someone's hand""
}
```",,Corner someone,"'मुँह में ऊँगली डालना' means 'Corner someone'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतें ऐसी हैं जैसे मुँह में ऊँगली डाल रहा हो।'",His actions are like cornering someone.,"""His actions are like cornering someone.""",1,1,1,1
मुँह में मिट्टी डालना,मर जाना,To die.,उसके चले जाने के बाद जैसे मेरे मुँह में मिट्टी डाल दी।,"```json
{
  ""Hindi idiom"": ""मुँह में मिट्टी डालना"",
  ""English definition"": ""To silence someone; to shut someone up, often by force or out of extreme frustration."",
  ""English idiom 1"": ""Put a sock in it"",
  ""English idiom 2"": ""Zip your lip"",
  ""English idiom 3"": ""Button your lip""
}
```",,Put a sock in it,"'मुँह में मिट्टी डालना' means 'Put a sock in it'. Given the above knowledge, translate this sentence to English: 'उसके चले जाने के बाद जैसे मेरे मुँह में मिट्टी डाल दी।'","After he left, it felt like I had put a sock in my mouth.",'It was like putting a sock in my mouth after he left.',1,1,1,1
मुँह पर थप्पड़ मारना,अपमानित करना,To slap someone in the face,उसके अपमानजनक शब्दों ने मुँह पर थप्पड़ मारने जैसा प्रभाव डाला।,"```json
{
  ""Hindi idiom"": ""मुँह पर थप्पड़ मारना"",
  ""English definition"": ""To insult or humiliate someone directly and openly."",
  ""English idiom 1"": ""A slap in the face"",
  ""English idiom 2"": ""Kick in the teeth"",
  ""English idiom 3"": ""None""
}
```",,A slap in the face,"'मुँह पर थप्पड़ मारना' means 'A slap in the face'. Given the above knowledge, translate this sentence to English: 'उसके अपमानजनक शब्दों ने मुँह पर थप्पड़ मारने जैसा प्रभाव डाला।'",His insulting words had the impact of a slap in the face.,"""His insulting words had the effect of a slap in the face.""",3,3,3,3
मोह में पड़ना,किसी चीज़ के प्रति आकर्षित होना,To become infatuated,वह उसकी सुंदरता के मोह में पड़ गया।,"```json
{
  ""Hindi idiom"": ""मोह में पड़ना"",
  ""English definition"": ""To fall into infatuation or undue attachment"",
  ""English idiom 1"": ""To be smitten"",
  ""English idiom 2"": ""To fall head over heels"",
  ""English idiom 3"": ""To be under someone's spell""
}
```",,To be under someone's spell,"'मोह में पड़ना' means 'To be under someone's spell'. Given the above knowledge, translate this sentence to English: 'वह उसकी सुंदरता के मोह में पड़ गया।'",He fell under the spell of her beauty.,"""He fell under the spell of her beauty.""",3,3,3,3
मुँह की कहना,अपने मन की बात कहना,To speak one's mind,उसने मुँह की कह दी और सब मान गए।,"```json
{
  ""Hindi idiom"": ""मुँह की कहना"",
  ""English definition"": ""To speak one's mind or to say what is on one's mind."",
  ""English idiom 1"": ""Speak one's mind"",
  ""English idiom 2"": ""Speak out"",
  ""English idiom 3"": ""Get something off one's chest""
}
```",,Speak one's mind,"'मुँह की कहना' means 'Speak one's mind'. Given the above knowledge, translate this sentence to English: 'उसने मुँह की कह दी और सब मान गए।'",He spoke his mind and everyone agreed.,'He spoke his mind and everyone agreed.',3,1,3,2
मुस्कराहट,हल्की हंसी,Smile,उसकी मुस्कराहट बहुत प्यारी है।,"{
  ""Hindi idiom"": ""मुस्कराहट"",
  ""English definition"": ""A smile is a facial expression characterized by an upward curving of the corners of the mouth, often associated with happiness, friendliness, or amusement."",
  ""English idiom 1"": ""A smile is the universal welcome"",
  ""English idiom 2"": ""Put a smile on your face"",
  ""English idiom 3"": ""A smile goes a long way""
}",,A smile is the universal welcome,"'मुस्कराहट' means 'A smile is the universal welcome'. Given the above knowledge, translate this sentence to English: 'उसकी मुस्कराहट बहुत प्यारी है।'",Her smile is very lovely.,Her smile is very sweet.,3,3,3,1
मुँह में घी-शक्कर देना,किसी की खुशियों के लिए शुभकामना देना,To wish someone well.,तुम्हारी सफलता के लिए मुँह में घी-शक्कर!,"```json
{
  ""Hindi idiom"": ""मुँह में घी-शक्कर देना"",
  ""English definition"": ""To speak auspiciously or to wish for something good to happen."",
  ""English idiom 1"": ""Knock on wood"",
  ""English idiom 2"": ""Touch wood"",
  ""English idiom 3"": ""Break a leg""
}
```",,Knock on wood,"'मुँह में घी-शक्कर देना' means 'Knock on wood'. Given the above knowledge, translate this sentence to English: 'तुम्हारी सफलता के लिए मुँह में घी-शक्कर!'","For your success, knock on wood!","""Knock on wood for your success!""",1,1,1,1
मुँह का कौर छीनना,किसी का अधिकार छीन लेना,To snatch away someone's morsel.,उसने मेरे मुँह का कौर छीन लिया।,"```json
{
  ""Hindi idiom"": ""मुँह का कौर छीनना"",
  ""English definition"": ""To take away something that is rightfully someone else's or to deprive someone of something essential."",
  ""English idiom 1"": ""Take the bread out of someone's mouth"",
  ""English idiom 2"": """",
  ""English idiom 3"": """"
}
```",,Take the bread out of someone's mouth,"'मुँह का कौर छीनना' means 'Take the bread out of someone's mouth'. Given the above knowledge, translate this sentence to English: 'उसने मेरे मुँह का कौर छीन लिया।'",He took the bread out of my mouth.,'He took the bread out of my mouth.',3,3,3,3
मुँह में जुबान नहीं है,बोलने का साहस नहीं होना,Cat got your tongue?,उसकी मुँह में जुबान नहीं थी जब उसे सच बताना था।,"```json
{
  ""Hindi idiom"": ""मुँह में जुबान नहीं है"",
  ""English definition"": ""Someone who is unable to speak up or express their opinions."",
  ""English idiom 1"": ""Cat got your tongue?"",
  ""English idiom 2"": ""At a loss for words"",
  ""English idiom 3"": """"
}
```",,Cat got your tongue?,"'मुँह में जुबान नहीं है' means 'Cat got your tongue?'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह में जुबान नहीं थी जब उसे सच बताना था।'",He was tongue-tied when he had to tell the truth.,"""He was tongue-tied when he had to tell the truth.""",3,3,3,3
मौसम बनाना,अनुकूल स्थिति बनाना,Create a favorable atmosphere,उसने अपने अच्छे व्यवहार से सबके लिए अच्छा मौसम बना दिया।,"```json
{
  ""Hindi idiom"": ""मौसम बनाना"",
  ""English definition"": ""To create or influence an environment or mood"",
  ""English idiom 1"": ""Set the tone"",
  ""English idiom 2"": ""Create an atmosphere"",
  ""English idiom 3"": ""Change the climate""
}
```",,Set the tone,"'मौसम बनाना' means 'Set the tone'. Given the above knowledge, translate this sentence to English: 'उसने अपने अच्छे व्यवहार से सबके लिए अच्छा मौसम बना दिया।'",He set a good tone for everyone with his good behavior.,"""He set the tone for everyone with his good behavior.""",3,2,3,2
मुँह का जादू चलना,बातें मनवाना,The magic of words working,उसकी मीठी बातों ने मेरे मुँह का जादू चला दिया।,"```json
{
  ""Hindi idiom"": ""मुँह का जादू चलना"",
  ""English definition"": ""To use one's eloquence or charm to influence or persuade others effectively."",
  ""English idiom 1"": ""The gift of the gab"",
  ""English idiom 2"": ""Silver-tongued"",
  ""English idiom 3"": ""Smooth talker""
}
```",,The gift of the gab,"'मुँह का जादू चलना' means 'The gift of the gab'. Given the above knowledge, translate this sentence to English: 'उसकी मीठी बातों ने मेरे मुँह का जादू चला दिया।'",His sweet words cast a spell on me.,"""His sweet talk made my gift of the gab work.""",3,3,2,1
