Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
बात पक्की करना,किसी निर्णय को अंतिम रूप देना,To finalize a matter,शादी की बात पक्की हो गई है।,'Translate this sentence to English: 'शादी की बात पक्की हो गई है।',The wedding plan is final.,"""The marriage has been fixed.""",3,1,3,3
मुँह में ऊँगली डालना,बहुत छोटी-छोटी बातें करना,To deceive someone.,उसकी हरकतें ऐसी हैं जैसे मुँह में ऊँगली डाल रहा हो।,'Translate this sentence to English: 'उसकी हरकतें ऐसी हैं जैसे मुँह में ऊँगली डाल रहा हो।',His actions are like putting a finger in the mouth.,"""His actions are like putting a finger in his mouth.""",1,1,1,1
मुँह में मिट्टी डालना,मर जाना,To die.,उसके चले जाने के बाद जैसे मेरे मुँह में मिट्टी डाल दी।,'Translate this sentence to English: 'उसके चले जाने के बाद जैसे मेरे मुँह में मिट्टी डाल दी।',"After he left, it felt like he had thrown dirt in my mouth.","'After he left, it was as if my mouth was filled with dirt.'",2,1,3,1
मुँह पर थप्पड़ मारना,अपमानित करना,To slap someone in the face,उसके अपमानजनक शब्दों ने मुँह पर थप्पड़ मारने जैसा प्रभाव डाला।,'Translate this sentence to English: 'उसके अपमानजनक शब्दों ने मुँह पर थप्पड़ मारने जैसा प्रभाव डाला।',His insulting words had a slap-on-the-face effect.,"""His insulting words had the effect of a slap in the face.""",3,3,3,3
मोह में पड़ना,किसी चीज़ के प्रति आकर्षित होना,To become infatuated,वह उसकी सुंदरता के मोह में पड़ गया।,'Translate this sentence to English: 'वह उसकी सुंदरता के मोह में पड़ गया।',He fell in love with her beauty.,He fell for her beauty.,3,2,3,3
मुँह की कहना,अपने मन की बात कहना,To speak one's mind,उसने मुँह की कह दी और सब मान गए।,'Translate this sentence to English: 'उसने मुँह की कह दी और सब मान गए।',He nodded his head and everyone agreed.,"""He spoke his mind, and everyone agreed.""",1,1,3,2
मुस्कराहट,हल्की हंसी,Smile,उसकी मुस्कराहट बहुत प्यारी है।,'Translate this sentence to English: 'उसकी मुस्कराहट बहुत प्यारी है।',Her smile is very sweet.,Her smile is very sweet.,3,1,3,1
मुँह में घी-शक्कर देना,किसी की खुशियों के लिए शुभकामना देना,To wish someone well.,तुम्हारी सफलता के लिए मुँह में घी-शक्कर!,'Translate this sentence to English: 'तुम्हारी सफलता के लिए मुँह में घी-शक्कर!',To wish you all the success!,"""May your success be sweet and abundant!""",2,1,3,2
मुँह का कौर छीनना,किसी का अधिकार छीन लेना,To snatch away someone's morsel.,उसने मेरे मुँह का कौर छीन लिया।,'Translate this sentence to English: 'उसने मेरे मुँह का कौर छीन लिया।',He stole the words right out of my mouth.,'He snatched food from my mouth.',3,1,3,2
मुँह में जुबान नहीं है,बोलने का साहस नहीं होना,Cat got your tongue?,उसकी मुँह में जुबान नहीं थी जब उसे सच बताना था।,'Translate this sentence to English: 'उसकी मुँह में जुबान नहीं थी जब उसे सच बताना था।',He didn't have the courage to speak the truth.,He was tongue-tied when he had to tell the truth.,3,2,3,3
मौसम बनाना,अनुकूल स्थिति बनाना,Create a favorable atmosphere,उसने अपने अच्छे व्यवहार से सबके लिए अच्छा मौसम बना दिया।,'Translate this sentence to English: 'उसने अपने अच्छे व्यवहार से सबके लिए अच्छा मौसम बना दिया।',He created a good atmosphere for everyone with his good behavior.,"With his good behavior, he created a pleasant atmosphere for everyone.",3,2,3,2
मुँह का जादू चलना,बातें मनवाना,The magic of words working,उसकी मीठी बातों ने मेरे मुँह का जादू चला दिया।,'Translate this sentence to English: 'उसकी मीठी बातों ने मेरे मुँह का जादू चला दिया।',His sweet words worked their magic on me.,"""His sweet talk cast a spell on me.""",3,3,3,3
मुँह में राम बगल में छुरी,सामने से अच्छा पर पीठ पीछे बुरा,A sweet tongue but a sharp dagger.,वह मुँह में राम बगल में छुरी वाला व्यक्ति है।,'Translate this sentence to English: 'वह मुँह में राम बगल में छुरी वाला व्यक्ति है।',He is a person who speaks sweetly on the face but carries a knife in the armpit.,'He is a person who has Ram on his lips and a knife under his arm.',3,2,2,1
मुँह से बदबू आना,अपमानित होना,Bad breath,उसकी झूठी बातों ने सबके सामने मेरे मुँह से बदबू आ दी।,'Translate this sentence to English: 'उसकी झूठी बातों ने सबके सामने मेरे मुँह से बदबू आ दी।',His lies made me smell bad in front of everyone.,"""His false words made me lose face in front of everyone.""",2,2,3,3
मुँह चुराना,सामना करने से बचना,Avoiding someone,अपने अपराध के बाद वह सबसे मुँह चुराने लगा।,'Translate this sentence to English: 'अपने अपराध के बाद वह सबसे मुँह चुराने लगा।',"After committing his crime, he started avoiding everyone.","'After his crime, he started avoiding everyone.'",3,2,3,2
मुँह का शीरा निकालना,किसी को जबरदस्ती सच उगलवाना,To speak bluntly,पुलिस ने आरोपी का मुँह का शीरा निकाल दिया।,'Translate this sentence to English: 'पुलिस ने आरोपी का मुँह का शीरा निकाल दिया।',The police made the suspect spill the beans.,'The police knocked the wind out of the accused.',3,3,2,3
मुँह का चस्का,किसी चीज की आदत पड़ जाना,Taste for something,उसे मिठाई खाने का मुँह का चस्का लग गया है।,'Translate this sentence to English: 'उसे मिठाई खाने का मुँह का चस्का लग गया है।',He has developed a taste for eating sweets.,He has developed a taste for eating sweets.,3,3,3,3
मुँह बंद करना,किसी को चुप कराना,Shut up,उसकी सच्चाई जानकर सभी ने मुँह बंद कर लिया।,'Translate this sentence to English: 'उसकी सच्चाई जानकर सभी ने मुँह बंद कर लिया।',"After learning the truth about him, everyone kept quiet.",Everyone fell silent upon learning his truth.,3,2,3,3
मुँह पर उँगली रखना,चुप रहना,Keep a finger on the lips.,उसकी बातें सुनकर मैंने मुँह पर उँगली रख ली।,'Translate this sentence to English: 'उसकी बातें सुनकर मैंने मुँह पर उँगली रख ली।',"After hearing what he said, I bit my tongue.","""Hearing his words, I put my finger on my lips.""",2,1,1,1
मुँह का मज़ा किरकिरा करना,किसी की खुशी को बिगाड़ना,To spoil the fun.,मिठाई खाते-खाते उसने खट्टी चीज खा ली और मुँह का मज़ा किरकिरा हो गया।,'Translate this sentence to English: 'मिठाई खाते-खाते उसने खट्टी चीज खा ली और मुँह का मज़ा किरकिरा हो गया।',"While eating sweets, he accidentally ate something sour and his mouth puckered up.","""While eating sweets, he ate something sour and the taste in his mouth was ruined.""",2,1,3,1
आँखों पर परदा पड़ना।,विपत्ति की ओर ध्यान न जाना।,To be blinded to the truth.,"कमला की आँखों पर तो परदा पड़ गया, जो उसने गुस्साई बहू को दुकान से मिट्टी का तेल लेने भेज दिया।","'Translate this sentence to English: 'कमला की आँखों पर तो परदा पड़ गया, जो उसने गुस्साई बहू को दुकान से मिट्टी का तेल लेने भेज दिया।'","Kamla's eyes were covered with a veil, when she sent her angry daughter-in-law to buy cooking oil from the store.",Kamala was blinded by her emotions when she sent her angry daughter-in-law to the shop to buy kerosene.,2,1,3,3
मंजिल तक पहुँचना,लक्ष्य प्राप्त करना,To reach the destination,कड़ी मेहनत से उसने अपनी मंजिल तक पहुँचा।,'Translate this sentence to English: 'कड़ी मेहनत से उसने अपनी मंजिल तक पहुँचा।',He reached his destination through hard work.,"""With hard work, he reached his destination.""",3,1,3,1
मुँह से आग निकालना,बहुत गुस्सा होना,To speak angrily,झगड़े के दौरान उसने मुँह से आग निकाली और सभी को डाँटा।,'Translate this sentence to English: 'झगड़े के दौरान उसने मुँह से आग निकाली और सभी को डाँटा।',"During the argument, he spat fire from his mouth and scolded everyone.","""During the quarrel, he/she spewed fire from his/her mouth and scolded everyone.""",2,1,2,2
मुँह से खून निकलना,बहुत अधिक परिश्रम करना,To taste blood.,उसने इस काम के लिए मुँह से खून निकाल दिया।,'Translate this sentence to English: 'उसने इस काम के लिए मुँह से खून निकाल दिया।',He put his heart and soul into this work.,'He worked his fingers to the bone for this job.',3,2,3,3
मुँह छुपाना,शर्मिंदा होना,Hide one's face,अपनी गलती पर उसे मुँह छुपाना पड़ा।,'Translate this sentence to English: 'अपनी गलती पर उसे मुँह छुपाना पड़ा।',He had to hide his face for his mistake.,'He had to hide his face due to his mistake.',3,2,3,2
मुँह से बोल निकलना,कुछ कहना,To speak out.,उसके सामने मैं इतना डर गया कि मुँह से बोल नहीं निकल पा रहे थे।,'Translate this sentence to English: 'उसके सामने मैं इतना डर गया कि मुँह से बोल नहीं निकल पा रहे थे।',I was so scared in front of him that I couldn't even speak.,"In front of him, I was so scared that I couldn't speak.",3,2,3,2
मुँह की आवाज निकलना,बोलने का साहस होना,To speak up,उसकी हिम्मत देख कर मेरी मुँह की आवाज निकली।,'Translate this sentence to English: 'उसकी हिम्मत देख कर मेरी मुँह की आवाज निकली।',"Seeing his courage, my voice came out of my mouth.","Seeing his courage, I was left speechless.",1,1,3,2
मुँह धोना,एकदम प्रारंभ करना,Wash one's face,उसने सुबह-सुबह मुँह धोकर काम शुरू किया।,'Translate this sentence to English: 'उसने सुबह-सुबह मुँह धोकर काम शुरू किया।',He started work after washing his face in the morning.,"""He started working early in the morning after washing his face.""",3,1,3,1
मुँह से बोल फूटना,अचानक बोलना,To start speaking,गुस्से में उसके मुँह से बोल फूट पड़े।,'Translate this sentence to English: 'गुस्से में उसके मुँह से बोल फूट पड़े।',He burst out in anger.,"""In anger, words burst out of his mouth.""",3,2,3,2
मुँह लगाना,किसी की बातों में आना,To engage with someone.,उसकी चालाकी में आकर मुँह लगाना ठीक नहीं।,'Translate this sentence to English: 'उसकी चालाकी में आकर मुँह लगाना ठीक नहीं।',It is not right to trust his cunning.,'It is not good to get involved with his cunningness.',3,1,3,1
मुँह का पानी आना,लालच करना,Mouth-watering,मिठाई देखकर उसके मुँह का पानी आ गया।,'Translate this sentence to English: 'मिठाई देखकर उसके मुँह का पानी आ गया।',Seeing the sweets made his mouth water.,'His mouth watered at the sight of the sweets.',3,3,3,3
मुँह ऊपर करना,निर्भीक होकर सामने आना,To look up.,सच बोलने वाले मुँह ऊपर करके जीते हैं।,'Translate this sentence to English: 'सच बोलने वाले मुँह ऊपर करके जीते हैं।',Those who speak the truth live with their heads held high.,"""Those who speak the truth live with their heads held high.""",3,3,3,3
मुँह में तालू लगाना,बहुत प्यास लगना,To be tongue-tied,धूप में घूमने से उसके मुँह में तालू लग गया।,'Translate this sentence to English: 'धूप में घूमने से उसके मुँह में तालू लग गया।',He got blisters in his mouth from wandering in the sun.,"""Roaming in the sun made his mouth dry.""",2,1,3,2
मुँह पर चेहरा रखना,अपनी पहचान बनाए रखना,To keep a straight face,उसने मुँह पर चेहरा रखकर सबके सामने अपनी बात रखी।,'Translate this sentence to English: 'उसने मुँह पर चेहरा रखकर सबके सामने अपनी बात रखी।',He kept a straight face and stated his point in front of everyone.,"""She expressed her views in front of everyone with a straight face.""",3,1,3,1
मुँह की बातें सुनना,किसी की आलोचना सुनना,To listen to empty words,उसकी गलती पर उसे मुँह की बातें सुननी पड़ीं।,'Translate this sentence to English: 'उसकी गलती पर उसे मुँह की बातें सुननी पड़ीं।',He had to listen to criticisms for his mistake.,He had to listen to harsh words for his mistake.,3,2,3,2
मुँह का दरवाज़ा खुला रखना,अपनी बातें दूसरों को बताना,Keep your mouth open.,उसने मुँह का दरवाज़ा खोलकर सबको अपनी बात बताई।,'Translate this sentence to English: 'उसने मुँह का दरवाज़ा खोलकर सबको अपनी बात बताई।',He opened his mouth and told everyone his opinion.,He opened the door of his mouth and told everyone his point.,2,1,1,1
मुँह की बात छीनना,वही कहना जो दूसरे ने सोचा हो,To steal someone's thunder.,उसने मेरी मुँह की बात छीन ली और वही कह दिया जो मैं सोच रहा था।,'Translate this sentence to English: 'उसने मेरी मुँह की बात छीन ली और वही कह दिया जो मैं सोच रहा था।',He stole my thunder and said exactly what I was thinking.,"""He stole the words right out of my mouth and said exactly what I was thinking.""",3,3,3,3
मोड़ पर आना,महत्वपूर्ण स्थिति में पहुंचना,To reach a turning point,उसकी जिंदगी अब नए मोड़ पर आ गई है।,'Translate this sentence to English: 'उसकी जिंदगी अब नए मोड़ पर आ गई है।',His life has now taken a new turn.,"""His life has now taken a new turn.""",3,3,3,3
मुँह का स्वाद खट्टा करना,किसी का मूड खराब करना,To spoil the mood.,उसकी बुरी खबर ने सभी का मुँह का स्वाद खट्टा कर दिया।,'Translate this sentence to English: 'उसकी बुरी खबर ने सभी का मुँह का स्वाद खट्टा कर दिया।',His bad news left a sour taste in everyone's mouth.,"""His bad news left a sour taste in everyone's mouth.""",3,3,3,3
मुँह में शक्कर घोलना,मीठी बातें करना,To speak sweet words,उसकी मुँह में शक्कर घोलने वाली बातें सभी को अच्छी लगी।,'Translate this sentence to English: 'उसकी मुँह में शक्कर घोलने वाली बातें सभी को अच्छी लगी।',Everyone liked the sweet words that came out of his mouth.,Everyone liked his sweet talk.,3,2,3,3
मूँगफली,मामूली चीज़,Peanut,वह काम मेरे लिए मूँगफली की तरह है।,'Translate this sentence to English: 'वह काम मेरे लिए मूँगफली की तरह है।',That work is peanuts for me.,"""That task is peanuts for me.""",3,3,3,3
बिल्ली के भाग से छींका टूटना,संयोगवश लाभ होना,A stroke of luck.,"उसे लॉटरी में जीत मिल गई, यह तो बिल्ली के भाग से छींका टूटने जैसा है।","'Translate this sentence to English: 'उसे लॉटरी में जीत मिल गई, यह तो बिल्ली के भाग से छींका टूटने जैसा है।'","He won the lottery by sheer luck, it's like sneezing causing a cat's whisker to break.","""He won the lottery; it's like a stroke of luck.""",2,1,2,2
मुँह में दही जमाना,चुप रहना,To keep silent,"जब उसे सच बताना था, उसने मुँह में दही जमा लिया।","'Translate this sentence to English: 'जब उसे सच बताना था, उसने मुँह में दही जमा लिया।'","When he had to tell the truth, he got tongue-tied.","'When he had to tell the truth, he remained silent.'",3,3,3,2
मुँह न खुलना,कुछ न कह पाना,Not to speak up,सजा के डर से उसकी मुँह नहीं खुल रही थी।,'Translate this sentence to English: 'सजा के डर से उसकी मुँह नहीं खुल रही थी।',She was so scared of the punishment that her mouth wouldn't open.,'She was not speaking out of fear of punishment.',3,2,3,2
मुँह में जीभ देना,बोलने की शक्ति देना,To remain silent,इस शिक्षा ने हमें मुँह में जीभ दे दी।,'Translate this sentence to English: 'इस शिक्षा ने हमें मुँह में जीभ दे दी।',This education has given us a taste of our own medicine.,"""This education has given us the ability to speak.""",1,1,3,2
मुँह मोड़ लेना,संबंध तोड़ लेना,Turn one's back.,उसकी बेवफाई के बाद मैंने उससे मुँह मोड़ लिया।,'Translate this sentence to English: 'उसकी बेवफाई के बाद मैंने उससे मुँह मोड़ लिया।',"After his betrayal, I turned my back on him.","After his betrayal, I turned my back on him.",3,3,3,3
"मुँह में राम, बगल में छुरी","ऊपर से अच्छा, लेकिन भीतर से धोखेबाज","A sweet tongue, but a dagger in the heart.","वह मुँह में राम, बगल में छुरी जैसा इंसान है, उस पर भरोसा नहीं किया जा सकता।","'Translate this sentence to English: 'वह मुँह में राम, बगल में छुरी जैसा इंसान है, उस पर भरोसा नहीं किया जा सकता।'","He is a person who is like a saint in front of you, but cannot be trusted.","""He is a person who has Ram on his lips but a knife in his side; he cannot be trusted.""",2,1,2,1
मुँह से लगाना,बहुत पसंद करना,To get someone accustomed to something,उस मिठाई को एक बार मुँह से लगाओगे तो बार-बार खाना चाहोगे।,'Translate this sentence to English: 'उस मिठाई को एक बार मुँह से लगाओगे तो बार-बार खाना चाहोगे।',"If you taste that dessert once, you will want to eat it again and again.","If you taste that sweet once, you will want to eat it again and again.",3,2,3,2
मुँह बोलना,स्पष्ट रूप से कहना,To speak rudely,उसने अपने मन की बात मुँह बोल दी।,'Translate this sentence to English: 'उसने अपने मन की बात मुँह बोल दी।',He spoke his mind.,"""He spoke his mind.""",3,3,3,3
मुँह पर तमाचा मारना,सख्त आलोचना करना,To slap someone in the face,उसकी हरकतों पर सबने मुँह पर तमाचा मारा।,'Translate this sentence to English: 'उसकी हरकतों पर सबने मुँह पर तमाचा मारा।',Everyone slapped him on the face for his actions.,"""Everyone slapped him for his actions.""",2,1,2,1
मुँह मोड़ना,समर्थन न देना,Turn away,मुसीबत में दोस्तों ने मुँह मोड़ लिया।,'Translate this sentence to English: 'मुसीबत में दोस्तों ने मुँह मोड़ लिया।',Friends turned their backs in times of trouble.,'Friends turned away in times of trouble.',3,3,3,3
मुँह में मिठाई भरना,खुशी की खबर देना,To praise someone excessively.,उसकी सफलता की खबर सुनकर मैंने सबके मुँह में मिठाई भर दी।,'Translate this sentence to English: 'उसकी सफलता की खबर सुनकर मैंने सबके मुँह में मिठाई भर दी।',"Upon hearing the news of his success, I distributed sweets to everyone.","""Hearing the news of his success, I filled everyone's mouth with sweets.""",3,1,1,1
बाजार गर्म होना,चर्चाएँ या अफवाहें फैलना,The market is hot.,पिछले हफ्ते बाजार में नई फिल्म की रिलीज़ की खबर से बाजार गर्म हो गया था।,'Translate this sentence to English: 'पिछले हफ्ते बाजार में नई फिल्म की रिलीज़ की खबर से बाजार गर्म हो गया था।',"Last week, the market heated up with news of the release of a new movie.","""The market was abuzz last week with the news of the release of a new film.""",3,3,3,3
मुँह की लज्जा मिटना,शर्मसार होना,To lose one's modesty,उसकी हार ने उसकी मुँह की लज्जा मिटा दी।,'Translate this sentence to English: 'उसकी हार ने उसकी मुँह की लज्जा मिटा दी।',His defeat wiped the shame off his face.,"""His defeat wiped away his shame.""",3,1,3,1
मुँह ताकते रह जाना,कोई उपाय न सूझना,To be left speechless,उसके सवाल के सामने सब मुँह ताकते रह गए।,'Translate this sentence to English: 'उसके सवाल के सामने सब मुँह ताकते रह गए।',Everyone remained silent in front of his question.,Everyone was left staring blankly in response to his question.,2,1,3,3
मुँह का फेरा होना,भाग्य का साथ न देना,To change one's mind,उसके साथ हमेशा मुँह का फेरा ही रहा।,'Translate this sentence to English: 'उसके साथ हमेशा मुँह का फेरा ही रहा।',He always kept avoiding the issue with us.,"""It was always a disappointment with him.""",3,1,2,3
मुँह पर पानी फेरना,अपमान करना,To ruin something.,उसकी शिकायत सुनकर बॉस ने उसकी मुँह पर पानी फेर दिया।,'Translate this sentence to English: 'उसकी शिकायत सुनकर बॉस ने उसकी मुँह पर पानी फेर दिया।',"After hearing his complaint, the boss shut him up.","'After hearing his complaint, the boss dismissed him outright.'",3,1,2,2
मुँह पिचकाना,नाराजगी दिखाना,To pout,उसकी बातों पर मुँह पिचकाने की बजाय उसे समझना चाहिए।,'Translate this sentence to English: 'उसकी बातों पर मुँह पिचकाने की बजाय उसे समझना चाहिए।',"Instead of turning up your nose at what he says, you should try to understand him.","""Instead of making faces at his words, you should understand him.""",3,3,2,3
मुँह पर जलील करना,अपमान करना,To insult someone to their face,सबके सामने मुँह पर जलील करना सही नहीं था।,'Translate this sentence to English: 'सबके सामने मुँह पर जलील करना सही नहीं था।',It was not right to humiliate in front of everyone.,"""It was not right to humiliate someone in front of everyone.""",3,2,3,3
मुँह दिखाना,किसी से मिलने आना,Show one's face,उसने अपनी गलती के बाद अब तक मुँह नहीं दिखाया।,'Translate this sentence to English: 'उसने अपनी गलती के बाद अब तक मुँह नहीं दिखाया।',He hasn't shown his face since his mistake.,He has not shown his face since his mistake.,3,3,3,3
मुँह टेढ़ा करना,नाराजगी दिखाना,To pout,"जब उसे मना किया, तो उसने मुँह टेढ़ा कर लिया।","'Translate this sentence to English: 'जब उसे मना किया, तो उसने मुँह टेढ़ा कर लिया।'","When he was refused, he sulked.","""When he was refused, he sulked.""",3,3,3,3
मुँह से गाली निकालना,बुरा-भला कहना,To utter a curse.,उसके व्यवहार से मैं इतना गुस्से में आ गया कि मुँह से गाली निकल गई।,'Translate this sentence to English: 'उसके व्यवहार से मैं इतना गुस्से में आ गया कि मुँह से गाली निकल गई।',I got so angry with his behavior that I ended up swearing.,"""I got so angry because of his behavior that a curse word slipped out of my mouth.""",3,3,3,3
मुँह पर चांदनी छिड़कना,प्रसन्न करना,To flatter someone excessively.,उसकी तारीफ ने मेरे मुँह पर चांदनी छिड़क दी।,'Translate this sentence to English: 'उसकी तारीफ ने मेरे मुँह पर चांदनी छिड़क दी।',His praise brought a smile to my face.,"""His praise made my face light up with a glow.""",3,1,3,2
मुँह खोलकर रह जाना,आश्चर्यचकित होना,To be left speechless,उसके प्रदर्शन को देखकर सब मुँह खोलकर रह गए।,'Translate this sentence to English: 'उसके प्रदर्शन को देखकर सब मुँह खोलकर रह गए।',Everyone was left speechless after seeing his performance.,Everyone was left open-mouthed after seeing his performance.,3,2,3,3
बुरे वक्त में साथी छोड़ना,संकट में साथ न देना,To abandon someone in difficult times.,बुरे वक्त में उसने अपने दोस्त का साथ छोड़ दिया।,'Translate this sentence to English: 'बुरे वक्त में उसने अपने दोस्त का साथ छोड़ दिया।',"In bad times, he abandoned his friend.",He abandoned his friend in bad times.,3,1,3,2
मुँह का धोखा,किसी की बातों में आ जाना,Deceptive appearance,उसकी चिकनी-चुपड़ी बातों में आकर मैंने मुँह का धोखा खा लिया।,'Translate this sentence to English: 'उसकी चिकनी-चुपड़ी बातों में आकर मैंने मुँह का धोखा खा लिया।',I fell for his sweet talk.,"""By falling for his smooth talk, I got deceived.""",3,2,3,3
मुँह की खाना,हार का सामना करना,To suffer defeat,मुकाबले में उसने मुँह की खाई।,'Translate this sentence to English: 'मुकाबले में उसने मुँह की खाई।',He bit off more than he could chew in the competition.,'He faced defeat in the competition.',3,1,3,2
मुँह में घी शक्कर,शुभकामना देना,May your words come true.,"उसकी सफलता की बात सुनकर सबने कहा, ""तेरे मुँह में घी शक्कर।""","'Translate this sentence to English: 'उसकी सफलता की बात सुनकर सबने कहा, ""तेरे मुँह में घी शक्कर।""'","Upon hearing about his success, everyone said, ""May your mouth be filled with ghee and sugar.""","""Hearing about his success, everyone said, 'May your mouth be filled with ghee and sugar.'""",1,1,1,1
मुँह पर तमाचा देना,अपमान करना,To slap in the face,उसकी हरकतों पर मैंने मुँह पर तमाचा दे दिया।,'Translate this sentence to English: 'उसकी हरकतों पर मैंने मुँह पर तमाचा दे दिया।',I slapped him on the face for his actions.,"""I slapped him for his actions.""",3,1,2,1
बिल्ली के भाग से छींका टूटना,संयोगवश लाभ होना,A stroke of luck.,"उसे लॉटरी में जीत मिल गई, यह तो बिल्ली के भाग से छींका टूटने जैसा है।","'Translate this sentence to English: 'उसे लॉटरी में जीत मिल गई, यह तो बिल्ली के भाग से छींका टूटने जैसा है।'","He won the lottery, it's like a sneeze caused by a cat running away.","""He won the lottery, it's like a stroke of luck.""",1,1,3,2
मूँछों की कसम देकर,प्रतिष्ठा की शपथ देकर,Swearing on one's mustache,उसने मूँछों की कसम देकर बात मनवाई।,'Translate this sentence to English: 'उसने मूँछों की कसम देकर बात मनवाई।',He convinced her by swearing on his mustache.,"""He convinced by swearing on his mustache.""",3,1,2,1
मुँह मीठा करना,खुशखबरी सुनाना,To celebrate with sweets,उसने नौकरी मिलने की खबर सुनाते हुए मुँह मीठा किया।,'Translate this sentence to English: 'उसने नौकरी मिलने की खबर सुनाते हुए मुँह मीठा किया।',He sweetened his mouth while sharing the news of getting a job.,He celebrated the news of getting the job with sweets.,2,1,3,2
मुँह की बात छीन लेना,वही बात कह देना जो कोई और कहना चाहता हो,To steal someone's words.,उसने मेरी मुँह की बात छीन ली।,'Translate this sentence to English: 'उसने मेरी मुँह की बात छीन ली।',He stole my words.,"""He took the words right out of my mouth.""",3,3,3,3
मुँह से छूना,करीब से देखना,To kiss.,उसने नये कपड़ों को मुँह से छूकर देखा।,'Translate this sentence to English: 'उसने नये कपड़ों को मुँह से छूकर देखा।',He looked at the new clothes with his mouth.,'She felt the new clothes with her lips.',1,1,1,1
मुँह पर पानी फेर देना,किसी के सम्मान को खत्म कर देना,To ruin something completely.,उसके धोखे ने मेरे मुँह पर पानी फेर दिया।,'Translate this sentence to English: 'उसके धोखे ने मेरे मुँह पर पानी फेर दिया।',His betrayal left me speechless.,'His deceit made my efforts go in vain.',3,1,3,2
मुँह में राम बगल में छुरी,ऊपर से भला लेकिन अंदर से धोखेबाज,A sweet tongue but a sharp dagger.,उसका स्वभाव मुँह में राम बगल में छुरी जैसा है।,'Translate this sentence to English: 'उसका स्वभाव मुँह में राम बगल में छुरी जैसा है।',His nature is like having 'Ram' in the mouth and a knife in the armpit.,"""His nature is like having Ram on his lips while holding a knife behind his back.""",1,1,3,2
मुँह का मालिक,अपने मुँह की बात का नियंत्रण रखने वाला,Master of one's own words,"वह अपने मुँह का मालिक है, जो मन में आता है, कह देता है।","'Translate this sentence to English: 'वह अपने मुँह का मालिक है, जो मन में आता है, कह देता है।'","""He is the master of his own words, whatever comes to his mind, he says.""","""He speaks his mind and says whatever he feels.""",3,2,3,3
मुँह की बात छीनना,ठीक वही बात कहना जो दूसरा कहने वाला था,To steal someone's words.,उसने मेरे मुँह की बात छीन ली।,'Translate this sentence to English: 'उसने मेरे मुँह की बात छीन ली।',He stole my thunder.,"""He snatched the words right out of my mouth.""",3,3,3,3
मूँह पर लगाम,अपनी बातों पर नियंत्रण रखना,Restrain one's tongue,हमें मूँह पर लगाम लगाकर बोलना चाहिए।,'Translate this sentence to English: 'हमें मूँह पर लगाम लगाकर बोलना चाहिए।',We should speak with restraint.,'We should speak with restraint.',3,2,3,2
अपने पैरों पर खड़ा होना।,स्‍वावलंबी होना।,To stand on one's own feet.,"जब तक लड़का अपने पैरों पर खड़ा न हो जाए, तब तक उसकी शादी करना उचित नहीं है।","'Translate this sentence to English: 'जब तक लड़का अपने पैरों पर खड़ा न हो जाए, तब तक उसकी शादी करना उचित नहीं है।'",It is not appropriate to get married until the boy stands on his own feet.,"""Until the boy stands on his own feet, it is not appropriate to get him married.""",3,3,3,3
मुँह के बल गिरना,बुरी तरह से असफल होना,To fall flat on one's face,उसकी योजना मुँह के बल गिर गई।,'Translate this sentence to English: 'उसकी योजना मुँह के बल गिर गई।',His plan fell flat on his face.,His plan fell flat on its face.,3,3,3,3
मुँह धोकर आना,पूरी तरह से ताज़ा होकर आना,Come back after washing your face.,खेल के बाद उसने मुँह धोकर आने को कहा।,'Translate this sentence to English: 'खेल के बाद उसने मुँह धोकर आने को कहा।',"After the game, he asked to come and wash his face.","""After the game, he asked to wash his face and come.""",1,1,1,1
मुँह में दही जमाना,चुप रहना,To keep silent,सबके सवालों पर उसने मुँह में दही जमा लिया।,'Translate this sentence to English: 'सबके सवालों पर उसने मुँह में दही जमा लिया।',He remained silent in the face of everyone's questions.,'He clammed up in response to everyone's questions.',3,2,3,3
मुँह की मिठास,मीठी बातें करना,Sweetness of the mouth,उसकी मुँह की मिठास ने सभी को प्रभावित किया।,'Translate this sentence to English: 'उसकी मुँह की मिठास ने सभी को प्रभावित किया।',His sweetness of speech impressed everyone.,"""His sweet talk impressed everyone.""",3,2,3,3
मुँह फुलाना,छोटी बात पर नाराज होना,To sulk,उसने मेरी छोटी सी बात पर मुँह फुला लिया।,'Translate this sentence to English: 'उसने मेरी छोटी सी बात पर मुँह फुला लिया।',He sulked over my small matter.,"""He sulked over my small comment.""",3,2,3,3
मुँह पर थूकना,अपमान करना,To insult directly,उसकी हरकतों पर मैंने मुँह पर थूक दिया।,'Translate this sentence to English: 'उसकी हरकतों पर मैंने मुँह पर थूक दिया।',I spit on his actions.,"""I spat in his face for his actions.""",3,1,3,1
मुँह पर ताला लगाना,चुप रहना,To keep one's mouth shut,उसने गुस्से में आकर मुँह पर ताला लगा लिया।,'Translate this sentence to English: 'उसने गुस्से में आकर मुँह पर ताला लगा लिया।',He locked his mouth in anger.,"""He became angry and clammed up.""",2,1,3,3
